admits	sheets	sheet	target	cycle	detail	path
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/Pivot3_Column_Grand_Subtotals.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/Pivot4_Column_Grand_Subtotals_SortDescending.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/SimpleMultiCell.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/SimpleNormal.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/SimpleScatterChart.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/SimpleStrict.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/SimpleWithComments.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/SingleCellTable.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/Sparklines.xlsx
no	2	Formulas	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/StructuredReferences.xlsx
no	5	Profile	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx
no	12	Exp1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/Tables.xlsx
no	3	IntHeaders	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/TablesWithDifferentHeaders.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/TextColor.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/TwoSheetsNoneHidden.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/TwoSheetsOneHidden.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/autofilter-colors-fg.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/autofilter-colors.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/autofilter.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/autofilternamedrange.xlsx
no	3	Borders	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/cell-borders.xlsx
no	1	Hoja1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/cell-multi-line.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/chart_hyperlink.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/column_style.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/condFormat_cellis.xlsx
no	1	Hoja1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/condformat_databar.xlsx
no	2	databar	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/condformat_theme_color.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/conditional_fmt_checkpriority.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/conditional_fmt_origin.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/conditional_formatting_multiple_ranges.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.dell.com/ddp/2016/relationships/metadataFile'	test-data/ooxml/xlsx/customxml.xlsx
no	3	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/custom-properties'	test-data/ooxml/xlsx/decimal-format.xlsx
read-err	-	-	-	-	invalid XLSX structure: invalid worksheet dimension '1:5': invalid A1 range '1:5': invalid or out-of-grid A1 cell reference '1'	test-data/ooxml/xlsx/duplicate-defined-names.xlsx
no	2	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/empty.xlsx
no	1	Sheet1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties'	test-data/ooxml/xlsx/enhanced-protection.xlsx
no	1	Лист1	-	-	invalid XLSX structure: value-only edits refuse package relationship 'http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties'	test-data/ooxml/xlsx/external-cache-multi-letter-column.xlsx
