first	g1	g2	g3	g4	g5	sheet	path
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	-	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/decimal-format.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/duplicate-defined-names.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	-	-	-	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/empty.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/enhanced-protection.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/externalLink	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/external-cache-multi-letter-column.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/externalLink	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/external-link-path-missing.xlsx
g1	http://purl.oclc.org/ooxml/officeDocument/relationships/extendedProperties	http://purl.oclc.org/ooxml/officeDocument/relationships/theme	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/external-link-path-startup.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	-	-	-	-	xl/worksheets/sheet3.xml	test-data/ooxml/xlsx/fontSize.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	-	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/formats.xlsx
g1	http://schemas.openxmlformats.org/package/2006/relationships/metadata/core-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	-	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/headerFooterTest.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	-	-	-	-	xl/worksheets/sheet2.xml	test-data/ooxml/xlsx/hyperlink.xlsx
g1	http://schemas.openxmlformats.org/officeDocument/2006/relationships/extended-properties	http://schemas.openxmlformats.org/officeDocument/2006/relationships/sharedStrings	worksheet-rels	shared-string-value	-	xl/worksheets/sheet1.xml	test-data/ooxml/xlsx/hyperlink_export.xlsx
