verdict	kind	detail	path
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/autofilternamedrange.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/autofilternamedrange.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/cell-borders.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/cell-borders.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/cell-multi-line.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/cell-multi-line.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/chart_hyperlink.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/chart_hyperlink.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/column_style.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/column_style.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/condFormat_cellis.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/condFormat_cellis.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/condformat_databar.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/condformat_databar.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/condformat_theme_color.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/condformat_theme_color.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/conditional_fmt_checkpriority.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/conditional_fmt_checkpriority.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/conditional_fmt_origin.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/conditional_fmt_origin.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/conditional_formatting_multiple_ranges.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/conditional_formatting_multiple_ranges.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/customxml.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/customxml.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/decimal-format.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/decimal-format.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/duplicate-defined-names.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/duplicate-defined-names.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/empty.xlsx
noncompact	workbook	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/empty.xlsx
noncompact	sheet1	noncompact XML FormattingWhitespace at byte 55	test-data/ooxml/xlsx/enhanced-protection.xlsx
