# fixture operation result
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/refupdate.xlsx opc-noop d2fc65e90db1b8cdcdfef2dbef35f0b5ddf81a0b5238189dd995b0944dc01464:8671
libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx opc-noop 59bc94d6166701b7f3f947d9e054805f4b9efb40deab6308b84288627b57708f:8576
libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx opc-noop 5501d6ae93866d0425aadbab74443bee6146533182b7ceb90c620ab6de55d39f:8408
libreoffice-core/sc/qa/unit/data/xlsx/subtotal-above.xlsx opc-noop 115274cee60bf5f660601790a342382383cba164d2dc62b6e88b03c1d77b4c0d:10111
libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx opc-noop 8efb54cb804b713ff5c2d8af2f730f1583b3fa06ea932a3f853a8385d806ea78:18756
libreoffice-core/sc/qa/unit/data/xlsx/tdf105840_allRowsHidden.xlsx opc-noop a505455dbb26c09db9e531d8753db06e55a1741247bae6be5a37b4e86582e10d:7015
libreoffice-core/sc/qa/unit/data/xlsx/tdf111980_radioButtons.xlsx opc-noop 78067fa92760a582e9674148029bfd2d9088cb964d2042fbdde2e5037bc30d00:20005
libreoffice-core/sc/qa/unit/data/xlsx/tdf120168.xlsx opc-noop f92e4bc58e4ff1f7858e5399cc2150ccd33364b7da0f094b43db32b8b7524a0b:15192
libreoffice-core/sc/qa/unit/data/xlsx/tdf134455.xlsx opc-noop 8c11bcd48ca97ac96a086df242ee3d5d822402fa011331e4133ff7081a3d2564:5288
libreoffice-core/sc/qa/unit/data/xlsx/tdf134459_HeaderFooterColor.xlsx opc-noop a54981b736aa27d4783a7d4ba33a124bbc23d7a9d0ce355fa3492b1e39b998c2:9421
libreoffice-core/sc/qa/unit/data/xlsx/tdf136721_letter_sized_paper.xlsx opc-noop 42d2513d9cb37c6d154fccdcde4e59321eddc6934e6498690203af494fbd8a58:15723
libreoffice-core/sc/qa/unit/data/xlsx/tdf143068_top10filter.xlsx opc-noop cf343db1cfa0cb758627bfd530696cea994e1e644b61ca3b6926cc61e8a6e16e:9415
libreoffice-core/sc/qa/unit/data/xlsx/tdf167689_xmlMaps_and_xmlColumnPr.xlsx opc-noop 2abae7581d4305a8457b69088a977fe81116bfc93e1d7296fa2021c93aa34105:6042
libreoffice-core/sc/qa/unit/data/xlsx/tdf66377.xlsx opc-noop ac94c7a84898f60db85020afd984be0e2ede5ace8617f17c009ab4d8f0526377:17056
libreoffice-core/sc/qa/unit/data/xlsx/tdf97598_scenarios.xlsx opc-noop 464b1d54cd89e08ae6a3a85eb65639103a4aabfa0eee76d702bc8b0e09fe7861:8400
libreoffice-core/sc/qa/unit/data/xlsx/textLengthDataValidity.xlsx opc-noop 7d6695701649fb184137e9014c1b56577afefce766b5dca43292ad9336e7cf75:9244
libreoffice-core/sc/qa/unit/data/xlsx/totalsRowShown.xlsx opc-noop 8eb9e4265c2f2d8edacf403c75382118a1722bac87a45bbaa66615943efa032c:11360
libreoffice-core/sc/qa/unit/data/xlsx/track-changes/simple-cell-changes.xlsx opc-noop f4169bab78cf219c9619de70e22f79c28a383a76debe8dba096c2637449daa8e:15414
libreoffice-core/sd/qa/unit/data/BoldonseFontEmbedded.pptx opc-noop 9801672f6c932e218e044df19608d1f31629fee5c87af0bc7c04bfc9f84dbb69:67477
libreoffice-core/sd/qa/unit/data/pptx/ole.pptx opc-noop fe7df9c5e4303960df7c81e35dbd9a12a02ff887c49cc0573bed7cc66e6da489:41588
libreoffice-core/sd/qa/unit/data/pptx/slide-section-test.pptx opc-noop aebee5a724a9b5b8020c41fe789df9b3805265f20bf9a87dd28d8b0ed556deb0:108164
libreoffice-core/sd/qa/unit/data/pptx/slide-sections.pptx opc-noop 2e2d1a6cfa6c282a2c81f92c74c704716357155741c9ed0abd9815aeac684369:138108
libreoffice-core/sd/qa/unit/data/pptx/tdf103477.pptx opc-noop 0a362761e144db96c7812df1488b9de732960e811886360bffefb4af1e8949c3:64312
libreoffice-core/sd/qa/unit/data/pptx/tdf114821.pptx opc-noop 939720d41bb739a7fc152d07af323bb15ddfc93f2f1831db28556bff46d804be:50235
libreoffice-core/sd/qa/unit/data/pptx/tdf89064.pptx opc-noop 16faaaffa35304df654bc20927570d1812d5fdf085d0ecd253cd4c272a913610:24629
libreoffice-core/sw/qa/core/objectpositioning/data/do-not-capture-draw-objs-on-page-draw-wrap-none.docx opc-noop 06644869dcf2a1b6d79631fb54c42857a04a566430452e75b4810f0c9ab8ed13:21260
libreoffice-core/sw/qa/extras/ooxmlexport/data/NumberedList.docx opc-noop ebb078d791b6deb4d0a2dae69a15a5274baf2ade815f07b336b394bb43af4c88:55519
libreoffice-core/sw/qa/extras/ooxmlexport/data/decimal-numbering-no-leveltext.docx opc-noop 33d8229124a25622cf8c497564dab93d24e5047f42dba2feb6d06266430a99e4:13517
libreoffice-core/sw/qa/extras/ooxmlexport/data/listWithLgl.docx opc-noop 13fd0f120e2c7ea578c098e03f2d5bf871d24f6494c7df73c0aaed3cf246f7b9:3009
libreoffice-core/sw/qa/extras/ooxmlexport/data/lvlPicBulletId.docx opc-noop c3d8821ad7c2a0bced52881dbb3d317f7aa29f4363349bc9b665d9dd03517ca0:32450
libreoffice-core/sw/qa/extras/ooxmlexport/data/mailmerge.docx opc-noop 94f76ba6a717d33eb1bd48e122ca25fc3aedff3b87498165dc7ed78595535e19:17580
libreoffice-core/sw/qa/extras/ooxmlexport/data/strict.docx opc-noop 6e71a4d554ea90df1ddcc9b6fbbcc677a94c6617cb35f9e5b7d4ccab46f1a79e:25636
libreoffice-core/sw/qa/extras/ooxmlexport/data/tdf124384.docx opc-noop e20f4d711e482462ea2dc89a22d27c7cff2eb25133b1d841d8f9b76fd96f587d:37437
libreoffice-core/sw/qa/extras/ooxmlexport/data/testGlossary.docx opc-noop 8ccd581d8f0ae102b220228ad26b3974821a7ce8e3ff7df4b78f7da8a0d06ed9:25741
libreoffice-core/sw/qa/extras/ooxmlimport/data/numbering-circle.docx opc-noop 4c61fc7730baecf784d392e9ab50a83a1538c33df5b629a180da7dc2764e5467:4952
libreoffice-core/sw/qa/extras/ooxmlimport/data/tdf108545_embeddedDocxIcon.docx opc-noop 68e19d06420bfb93bd66c280b96f3095a40f753da4658634a778e474496148d3:28843
libreoffice-core/sw/qa/extras/ooxmlimport/data/tdf119039_bad_embedded_compound.docx opc-noop cf00dab76363981763545dce5cb62eefa84e24d77fc2abe28ae5163538f52607:13876
libreoffice-core/sw/qa/extras/uiwriter/data/autotext-multiple.dotx opc-noop 3cc1632cb7f51c345a3d4734c2f8b911024d1ac778ba9a45c137826582e6ca7f:18470
libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk-header.docx opc-noop ee33b932a6c31f430bc8a6e450592970419b0bcc155e5c9884065602b9c733b8:77621
libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk-html.docx opc-noop 9f8577e6f7d2df07d198047960194949e27e8a2a710166ee1b447fad6e982ec8:2344
libreoffice-core/sw/qa/writerfilter/dmapper/data/alt-chunk.docx opc-noop d5dbaac56f6b41108c473d725065490fa84419ecc7f997cd19e7b8d158784379:22007
libreoffice-core/sw/qa/writerfilter/dmapper/data/layout-in-cell-2.docx opc-noop 4d273731897cb642d11062bf2b8ca8ec1b8f005843d51722172d1896e3a22cad:66189
libreoffice-core/sw/qa/writerfilter/dmapper/data/redline-range-comment.docx opc-noop 27f72a9f8f6f223900682a0627ea28c27923b2ae384cc35a0630a71f1f312d98:17713
office-interop/libreoffice-resaved/date-autofilter-litchi.xlsx opc-noop ade103f651e3f7cac423cd6b01d4d5a004d03470667723234105ba39672bc74d:7311
office-interop/libreoffice-resaved/document-properties-litchi.docx opc-noop 0c10b6489e3b5c02d0470f213611e32fbaa0143746d69d0333bdca821d2c5e47:6825
office-interop/libreoffice-resaved/shapes-litchi.pptx opc-noop fcc8acffad88f5091316f67403c099a4c9eaa372e17927edfee29c35fb132034:53239
office-interop/litchi-changed/date-autofilter-litchi.xlsx opc-noop 0f1c13c528c75b5293b18f4342d5fa95024fcc604af81c1b66c058a06575bac9:6604
office-interop/litchi-changed/document-properties-litchi.docx opc-noop e4c76a4cd17a2cc5e66d52fe2109ec62f0a09aa510e97fd291b87073b84697f2:11143
office-interop/litchi-changed/shapes-litchi.pptx opc-noop 41cc73dc78e6506900628ec4518a8dee85544f164f5ecb4134c5240c414928df:61466
ooxml/docx/ComplexNumberedLists.docx opc-noop 297a085a7d433af2eeee7661e8db21539452cb585096484774a1e9f5f258b0b6:14458
ooxml/docx/FancyFoot.docx opc-noop 1cfd2b4fb1f7233062671b0f58789e1b0b437fbf79deb7d62167cffb85191f7a:12876
ooxml/docx/Headers.docx opc-noop bdf91038f9a5454355e6393b7b74fd819a4adc480b4a7011a86e878403952b5b:13076
ooxml/docx/Hyperlink.docx opc-noop ebd1f0ae1a9d6ef35c4b301209b135a0bd2f8dfde9c44270bbbea1cd19b3fd66:11478
ooxml/docx/comment.docx opc-noop 23bbfe33e1acf7073253bd87552cbee5be0a07cbd08a479a4bf139f09b1dd6dc:4926
ooxml/docx/documentProperties.docx opc-noop 1cff7a0a94dfce307a70032d21070d26ae34b9fdf742cf70fa66d4a2078ec9d5:23503
ooxml/docx/documentProtection_comments_no_password.docx opc-noop d15cd04edecf3489c2028864e70736494a1c5259b6e92097e50457efd934d78c:9868
ooxml/docx/documentProtection_forms_no_password.docx opc-noop 5c299d134577cb3a752548e6891701d2b3447570bd2bb0b38bf16efc026ee0a2:9924
ooxml/docx/documentProtection_no_protection.docx opc-noop 5d1cce05b576fc527981c56dd9844df3b6669967bcd9b981adfc043bd516f62c:9884
ooxml/docx/documentProtection_readonly_no_password.docx opc-noop 5d4c919f2e06b84fbe35cfaaa4012e8f469b811e1f643deb3e660b798bfe4544:9856
ooxml/docx/drawing.docx opc-noop 5e83462dd7ac3cf0a333fe09cf0837602dbd41775cdcec813a6e288b5d55dff8:95247
ooxml/docx/endnotes.docx opc-noop 6e2e1b2dabb0ae6b9b26ddd613dca446ba0710ecc8b4008722abc4ed592934e3:13553
ooxml/docx/footnotes.docx opc-noop 9070094b27ff5201477f4de4b2c027730c66cb889106a1609c5adeed207a59c1:12823
ooxml/docx/headerFooter.docx opc-noop 0ad90c6ee8ec8b9fab1ae8219387eca8d934b739580918d76a1b6c911bc41913:28423
ooxml/docx/headerPic.docx opc-noop 50d9b17f7575c8a91129fd8a3e6a70feec886480ab9f089e29a7f8ac7e5ed51a:16206
ooxml/docx/table-alignment.docx opc-noop ee36729e0d050e529fea0b444006a194bea72b35cf8958ae58c6624c26156b41:15519
ooxml/docx/table-indent.docx opc-noop aaa3fd6a1c0d6ac222ccacad213257b9061be7d706396a36b3ffedacb3a56c9b:7639
ooxml/docx/table_footnotes.docx opc-noop 69666500a7dd00600da64cc7676f8939c84df8804967ec2fc75567fad41f21a9:13177
ooxml/docx/testComment.docx opc-noop 06b63b13f0b78a7179151af52c2282557c1ed204899feee9fcef4ca575344f97:65298
ooxml/pptx/SmartArt.pptx opc-noop b97e4c6d2ee1dd4094f50f9043820610268dd452d7717c537f5456636adcc353:41382
ooxml/pptx/activex/activex_checkbox.pptx opc-noop 9d366c0627b0c0af5c643a7c3b1d02983c9752d28f6d26b86a2a7568e08b0888:39828
ooxml/pptx/backgrounds.pptx opc-noop 6d1e661c87b072a701e02e28f9d2c9bb43c6bfe0ad5acd02811a0382bab769b7:63442
