source_bytes	saved_bytes	exact	path	detail
43256	43256	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-maxdepth.pptx	-
30139	30139	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-missing-bullet.pptx	-
43588	43588	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-multidirectional.pptx	-
57764	57764	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-org-chart.pptx	-
64524	64524	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-org-chart2.pptx	-
52395	52395	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-picture-strip.pptx	-
40598	40598	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-preserve.pptx	-
40075	40075	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-pyramid-1child.pptx	-
52943	52943	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-recursion.pptx	-
43399	43399	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-rightoleftblockdiagram.pptx	-
43886	43886	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-rotation.pptx	-
43658	43658	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-rotation2.pptx	-
71102	71102	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-simple.pptx	-
52893	52893	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-snake-rows.pptx	-
46706	46706	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-tdf134221.pptx	-
38762	38762	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-text.pptx	-
47533	47533	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-vertical-block-list.pptx	-
43018	43018	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/smartart-vertical-box-list.pptx	-
32278	32278	true	/home/zhuhe/code/litchi/test-data/ooxml/pptx/trigger.pptx	-
308394	308394	true	/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/45545_Comment.pptx	-
972788	972788	true	/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/ArtisticEffectSample.pptx	-
90047	90047	true	/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/EmbeddedAudio.pptx	-
201418	201418	true	/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/EmbeddedVideo.pptx	-
384775	384775	true	/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/bug62513.pptx	-
34383	34383	true	/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/bug65551.pptx	-
346876	346876	true	/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/placeholder-layout-color.pptx	-
30976	30976	true	/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/prProps.pptx	-
36107	36107	true	/home/zhuhe/code/litchi/test-data/poi/test-data/xmldsign/hello-world-signed.pptx	-
38874	38874	true	/home/zhuhe/code/litchi/test-data/poi/test-data/xmldsign/ms-office-2010-signed.pptx	-
# files=78 exact=78 differing=0 refused=0
