path	file_bytes	eocd_off	cd_off	cd_size	entries	comment_len	zip64	fast_path	prefixed	tail_pad
test-data/ooxml/xlsx/conditional_fmt_origin.xlsx	9705	9683	8877	806	12	0	0	1	0	0
test-data/ooxml/xlsx/autofilter.xlsx	6299	6277	5551	726	11	0	0	1	0	0
test-data/ooxml/xlsx/Pivot1_Row_Grand_Subtotals.xlsx	12845	12823	11606	1217	17	0	0	1	0	0
test-data/ooxml/xlsx/condFormat_cellis.xlsx	9347	9325	8515	810	12	0	0	1	0	0
test-data/ooxml/xlsx/cell-multi-line.xlsx	9144	9122	8316	806	12	0	0	1	0	0
test-data/ooxml/xlsx/DateFormatNumberTests.xlsx	10981	10959	10187	772	12	0	0	1	0	0
test-data/ooxml/xlsx/test_conditional_formatting.xlsx	10203	10181	9313	868	13	0	0	1	0	0
test-data/ooxml/xlsx/sortconditionref2.xlsx	14816	14794	13690	1104	16	0	0	1	0	0
test-data/ooxml/xlsx/sheet-tab-color.xlsx	8408	8386	7602	784	12	0	0	1	0	0
test-data/ooxml/xlsx/SimpleScatterChart.xlsx	18278	18256	16528	1728	25	0	0	1	0	0
test-data/ooxml/xlsx/StructuredRefs-lots-with-lookups.xlsx	325446	325424	322689	2735	38	0	0	1	0	0
test-data/ooxml/xlsx/Pivot4_Column_Grand_Subtotals_SortDescending.xlsx	12734	12712	11495	1217	17	0	0	1	0	0
test-data/ooxml/xlsx/shared-strings-malformed-count.xlsx	6266	6244	4950	1294	14	0	0	1	0	0
test-data/ooxml/xlsx/Pivot2_Row_Grand.xlsx	12615	12593	11376	1217	17	0	0	1	0	0
test-data/ooxml/xlsx/FormatConditionTests.xlsx	14577	14555	13783	772	12	0	0	1	0	0
test-data/ooxml/xlsx/sample.xlsx	12348	12326	10986	1340	19	0	0	1	0	0
test-data/ooxml/xlsx/column_style.xlsx	4646	4624	4115	509	8	0	0	1	0	0
test-data/ooxml/xlsx/Pivot1_Row_Grand.xlsx	12709	12687	11470	1217	17	0	0	1	0	0
test-data/ooxml/xlsx/headerFooterTest.xlsx	27484	27462	26753	709	11	0	0	1	0	0
test-data/ooxml/xlsx/chart_hyperlink.xlsx	21564	21542	19838	1704	25	0	0	1	0	0
test-data/ooxml/xlsx/CustomXMLMappings.xlsx	9906	9884	8886	998	15	0	0	1	0	0
test-data/ooxml/xlsx/autofilter-colors-fg.xlsx	10750	10728	9856	872	13	0	0	1	0	0
