% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 96.27    0.003663           1      3205           write
  0.81    0.000031           1        28           openat
  0.79    0.000030           0        94         3 statx
  0.68    0.000026           0        79           read
  0.55    0.000021           7         3           fdatasync
  0.42    0.000016           5         3           unlink
  0.29    0.000011           0        24           pread64
  0.18    0.000007           0        27           close
  0.00    0.000000           0         9           fstat
  0.00    0.000000           0         2           lseek
------ ----------- ----------- --------- --------- ----------------
100.00    0.003805           1      3474         3 total
