change 0635: callgrind isolation pairs, N=1 and N=11, totals differenced and divided by 10.
Legs: before = base c7326f680; after = the retained change; afterB = the retained change
plus patch/0635-chain-facts.patch (the rejected snapshot-chain capture).
Inclusive Ir per operation. taskset -c 11, one deterministic run per leg.

case                       symbol                                         before            after    delta%           afterB    chain%
one_percent-dense-sparse   raw_attribute                               8,697,474        6,561,595   -24.56%                -         -
one_percent-dense-sparse   push_cell                                     672,240          676,979    +0.70%                -         -
one_percent-dense-sparse   from_package_with_styles                      948,684          948,554    -0.01%                -         -
one_percent-dense-sparse   from_rewritten_value_source               110,589,013      110,591,328    +0.00%                -         -
one_percent-dense-sparse   validate_xml                               89,970,529       89,970,575    +0.00%                -         -
one_percent-dense-sparse   rewrite_value_only_with_provenance          7,354,386        6,795,646    -7.60%                -         -
one_percent-dense-sparse   scan_with_limit                                -2,191                -         -                -         -
one_percent-dense-sparse   materialize_cell                              745,362          745,984    +0.08%                -         -
one_percent-dense-sparse   write_sheet_data_from_facts                 2,733,966        2,726,394    -0.28%                -         -
one_percent-dense-sparse   is_spreadsheetml_name                      18,821,131       18,821,474    +0.00%                -         -

managed_one_edit-medium    WHOLE ITERATION                         1,222,566,978    1,220,630,888    -0.16%                -         -
managed_one_edit-medium    from_source_selected                       28,924,472       27,592,381    -4.61%                -         -
managed_one_edit-medium    worksheet_xml_and_parse_source             28,051,918       26,719,754    -4.75%                -         -
managed_one_edit-medium    parse_source_with_observer                 55,409,001       52,729,429    -4.84%                -         -
managed_one_edit-medium    observe                                     4,064,158        2,617,901   -35.59%                -         -
managed_one_edit-medium    element                                     3,339,026        1,895,861   -43.22%                -         -
managed_one_edit-medium    cell                                        1,852,146        1,158,672   -37.44%                -         -
managed_one_edit-medium    raw_attribute                               1,121,140          843,468   -24.77%                -         -
managed_one_edit-medium    capture_auxiliary_source                      279,344          259,900    -6.96%                -         -
managed_one_edit-medium    from_package_with_styles                      948,150          948,936    +0.08%                -         -
managed_one_edit-medium    from_rewritten_value_source                13,302,384       13,304,478    +0.02%                -         -
managed_one_edit-medium    validate_xml                               11,713,171       11,712,515    -0.01%                -         -
managed_one_edit-medium    rewrite_value_only_with_provenance            206,348          159,368   -22.77%                -         -
managed_one_edit-medium    is_spreadsheetml_name                       7,291,009        7,291,125    +0.00%                -         -

producer_medium_edit       WHOLE ITERATION                            39,555,809       38,910,480    -1.63%       40,105,663    +3.07%
producer_medium_edit       from_source_selected                       14,331,081       13,716,308    -4.29%       13,678,165    -0.28%
producer_medium_edit       worksheet_xml_and_parse_source             13,865,859       13,251,234    -4.43%       13,213,235    -0.29%
producer_medium_edit       parse_source_with_observer                 27,418,825       26,182,510    -4.51%       26,106,543    -0.29%
producer_medium_edit       observe                                     1,799,277        1,161,012   -35.47%        2,310,410   +99.00%
producer_medium_edit       element                                     1,494,841          851,258   -43.05%        1,702,539  +100.00%
producer_medium_edit       cell                                          804,584          504,160   -37.34%        1,008,320  +100.00%
producer_medium_edit       raw_attribute                                 518,984          387,407   -25.35%          774,837  +100.01%
producer_medium_edit       push_cell                                      38,067           43,305   +13.76%           70,505   +62.81%
producer_medium_edit       row                                            40,027                -         -           48,861         -
producer_medium_edit       capture_auxiliary_source                      172,875          192,769   +11.51%          192,572    -0.10%
producer_medium_edit       from_rewritten_value_source                11,636,754       11,647,080    +0.09%       12,857,623   +10.39%
producer_medium_edit       validate_xml                                5,503,980        5,503,618    -0.01%          111,896   -97.97%
