# Counter-example: the same sweep as scaling/zip-sweep.tsv, run in a window
# whose pinned CPU set (17,21,22,25,28,29,30,31) turned out to contain three
# fully saturated CPUs belonging to other agents on this shared host. It is
# retained because it is the measured shape of a wave that has to wait for its
# workers to be scheduled: p50 values in whole milliseconds where the
# sequential leg is tens of microseconds, and A/A floors up to 118%.
#
# Nothing is claimed from these cells. They are the evidence behind the
# Limitations paragraph "on a saturated host the wave is a large loss".
# The corrected run, on CPUs measured idle immediately beforehand, is
# scaling/zip-sweep.tsv.
#
# Captured by probe/sweep.py with drive.py's CPU set fixed at
# "17,21,22,25,28,29,30,31", before the driver was changed to choose the
# quietest CPUs from /proc/stat at run time.
members	bytes	remainder	width	n	p50_ns	mean_ns	p95_ns	p99_ns	speedup_vs_seq
2	871	871	0	120	17880	17448	18130	25900	1.000
2	871	871	1	60	16290	16437	16540	17190	1.098
2	871	871	2	60	22830	469309	3030073	3727307	0.783
2	871	871	4	60	22500	414058	2987223	4227748	0.795
2	871	871	8	60	20050	299642	1063014	3999427	0.892
# aa-floor members=2 bytes=871 seq_p50_a1=18020 seq_p50_a2=16570 spread=8.75%
4	871	2613	0	120	32930	34036	38240	44800	1.000
4	871	2613	1	60	34640	34889	35001	41751	0.951
4	871	2613	2	60	38651	39254	43660	48910	0.852
4	871	2613	4	60	2991003	3432534	13933192	19005485	0.011
4	871	2613	8	60	39990	213189	87681	3250814	0.823
# aa-floor members=4 bytes=871 seq_p50_a1=32810 seq_p50_a2=33030 spread=0.67%
8	871	6097	0	120	64901	65745	70560	81171	1.000
8	871	6097	1	60	64640	65248	70751	73720	1.004
8	871	6097	2	60	74220	74638	80171	81800	0.874
8	871	6097	4	60	80281	81226	88530	89430	0.808
8	871	6097	8	60	82951	84007	92300	121990	0.782
# aa-floor members=8 bytes=871 seq_p50_a1=64800 seq_p50_a2=65110 spread=0.48%
16	871	13065	0	120	133010	358261	226482	9143961	1.000
16	871	13065	1	60	132861	286935	176821	3158504	1.001
16	871	13065	2	60	140981	141866	149150	152640	0.943
16	871	13065	4	60	141461	144188	148721	171041	0.940
16	871	13065	8	60	142010	143545	158211	163301	0.937
# aa-floor members=16 bytes=871 seq_p50_a1=130820 seq_p50_a2=134321 spread=2.68%
40	871	33969	0	120	363512	861639	5482980	9387070	1.000
40	871	33969	1	60	363292	365695	386812	394032	1.001
40	871	33969	2	60	5995712	5214742	7000777	8605786	0.061
40	871	33969	4	60	2991366	3654832	19119512	25172284	0.122
