% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.43    0.424539           0    591477           statx
  0.49    0.002104           0      2691           write
  0.03    0.000118           5        23           openat
  0.02    0.000094           1        79           read
  0.01    0.000052           0       114           pread64
  0.00    0.000021           0        22           close
  0.00    0.000017           1         9           fstat
  0.00    0.000008           4         2           lseek
------ ----------- ----------- --------- --------- ----------------
100.00    0.426953           0    594417           total
