% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 93.01    0.002753           1      2691           write
  3.85    0.000114           5        22           openat
  1.89    0.000056           0        79           read
  0.47    0.000014           0        21           close
  0.27    0.000008           0         9           fstat
  0.24    0.000007           3         2           lseek
  0.20    0.000006           0        12           statx
  0.07    0.000002           0         6           pread64
------ ----------- ----------- --------- --------- ----------------
100.00    0.002960           1      2842           total
