% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.30    0.481944           0    591477           statx
  0.64    0.003121           1      2691           write
  0.02    0.000111           4        23           openat
  0.02    0.000090           1        79           read
  0.01    0.000058           0       114           pread64
  0.00    0.000023           1        22           close
  0.00    0.000008           0         9           fstat
  0.00    0.000008           4         2           lseek
------ ----------- ----------- --------- --------- ----------------
100.00    0.485363           0    594417           total
