% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 55.77    0.009414           0     10912           statx
 29.19    0.004928           0      5530           pread64
 14.45    0.002439         187        13           read
  0.31    0.000052          17         3           write
  0.13    0.000022           0        44        13 openat
  0.08    0.000014           0        31           close
  0.04    0.000007           3         2           lseek
  0.02    0.000004           0        21           fstat
  0.01    0.000001           1         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.016881           1     16557        13 total
