% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 92.82    0.001888         145        13           read
  3.93    0.000080           2        38        13 openat
  1.23    0.000025           1        25           close
  1.13    0.000023           1        21           fstat
  0.39    0.000008           4         2           lseek
  0.20    0.000004           1         3           write
  0.20    0.000004           1         4           pread64
  0.10    0.000002           0         4           statx
  0.00    0.000000           0         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.002034          18       111        13 total
