% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 37.68    0.003948           1      3934           pread64
 35.29    0.003697           0      3898           statx
 24.95    0.002614         201        13           read
  1.35    0.000141          47         3           write
  0.55    0.000058           1        44        13 openat
  0.10    0.000010           0        31           close
  0.07    0.000007           3         2           lseek
  0.01    0.000001           0        21           fstat
  0.01    0.000001           1         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.010477           1      7947        13 total
