% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 89.00    0.002119         163        13           read
  5.29    0.000126          42         3           write
  3.40    0.000081           2        38        13 openat
  0.92    0.000022           0        25           close
  0.80    0.000019           0        21           fstat
  0.34    0.000008           4         2           lseek
  0.13    0.000003           0         4           statx
  0.08    0.000002           0         4           pread64
  0.04    0.000001           1         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.002381          21       111        13 total
