% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 36.28    0.003342           0      3934           pread64
 33.41    0.003078           0      3898           statx
 28.09    0.002588         199        13           read
  1.63    0.000150          50         3           write
  0.36    0.000033           0        44        13 openat
  0.13    0.000012           0        31           close
  0.08    0.000007           3         2           lseek
  0.01    0.000001           0        21           fstat
  0.01    0.000001           1         1           fdatasync
------ ----------- ----------- --------- --------- ----------------
100.00    0.009212           1      7947        13 total
