file	bytes	read_calls	read_bytes	full_artifact_reads	len_calls	version_calls	outcome
/home/zhuhe/code/litchi/test-data/poi/test-data/document/Bug53453Section.doc	26112	15	35564	1.3620	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/au.edu.utas.www___data_assets_word_doc_0003_154335_International-Travel-Approval-Request-Form.doc	86528	16	98816	1.1420	12	38	open-ERR Refused(Macro)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/ca.kwsymphony.www_education_School_Concert_Seat_Booking_Form_2011-12.doc	1619457	16	1665621	1.0285	12	40	open-ERR Refused(Field)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/password_password_cryptoapi.doc	27136	14	34970	1.2887	12	37	open-ERR Refused(Encrypted)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/password_tika_binaryrc4.doc	22016	14	29850	1.3558	12	37	open-ERR Refused(Encrypted)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/saved-by-table.doc	65024	13	72704	1.1181	12	36	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/test.doc	32768	16	40448	1.2344	12	38	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/word_with_embeded.doc	117248	40	138752	1.1834	12	54	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/poi/test-data/hpsf/TestBug52117.doc	7168	13	14848	2.0714	12	36	open-ERR Refused(AmbiguousTopology)
/home/zhuhe/code/litchi/test-data/poi/test-data/hpsf/TestGermanWord90.doc	19456	13	27136	1.3947	12	36	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/poi/test-data/hpsf/TestMickey.doc	12288	16	19968	1.6250	12	38	open-ERR Refused(AmbiguousTopology)
/home/zhuhe/code/litchi/test-data/poi/test-data/hpsf/TestNon4ByteBoundary.doc	11776	15	22612	1.9202	12	38	open-ERR Refused(Revision)
