file	bytes	read_calls	read_bytes	full_artifact_reads	len_calls	version_calls	outcome
/home/zhuhe/code/litchi/test-data/libreoffice-core/embeddedobj/qa/cppunit/data/insert-file-config.doc	22016	19	53484	2.4293	14	46	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/libreoffice-core/sw/qa/core/data/ww8/fail/redline-1.doc	8319	1	512	0.0615	2	3	open-ERR Ole(InvalidFormat("Invalid byte order"))
/home/zhuhe/code/litchi/test-data/libreoffice-core/sw/qa/core/doc/data/bookmark-delete-redline.doc	66048	16	141548	2.1431	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/libreoffice-core/sw/qa/extras/ww8import/data/changes-in-footnote.doc	13312	16	35700	2.6818	14	44	open-ERR Refused(Revision)
/home/zhuhe/code/litchi/test-data/office-interop/libreoffice-resaved/noheadfoot-litchi.doc	10240	59	169217	16.5251	70	241	OK
/home/zhuhe/code/litchi/test-data/office-interop/litchi-changed/noheadfoot-litchi.doc	27648	16	64748	2.3419	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/3endnotes.doc	35328	19	80108	2.2675	14	46	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/DiffFirstPageHeadFoot.doc	27648	16	64748	2.3419	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/FancyFoot.doc	27136	16	63724	2.3483	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/FloatingPictures.doc	335360	29	689152	2.0550	14	52	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/HeaderFooterProblematic.doc	61440	14	130560	2.1250	14	42	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/HeaderFooterUnicode.doc	28672	16	66796	2.3297	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/Lists.doc	27648	16	64748	2.3419	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/NoHeadFoot.doc	26112	16	61676	2.3620	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/PasswordProtected.doc	19968	15	47770	2.3923	14	43	open-ERR Refused(Encrypted)
/home/zhuhe/code/litchi/test-data/ole/doc/PngPicture.doc	14336	17	36352	2.5357	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/ThreeColFoot.doc	27136	16	63724	2.3483	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/ThreeColHead.doc	27136	16	63724	2.3483	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/ThreeColHeadFoot.doc	27136	16	63724	2.3483	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/cfb-truncated-final-sector.doc	24065	16	57582	2.3928	14	44	open-ERR Refused(Field)
/home/zhuhe/code/litchi/test-data/ole/doc/cfb-v3-uninitialized-size-high-word.doc	15360	17	38400	2.5000	14	44	open-ERR Refused(AmbiguousTopology)
/home/zhuhe/code/litchi/test-data/ole/doc/cjklist30.doc	24064	16	57580	2.3928	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/cjklist31.doc	24064	16	57580	2.3928	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/cjklist34.doc	24064	16	57580	2.3928	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/cjklist35.doc	24064	16	57580	2.3928	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/commented-table.doc	27136	19	63724	2.3483	14	46	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/documentProperties.doc	9728	59	161825	16.6350	70	241	OK
/home/zhuhe/code/litchi/test-data/ole/doc/duplicate-style-names.doc	64512	60	929113	14.4022	70	241	OK
/home/zhuhe/code/litchi/test-data/ole/doc/empty.doc	19456	14	46592	2.3947	14	42	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/endingnote.doc	9728	43	116739	12.0003	51	173	read-ERR Refused(StructuralContent)
/home/zhuhe/code/litchi/test-data/ole/doc/equation.doc	13824	17	39936	2.8889	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/first-header-footer.doc	23552	16	56556	2.4013	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/footnote.doc	9728	43	116727	11.9991	51	173	read-ERR Refused(StructuralContent)
/home/zhuhe/code/litchi/test-data/ole/doc/hyperlink.doc	9728	16	28532	2.9330	14	44	open-ERR Refused(Field)
/home/zhuhe/code/litchi/test-data/ole/doc/image-comment-at-char.doc	24064	19	57580	2.3928	14	46	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/inline-endnote-and-footnote.doc	24576	14	58368	2.3750	14	42	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/lists-margins.doc	10752	59	176467	16.4125	70	241	OK
/home/zhuhe/code/litchi/test-data/ole/doc/picture.doc	1448448	68	14586293	10.0703	51	213	read-ERR Refused(StructuralContent)
/home/zhuhe/code/litchi/test-data/ole/doc/pictures_escher.doc	120320	17	251392	2.0894	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/table-merged-cells.doc	17408	43	193671	11.1254	51	173	read-ERR Refused(StructuralContent)
/home/zhuhe/code/litchi/test-data/ole/doc/tdf71749_with_footnote.doc	20480	14	48640	2.3750	14	42	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/testPictures.doc	315904	16	647252	2.0489	14	44	open-ERR Refused(Field)
/home/zhuhe/code/litchi/test-data/ole/doc/watermark.doc	20480	14	50176	2.4500	14	42	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/ole/doc/word6-no-table-stream.doc	6656	14	20992	3.1538	14	42	open-ERR Refused(AmbiguousTopology)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/47950_normal.doc	27136	16	63724	2.3483	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/Bug53453Section.doc	26112	16	61676	2.3620	14	44	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/au.edu.utas.www___data_assets_word_doc_0003_154335_International-Travel-Approval-Request-Form.doc	86528	17	185344	2.1420	14	44	open-ERR Refused(Macro)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/ca.kwsymphony.www_education_School_Concert_Seat_Booking_Form_2011-12.doc	1619457	18	3285078	2.0285	14	48	open-ERR Refused(Field)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/password_password_cryptoapi.doc	27136	15	62106	2.2887	14	43	open-ERR Refused(Encrypted)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/password_tika_binaryrc4.doc	22016	15	51866	2.3558	14	43	open-ERR Refused(Encrypted)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/saved-by-table.doc	65024	14	137728	2.1181	14	42	open-ERR Refused(Drawing)
/home/zhuhe/code/litchi/test-data/poi/test-data/document/test.doc	32768	17	73216	2.2344	14	44	open-ERR Refused(Drawing)
