file	bytes	read_calls	read_bytes	full_artifact_reads	len_calls	version_calls	outcome
/home/zhuhe/code/litchi/test-data/office-interop/libreoffice-resaved/45543-transition-litchi.ppt	842240	14	1701888	2.0207	11	37	OK
/home/zhuhe/code/litchi/test-data/office-interop/litchi-changed/45543-transition-litchi.ppt	397312	8	804864	2.0258	11	31	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/SampleShow.ppt	125440	14	258048	2.0571	11	37	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/empty.ppt	10240	12	25600	2.5000	11	35	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/empty_textbox.ppt	11776	12	28672	2.4348	11	35	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/ppt_with_png.ppt	39424	12	83968	2.1299	11	35	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/text-margins.ppt	44032	12	93184	2.1163	11	35	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/text_shapes.ppt	11264	12	27648	2.4545	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/poi-scratchpad/src/main/resources/org/apache/poi/hslf/data/empty.ppt	10240	12	25600	2.5000	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/41246-1.ppt	275456	16	560128	2.0335	11	39	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/45543.ppt	385024	8	779264	2.0239	11	31	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/54880_chinese.ppt	103936	14	214016	2.0591	11	37	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/Password_Protected-56-hello.ppt	10752	12	26624	2.4762	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/Password_Protected-hello.ppt	10752	12	26624	2.4762	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/Password_Protected-np-hello.ppt	10752	12	26624	2.4762	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/WithComments.ppt	10752	12	26624	2.4762	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/WithLinks.ppt	20992	10	47104	2.2439	11	33	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/basic_test_ppt_file.ppt	15360	12	35840	2.3333	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/bug58144-headers-footers-2003.ppt	11776	12	28672	2.4348	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/bug58144-headers-footers-2007.ppt	142848	16	292864	2.0502	11	39	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/cryptoapi-proc2356.ppt	1341952	10	2708480	2.0183	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/datetime.ppt	114176	16	235520	2.0628	11	39	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/headers_footers.ppt	12800	12	30720	2.4000	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/headers_footers_2007.ppt	169472	8	345088	2.0363	11	31	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/incorrect_slide_order.ppt	9728	12	24576	2.5263	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/ole2-embedding-2003.ppt	40448	12	86016	2.1266	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/ppt_with_embeded.ppt	180736	8	367616	2.0340	11	31	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/sound.ppt	43520	12	92160	2.1176	11	35	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/testPPT_oleWorkbook.ppt	98304	14	203776	2.0729	11	37	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/text-margins.ppt	44032	12	93184	2.1163	11	35	OK
