% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 95.52    0.002111           0      2691           write
  2.35    0.000052           2        22           openat
  0.77    0.000017           0        79           read
  0.36    0.000008           0        21           close
  0.36    0.000008           0         9           fstat
  0.36    0.000008           4         2           lseek
  0.27    0.000006           1         6           pread64
  0.00    0.000000           0        12           statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.002210           0      2842           total
