source	/tmp/claude-1001/-home-zhuhe-code-litchi/709d31e6-bf68-4968-8b5c-9a2af1c22cc8/scratchpad/agents/0653/measure/deck/marker-stripped.pptx
archive_bytes	106536
target	slide:1/shape:1
iterations	30
phase	p50_ns	mean_ns	p95_ns	min_ns
opened_presentation (capture)	6550566	7155497	12655798	3497289
Snapshot::edit (working clone)	22790	23458	27410	22080
set_shape_text	627793	1182381	3631219	610263
Transaction::commit	7112659	8225940	14124356	4090903
apply_opened_presentation_commit	94611	161504	120030	87811
edit total	14430758	16748783	36354676	8578096
