# To display the perf.data header info, please use --header/--header-only options.
#
#
# Total Lost Samples: 0
#
# Samples: 1K of event 'cycles:u'
# Event count (approx.): 75955749267
#
# Overhead  Command          Shared Object         Symbol                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                                 
# ........  ...............  ....................  .......................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................................
#
     9.67%  litchi-perf-bas  libc.so.6             [.] __memcmp_evex_movbe
     6.00%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::events::attributes::IterState>::next
     5.76%  litchi-perf-bas  libc.so.6             [.] __memmove_avx512_unaligned_erms
     5.24%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::name::NamespaceResolver>::resolve_prefix
     4.31%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::reader::ns_reader::NsReader<&[u8]>>::process_event
     3.61%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::xml::validation::ElementAttrs>::get
     2.80%  litchi-perf-bas  litchi-perf-baseline  [.] <memchr::arch::x86_64::avx2::memchr::Three>::find_raw_avx2
     2.44%  litchi-perf-bas  litchi-perf-baseline  [.] zlib_rs::deflate::algorithm::medium::deflate_medium
     2.38%  litchi-perf-bas  libc.so.6             [.] _int_malloc
     2.27%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::events::attributes::IterState>::check_for_duplicates
     2.21%  litchi-perf-bas  litchi-perf-baseline  [.] xml_minifier::audit::verify_with_policy
     2.21%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::model::ParagraphText>::push_text
     2.15%  litchi-perf-bas  litchi-perf-baseline  [.] memchr::arch::x86_64::memchr::memchr3_raw::find_avx2
     2.11%  litchi-perf-bas  litchi-perf-baseline  [.] zlib_rs::deflate::longest_match::longest_match
     2.10%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::Parser>::shape_builder
     1.98%  litchi-perf-bas  litchi-perf-baseline  [.] <&[u8] as quick_xml::reader::XmlSource<&mut alloc::vec::Vec<u8>>>::read_with::<quick_xml::parser::element::ElementParser>
     1.81%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::events::attributes::Attribute>::decoded_and_normalized_value_with::<quick_xml::escape::resolve_predefined_entity>
     1.80%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::Parser>::parse_slides_with_styles
     1.57%  litchi-perf-bas  litchi-perf-baseline  [.] core::str::converts::from_utf8
     1.46%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::name::NamespaceResolver>::resolve_event
     1.40%  litchi-perf-bas  litchi-perf-baseline  [.] crc32fast::specialized::pclmulqdq::calculate
     1.28%  litchi-perf-bas  litchi-perf-baseline  [.] <memchr::arch::x86_64::avx2::memchr::Two>::find_raw_avx2
     1.11%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::name::NamespaceResolver>::push
     0.99%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()>
     0.99%  litchi-perf-bas  libc.so.6             [.] _int_free_merge_chunk
     0.99%  litchi-perf-bas  [unknown]             [k] 0xffffffff8c800ef0
     0.99%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::xml::validation::ElementAttrs>::lookup
     0.93%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::reader::state::ReaderState>::emit_start
     0.87%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::reader::Reader<&[u8]>>::read_event_impl::<&mut alloc::vec::Vec<u8>>
     0.82%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odf_common::package::edit::xml_splice_publication
     0.82%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::content_source::ContentSource>::parse
     0.82%  litchi-perf-bas  litchi-perf-baseline  [.] zlib_rs::inflate::inflate_fast_help_avx2
     0.82%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::Parser>::parse_pages_with_styles::<false>::{closure#0}
     0.76%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()>
     0.76%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::encoding::Decoder>::decode_cow
     0.70%  litchi-perf-bas  litchi-perf-baseline  [.] <alloc::raw_vec::RawVecInner>::finish_grow
     0.70%  litchi-perf-bas  libc.so.6             [.] unlink_chunk.isra.0
     0.64%  litchi-perf-bas  libc.so.6             [.] malloc
     0.58%  litchi-perf-bas  litchi-perf-baseline  [.] <memchr::arch::x86_64::avx2::memchr::Three>::find_raw
     0.58%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::xml::validation::ElementAttrs>::harvest_drawing_attribute
     0.58%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::events::attributes::Attributes as core::iter::traits::iterator::Iterator>::next
     0.53%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odp::model::page_metadata::validate_text
     0.53%  litchi-perf-bas  litchi-perf-baseline  [.] xml_minifier::audit::check_attribute_layout
     0.52%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odp::model::page_metadata::parse_page
     0.52%  litchi-perf-bas  litchi-perf-baseline  [.] <core::iter::adapters::map::Map<core::ops::range::Range<usize>, litchi_odp::model::page_metadata::effective_page_names::{closure#0}> as core::iter::traits::iterator::Iterator>::try_fold::<(), <core::iter::adapters::GenericShunt<core::iter::adapters::map::Map<core::ops::range::Range<usize>, litchi_odp::model::page_metadata::effective_page_names::{closure#0}>, core::result::Result<core::convert::Infallible, litchi_core::error::types::Error>> as core::iter::traits::iterator::Iterator>::try_fold<(), core::iter::traits::iterator::Iterator::try_for_each::call<alloc::string::String, core::ops::control_flow::ControlFlow<alloc::string::String>, core::ops::control_flow::ControlFlow<alloc::string::String>::Break>::{closure#0}, core::ops::control_flow::ControlFlow<alloc::string::String>>::{closure#0}, core::ops::control_flow::ControlFlow<core::ops::control_flow::ControlFlow<alloc::string::String>>>
     0.52%  litchi-perf-bas  litchi-perf-baseline  [.] core::slice::memchr::memrchr
     0.52%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::reader::Reader<&[u8]>>::read_event_impl::<()>
     0.52%  litchi-perf-bas  litchi-perf-baseline  [.] litchi_odp::model::staging::parse
     0.52%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::codec::parser::codec::Parser>::finish_shape
     0.47%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::reader::state::ReaderState>::emit_end
     0.47%  litchi-perf-bas  litchi-perf-baseline  [.] <quick_xml::name::QName>::decompose
     0.47%  litchi-perf-bas  litchi-perf-baseline  [.] <memchr::arch::x86_64::avx2::memchr::One>::find_raw
     0.46%  litchi-perf-bas  litchi-perf-baseline  [.] <litchi_odp::model::slide::DrawingAttribute>::new::<alloc::string::String, alloc::string::String>
     0.41%  litchi-perf-bas  libc.so.6             [.] _int_realloc
