fixture	key	class	before	after
libreoffice-core/sc/qa/unit/data/xlsx/LambdaAndRelatedFunctions.xlsx	xlsx.sheet.8.view.0.retained_xml	c-markup-canonical-same	len=1144;sha=150077388b4ee9ec5047b9a69d7a26995550671ccd0b3bd66d5d7f145fdd3eac	len=626;sha=a62e0ebb3c80a445d07bd11e3980c4de980f3028a0a4e92a77b88ab2b651e3d1
libreoffice-core/sc/qa/unit/data/xlsx/NamedSheetViews.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=1454;sha=8d884f97092382b5c00cd4bb14a6964cb72445d1443605f1c494fa31457a3080	len=782;sha=9c99e4eca86f5ee63a03d561ec2b9dbb07bd8c75a239b530fa0d76b76942d0d6
libreoffice-core/sc/qa/unit/data/xlsx/Spill.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=1187;sha=edbb4f05e09eb35382f22aa10a5aa22aca192298b8588387231536d1337ba6b8	len=669;sha=1da1a51fadcc97f2fddfa751c0335be15f4ccb31a6531e4e05bf2742eb145ae1
libreoffice-core/sc/qa/unit/data/xlsx/activex_checkbox.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=994;sha=7f6787dcc05dec812445dfa9554edcab46d95e88bcfbdfeeadb728c017988049	len=551;sha=8d203715c8280dbba503120b7beee867e757be2d4b872d25c2149ab890e0ce14
libreoffice-core/sc/qa/unit/data/xlsx/autofilterShowButton.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=686;sha=7b8d7e1a3dd5effa16c6d80a3f6d763d684d0dab15ee1ad315af00cae7dbf6e8	len=397;sha=f9da5c863e4237f0297b31bd9f2b404a202e7d60d160594c2a4e6868dac71643
libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=686;sha=4a49fa69fd25cb7dc2d8abd3d598f3e7e110413f813493291ed4e6b4fbcf9113	len=397;sha=1bfdbfde414cc25c37fb397ff29710db9fe7e513ba7a19df91270b45d313f1b4
libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx	xlsx.sheet.1.view.0.retained_xml	c-markup-canonical-same	len=672;sha=f9310693fc8004f296beda23800b88d44d7168607e5d5890fc9a4a7de7ac5f32	len=383;sha=5c5e389221c1fc1653bec2a89806547def98522f0b3edb3860002819845ac12a
libreoffice-core/sc/qa/unit/data/xlsx/dataValidity.xlsx	xlsx.sheet.2.view.0.retained_xml	c-markup-canonical-same	len=670;sha=2a6e5e69eb62cfaf70b62a0717d36b93cb904aff61742c1bfc959743e6780d85	len=381;sha=dafe5253cba5e387072f309f990280e2ee6768fe8fb67c9bde1735c8aa9dcf28
libreoffice-core/sc/qa/unit/data/xlsx/dateAutofilter.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=686;sha=be88f53efa1896b516a8bf35d7dbf88900b3ff31f78b6f873a0e9e57b3422435	len=397;sha=ba9db162f04fae8b28662b589ad8ceaed6b22e59d583a198b9679c0094cdab3f
libreoffice-core/sc/qa/unit/data/xlsx/enhanced-protection.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=686;sha=856d42628100d7eb116538628174cc4e677012ec1a6ffd965369a14feef60bdb	len=397;sha=78d608ab42a8a3cc5c44c00e2aa72af3fe5b58676c4382f673d6bd94ef4ebf7e
libreoffice-core/sc/qa/unit/data/xlsx/enhancedProtectionRangeShorthand.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=1301;sha=12b49c752e722bb4a80a3c0d38b6f642d5f167f8e8c0a45d3c896ac301afb938	len=855;sha=9700e139f5f61781b31360bdf313fdcf736bb6031ef00eb4572b82e6aaaf5c96
libreoffice-core/sc/qa/unit/data/xlsx/external-refs.xlsx	xlsx.sheet.0.view.0.retained_xml	c-markup-canonical-same	len=97;sha=eadc50613bf823c9f0b2d12c5bf7f19b23045a99097598c7f16df75940ba91d9	len=241;sha=c919da748b4d82545b0a783b191476e94f211fbac94e52df5b3354b6e0858f6d
