mode	fixture	bytes	cycles_per_op	instructions_per_op	cycles_per_byte	instructions_per_byte
doc-open	noheadfoot-litchi.doc	10240	339449	720184	33.1493	70.3305
doc-open	documentProperties.doc	9728	333025	708756	34.2337	72.8573
doc-open	duplicate-style-names.doc	64512	1038365	1616438	16.0957	25.0564
doc-open	endingnote.doc	9728	333875	709646	34.3210	72.9488
doc-open	footnote.doc	9728	334892	712148	34.4256	73.2060
doc-open	lists-margins.doc	10752	349176	733283	32.4755	68.1996
doc-open	picture.doc	1448448	18980160	24223370	13.1038	16.7237
doc-open	table-merged-cells.doc	17408	428607	822468	24.6213	47.2466
ppt-open	45543-transition-litchi.ppt	842240	3750518	4849722	4.4530	5.7581
ppt-open	45543-transition-litchi.ppt	397312	1771610	2360297	4.4590	5.9407
ppt-open	SampleShow.ppt	125440	610510	886785	4.8670	7.0694
ppt-open	empty.ppt	10240	116092	250632	11.3371	24.4758
ppt-open	empty_textbox.ppt	11776	119538	247407	10.1509	21.0094
ppt-open	ppt_with_png.ppt	39424	241668	409270	6.1300	10.3813
ppt-open	text-margins.ppt	44032	259129	426077	5.8850	9.6765
ppt-open	text_shapes.ppt	11264	118341	247810	10.5062	22.0002
ppt-open	empty.ppt	10240	116633	253047	11.3899	24.7116
ppt-open	41246-1.ppt	275456	1259235	1727303	4.5715	6.2707
ppt-open	45543.ppt	385024	1708869	2278392	4.4383	5.9175
ppt-open	54880_chinese.ppt	103936	520593	767483	5.0088	7.3842
ppt-open	Password_Protected-56-hello.ppt	10752	116199	241960	10.8072	22.5037
ppt-open	Password_Protected-hello.ppt	10752	115905	241926	10.7799	22.5006
ppt-open	Password_Protected-np-hello.ppt	10752	116873	241896	10.8699	22.4978
ppt-open	WithComments.ppt	10752	117060	245895	10.8873	22.8697
ppt-open	WithLinks.ppt	20992	163461	311782	7.7868	14.8524
ppt-open	basic_test_ppt_file.ppt	15360	135853	268077	8.8446	17.4530
ppt-open	bug58144-headers-footers-2003.ppt	11776	120705	250753	10.2501	21.2936
ppt-open	bug58144-headers-footers-2007.ppt	142848	686871	989975	4.8084	6.9303
ppt-open	cryptoapi-proc2356.ppt	1341952	5894040	7529034	4.3921	5.6105
ppt-open	datetime.ppt	114176	565067	830496	4.9491	7.2738
ppt-open	headers_footers.ppt	12800	124688	254100	9.7413	19.8515
ppt-open	headers_footers_2007.ppt	169472	787488	1105187	4.6467	6.5214
ppt-open	incorrect_slide_order.ppt	9728	111425	236730	11.4540	24.3349
ppt-open	ole2-embedding-2003.ppt	40448	246649	416025	6.0979	10.2854
ppt-open	ppt_with_embeded.ppt	180736	836413	1173107	4.6278	6.4907
ppt-open	sound.ppt	43520	259857	434389	5.9710	9.9814
ppt-open	testPPT_oleWorkbook.ppt	98304	497537	743978	5.0612	7.5681
ppt-open	text-margins.ppt	44032	259056	426496	5.8834	9.6860
