mode	fixture	bytes	cycles_per_op	instructions_per_op	cycles_per_byte	instructions_per_byte
doc-open	noheadfoot-litchi.doc	10240	220048	505917	21.4891	49.4060
doc-open	documentProperties.doc	9728	216942	498986	22.3008	51.2938
doc-open	duplicate-style-names.doc	64512	571093	961897	8.8525	14.9104
doc-open	endingnote.doc	9728	216558	499583	22.2613	51.3552
doc-open	footnote.doc	9728	216987	501903	22.3054	51.5936
doc-open	lists-margins.doc	10752	225285	513874	20.9529	47.7933
doc-open	picture.doc	1448448	9590080	12511149	6.6209	8.6376
doc-open	table-merged-cells.doc	17408	263814	552529	15.1547	31.7399
ppt-open	45543-transition-litchi.ppt	842240	3750895	4848085	4.4535	5.7562
ppt-open	45543-transition-litchi.ppt	397312	1770388	2359296	4.4559	5.9381
ppt-open	SampleShow.ppt	125440	609405	886608	4.8581	7.0680
ppt-open	empty.ppt	10240	115594	250480	11.2885	24.4609
ppt-open	empty_textbox.ppt	11776	119681	247340	10.1631	21.0037
ppt-open	ppt_with_png.ppt	39424	239771	409159	6.0818	10.3784
ppt-open	text-margins.ppt	44032	257891	426002	5.8569	9.6748
ppt-open	text_shapes.ppt	11264	117844	247709	10.4620	21.9912
ppt-open	empty.ppt	10240	116357	253128	11.3630	24.7196
ppt-open	41246-1.ppt	275456	1257856	1726817	4.5664	6.2689
ppt-open	45543.ppt	385024	1711099	2278214	4.4441	5.9171
ppt-open	54880_chinese.ppt	103936	518258	767243	4.9863	7.3819
ppt-open	Password_Protected-56-hello.ppt	10752	116164	241922	10.8039	22.5002
ppt-open	Password_Protected-hello.ppt	10752	115510	241875	10.7431	22.4958
ppt-open	Password_Protected-np-hello.ppt	10752	115034	241875	10.6989	22.4959
ppt-open	WithComments.ppt	10752	116543	245771	10.8392	22.8581
ppt-open	WithLinks.ppt	20992	162378	311735	7.7352	14.8502
ppt-open	basic_test_ppt_file.ppt	15360	135914	268253	8.8486	17.4644
ppt-open	bug58144-headers-footers-2003.ppt	11776	120779	250796	10.2564	21.2972
ppt-open	bug58144-headers-footers-2007.ppt	142848	687776	989959	4.8147	6.9302
ppt-open	cryptoapi-proc2356.ppt	1341952	5897342	7527427	4.3946	5.6093
ppt-open	datetime.ppt	114176	565592	830432	4.9537	7.2733
ppt-open	headers_footers.ppt	12800	124043	254105	9.6909	19.8520
ppt-open	headers_footers_2007.ppt	169472	786131	1105019	4.6387	6.5204
ppt-open	incorrect_slide_order.ppt	9728	110937	236662	11.4039	24.3279
ppt-open	ole2-embedding-2003.ppt	40448	245491	415979	6.0693	10.2843
ppt-open	ppt_with_embeded.ppt	180736	836735	1172863	4.6296	6.4894
ppt-open	sound.ppt	43520	258807	434579	5.9468	9.9857
ppt-open	testPPT_oleWorkbook.ppt	98304	496641	744026	5.0521	7.5686
ppt-open	text-margins.ppt	44032	258334	426414	5.8670	9.6842
