op,shape,order,leg,rep,cycles_per_op
eager_text,200,2,after,2,363319
eager_text,200,2,after,3,353755
eager_text,200,2,after,4,332283
eager_text,200,2,after,5,351198
eager_text,200,2,after,6,350418
eager_text,200,2,after,7,370285
eager_text,200,2,after,8,379280
eager_text,200,2,after,9,362732
eager_text,200,2,after,10,364351
eager_text,200,2,after,11,361838
eager_text,200,2,after,12,366296
eager_text,200,2,after,13,352985
eager_text,200,2,after,14,349739
eager_text,200,2,after,15,344566
eager_text,200,3,after,1,350302
eager_text,200,3,after,2,357856
eager_text,200,3,after,3,354083
eager_text,200,3,after,4,321162
eager_text,200,3,after,5,383645
eager_text,200,3,after,6,332439
eager_text,200,3,after,7,325824
eager_text,200,3,after,8,283896
eager_text,200,3,after,9,397825
eager_text,200,3,after,10,475769
eager_text,200,3,after,11,336755
eager_text,200,3,after,12,356780
eager_text,200,3,after,13,363684
eager_text,200,3,after,14,322742
eager_text,200,3,after,15,224561
eager_text,200,4,before,1,617761
eager_text,200,4,before,2,527354
eager_text,200,4,before,3,621592
eager_text,200,4,before,4,595026
eager_text,200,4,before,5,582695
eager_text,200,4,before,6,542298
eager_text,200,4,before,7,-707445
eager_text,200,4,before,8,600522
eager_text,200,4,before,9,593650
eager_text,200,4,before,10,612436
eager_text,200,4,before,11,615580
eager_text,200,4,before,12,600078
eager_text,200,4,before,13,616989
eager_text,200,4,before,14,596267
eager_text,200,4,before,15,554479
eager_paragraph_count,200,1,before,1,341604
eager_paragraph_count,200,1,before,2,340545
eager_paragraph_count,200,1,before,3,335185
eager_paragraph_count,200,1,before,4,348104
eager_paragraph_count,200,1,before,5,351326
eager_paragraph_count,200,1,before,6,342183
eager_paragraph_count,200,1,before,7,351960
eager_paragraph_count,200,1,before,8,361452
eager_paragraph_count,200,1,before,9,346997
eager_paragraph_count,200,1,before,10,349696
eager_paragraph_count,200,1,before,11,332883
eager_paragraph_count,200,1,before,12,343668
eager_paragraph_count,200,1,before,13,372898
eager_paragraph_count,200,1,before,14,363236
eager_paragraph_count,200,1,before,15,359267
eager_paragraph_count,200,2,after,1,327747
eager_paragraph_count,200,2,after,2,334012
eager_paragraph_count,200,2,after,3,347858
eager_paragraph_count,200,2,after,4,334899
eager_paragraph_count,200,2,after,5,325012
eager_paragraph_count,200,2,after,6,351189
eager_paragraph_count,200,2,after,7,349139
eager_paragraph_count,200,2,after,8,341503
eager_paragraph_count,200,2,after,9,353529
eager_paragraph_count,200,2,after,10,377549
eager_paragraph_count,200,2,after,11,355548
eager_paragraph_count,200,2,after,12,343995
eager_paragraph_count,200,2,after,13,324034
eager_paragraph_count,200,2,after,14,347156
eager_paragraph_count,200,2,after,15,326317
eager_paragraph_count,200,3,after,1,350182
eager_paragraph_count,200,3,after,2,319319
