### fct after  (N=4 profile, inclusive rows at or above 1.00%)
36,286,111 (100.0%)  PROGRAM TOTALS
36,060,138 (99.38%)  ???:(below main)'0x0000000000023cc0 [/home/zhuhe/code/litchi-worktrees/targets/0603-after/release/xlsx-admission-probe]
36,060,126 (99.38%)  ./csu/../csu/libc-start.c:__libc_start_main@@GLIBC_2.34'(below main) [/usr/lib/x86_64-linux-gnu/libc.so.6]
36,059,945 (99.38%)  ./csu/../sysdeps/nptl/libc_start_call_main.h:(below main)'__libc_start_main@@GLIBC_2.34 [/usr/lib/x86_64-linux-gnu/libc.so.6]
36,058,151 (99.37%)  ???:main'(below main) [/home/zhuhe/code/litchi-worktrees/targets/0603-after/release/xlsx-admission-probe]
36,058,139 (99.37%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/std/src/rt.rs:std::rt::lang_start_internal'main [/home/zhuhe/code/litchi-worktrees/targets/0603-after/release/xlsx-admission-probe]
35,952,967 (99.08%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/core/src/ops/function.rs:std::rt::lang_start_internal'main
35,952,966 (99.08%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/std/src/rt.rs:std::rt::lang_start::{{closure}}'std::rt::lang_start_internal [/home/zhuhe/code/litchi-worktrees/targets/0603-after/release/xlsx-admission-probe]
35,952,960 (99.08%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/std/src/sys/backtrace.rs:std::sys::backtrace::__rust_begin_short_backtrace'std::rt::lang_start::{{closure}} [/home/zhuhe/code/litchi-worktrees/targets/0603-after/release/xlsx-admission-probe]
35,952,957 (99.08%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/core/src/ops/function.rs:std::sys::backtrace::__rust_begin_short_backtrace'std::rt::lang_start::{{closure}}
35,952,956 (99.08%)  /tmp/claude-1001/-home-zhuhe-code-litchi/709d31e6-bf68-4968-8b5c-9a2af1c22cc8/scratchpad/agents/0603/probe-after/src/main.rs:xlsx_admission_probe::main'std::sys::backtrace::__rust_begin_short_backtrace
35,121,051 (96.79%)  src/main.rs:xlsx_admission_probe::main'std::sys::backtrace::__rust_begin_short_backtrace [/home/zhuhe/code/litchi-worktrees/targets/0603-after/release/xlsx-admission-probe]
20,449,079 (56.36%)  /home/zhuhe/code/litchi-worktrees/0603/crates/litchi-xlsx/src/cell_values/source.rs:litchi_xlsx::cell_values::source::SourceBackedEditor::edit_many'xlsx_admission_probe::main [/home/zhuhe/code/litchi-worktrees/targets/0603-after/release/xlsx-admission-probe]
