### fct before  (N=4 profile, inclusive rows at or above 1.00%)
49,322,517 (100.0%)  PROGRAM TOTALS
49,096,617 (99.54%)  ???:(below main)'0x0000000000023cc0 [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
49,096,605 (99.54%)  ./csu/../csu/libc-start.c:__libc_start_main@@GLIBC_2.34'(below main) [/usr/lib/x86_64-linux-gnu/libc.so.6]
49,096,424 (99.54%)  ./csu/../sysdeps/nptl/libc_start_call_main.h:(below main)'__libc_start_main@@GLIBC_2.34 [/usr/lib/x86_64-linux-gnu/libc.so.6]
49,094,630 (99.54%)  ???:main'(below main) [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
49,094,618 (99.54%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/std/src/rt.rs:std::rt::lang_start_internal'main [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
48,989,452 (99.32%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/core/src/ops/function.rs:std::rt::lang_start_internal'main
48,989,451 (99.32%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/std/src/rt.rs:std::rt::lang_start::{{closure}}'std::rt::lang_start_internal [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
48,989,445 (99.32%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/std/src/sys/backtrace.rs:std::sys::backtrace::__rust_begin_short_backtrace'std::rt::lang_start::{{closure}} [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
48,989,442 (99.32%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/core/src/ops/function.rs:std::sys::backtrace::__rust_begin_short_backtrace'std::rt::lang_start::{{closure}}
48,989,441 (99.32%)  /tmp/claude-1001/-home-zhuhe-code-litchi/709d31e6-bf68-4968-8b5c-9a2af1c22cc8/scratchpad/agents/0603/probe-before/src/main.rs:xlsx_admission_probe::main'std::sys::backtrace::__rust_begin_short_backtrace [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
33,472,646 (67.86%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/cell_values/source.rs:litchi_xlsx::cell_values::source::SourceBackedEditor::edit_many'xlsx_admission_probe::main [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
33,442,923 (67.80%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::MultiSnapshot::load_source_backed'litchi_xlsx::cell_values::source::SourceBackedEditor::edit_many [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
26,257,249 (53.24%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::start'litchi_ooxml_common::mce::codec::process_markup_compatibility [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
25,227,724 (51.15%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::process_markup_compatibility'litchi_ooxml_common::mce::codec::process_ooxml [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
22,740,085 (46.10%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::write_start'litchi_ooxml_common::mce::codec::start [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
20,694,958 (41.96%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::esc'litchi_ooxml_common::mce::codec::write_start [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
17,633,826 (35.75%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::load_source_catalog'litchi_xlsx::cell_values::snapshot::MultiSnapshot::load_source_backed [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
15,776,179 (31.99%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::Snapshot::from_source_selected'litchi_xlsx::cell_values::snapshot::MultiSnapshot::load_source_backed [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
14,894,861 (30.20%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/raw/worksheet/mod.rs:litchi_xlsx::raw::worksheet::parse'litchi_xlsx::cell_values::snapshot::Snapshot::from_source_selected [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
14,588,341 (29.58%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/cell_values/source.rs:litchi_xlsx::cell_values::source::MultiSourceEdit::commit'xlsx_admission_probe::main [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
13,991,430 (28.37%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::capture_auxiliary_source'litchi_xlsx::cell_values::snapshot::load_source_catalog [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
13,614,003 (27.60%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/raw/styles.rs:litchi_xlsx::raw::styles::parse'litchi_xlsx::cell_values::snapshot::capture_auxiliary_source [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
12,495,857 (25.33%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::process_ooxml'litchi_xlsx::raw::worksheet::parse [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
10,914,028 (22.13%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::process_ooxml'litchi_xlsx::raw::styles::parse [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
10,758,093 (21.81%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/raw/worksheet/codec.rs:litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::parse'litchi_xlsx::raw::worksheet::parse [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
 9,174,645 (18.60%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::Snapshot::from_rewritten_value_source'litchi_xlsx::cell_values::source::MultiSourceEdit::commit [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
 8,438,190 (17.11%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/raw/worksheet/mod.rs:litchi_xlsx::raw::worksheet::parse'litchi_xlsx::cell_values::snapshot::Snapshot::from_rewritten_value_source [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
 8,299,963 (16.83%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/raw/worksheet/codec.rs:litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::transition'litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::parse [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
 8,184,400 (16.59%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/raw/worksheet/codec.rs:litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::start'litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::transition [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]

### dvtr before  (N=4 profile, inclusive rows at or above 1.00%)
229,207,568 (100.0%)  PROGRAM TOTALS
228,981,708 (99.90%)  ???:(below main)'0x0000000000023cc0 [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
228,981,696 (99.90%)  ./csu/../csu/libc-start.c:__libc_start_main@@GLIBC_2.34'(below main) [/usr/lib/x86_64-linux-gnu/libc.so.6]
228,981,515 (99.90%)  ./csu/../sysdeps/nptl/libc_start_call_main.h:(below main)'__libc_start_main@@GLIBC_2.34 [/usr/lib/x86_64-linux-gnu/libc.so.6]
228,979,721 (99.90%)  ???:main'(below main) [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
228,979,709 (99.90%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/std/src/rt.rs:std::rt::lang_start_internal'main [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
228,874,543 (99.85%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/core/src/ops/function.rs:std::rt::lang_start_internal'main
228,874,542 (99.85%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/std/src/rt.rs:std::rt::lang_start::{{closure}}'std::rt::lang_start_internal [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
228,874,536 (99.85%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/std/src/sys/backtrace.rs:std::sys::backtrace::__rust_begin_short_backtrace'std::rt::lang_start::{{closure}} [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
228,874,533 (99.85%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/core/src/ops/function.rs:std::sys::backtrace::__rust_begin_short_backtrace'std::rt::lang_start::{{closure}}
228,874,532 (99.85%)  /tmp/claude-1001/-home-zhuhe-code-litchi/709d31e6-bf68-4968-8b5c-9a2af1c22cc8/scratchpad/agents/0603/probe-before/src/main.rs:xlsx_admission_probe::main'std::sys::backtrace::__rust_begin_short_backtrace [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
175,112,037 (76.40%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/cell_values/source.rs:litchi_xlsx::cell_values::source::SourceBackedEditor::edit_many'xlsx_admission_probe::main [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
175,056,152 (76.37%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::MultiSnapshot::load_source_backed'litchi_xlsx::cell_values::source::SourceBackedEditor::edit_many [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
120,214,391 (52.45%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::process_markup_compatibility'litchi_ooxml_common::mce::codec::process_ooxml [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
115,538,034 (50.41%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::start'litchi_ooxml_common::mce::codec::process_markup_compatibility [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
113,679,983 (49.60%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::Snapshot::from_source_selected'litchi_xlsx::cell_values::snapshot::MultiSnapshot::load_source_backed [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
106,137,238 (46.31%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/raw/worksheet/mod.rs:litchi_xlsx::raw::worksheet::parse'litchi_xlsx::cell_values::snapshot::Snapshot::from_source_selected [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
 99,244,817 (43.30%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::write_start'litchi_ooxml_common::mce::codec::start [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
 90,206,196 (39.36%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::esc'litchi_ooxml_common::mce::codec::write_start [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
 73,288,160 (31.97%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::process_ooxml'litchi_xlsx::raw::worksheet::parse [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
 61,317,887 (26.75%)  /home/zhuhe/code/litchi-worktrees/before-6c4c1469b/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::load_source_catalog'litchi_xlsx::cell_values::snapshot::MultiSnapshot::load_source_backed [/home/zhuhe/code/litchi-worktrees/targets/0603-before/release/xlsx-admission-probe]
