% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 99.90    3.268263           0   3735939           statx
  0.09    0.002925           1      2691           write
  0.00    0.000139           6        23           openat
  0.00    0.000080           1        79           read
  0.00    0.000070           0       114           pread64
  0.00    0.000018           0        22           close
  0.00    0.000013           1         9           fstat
  0.00    0.000000           0         2           lseek
------ ----------- ----------- --------- --------- ----------------
100.00    3.271508           0   3738879           total
