% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 63.78    0.003899           0     25219           statx
 34.27    0.002095           0      2691           write
  1.54    0.000094           0       264           pread64
  0.34    0.000021           0        23           openat
  0.05    0.000003           0        79           read
  0.02    0.000001           0        22           close
  0.00    0.000000           0         9           fstat
  0.00    0.000000           0         2           lseek
------ ----------- ----------- --------- --------- ----------------
100.00    0.006113           0     28309           total
