55,547,844 (100.0%)  PROGRAM TOTALS
   342,047 ( 0.62%)  /rustc/48a229ceaefd4985c50990b14116b6d856af0985/library/core/src/str/validations.rs:core::str::converts::from_utf8
   328,200 ( 0.59%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/str/validations.rs:soapberry_zip::office::normalize_str_fallibly
   326,600 ( 0.59%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/traits/iterator.rs:<core::str::iter::Chars as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::any::check<char, <char>::is_control>::{closure#0}, core::ops::control_flow::ControlFlow<()>> [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
   317,056 ( 0.57%)  ./malloc/./malloc/malloc.c:unlink_chunk.isra.0 [/usr/lib/x86_64-linux-gnu/libc.so.6]
   300,600 ( 0.54%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/iter/traits/iterator.rs:<core::str::iter::Chars as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::any::check<char, <litchi_opc::packuri::PackURI>::new<alloc::string::String>::{closure#0}>::{closure#0}, core::ops::control_flow::ControlFlow<()>> [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
   290,840 ( 0.52%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zlib-rs-0.6.8/src/inflate/bitreader.rs:zlib_rs::inflate::inflate_fast_help
   288,000 ( 0.52%)  /home/zhuhe/code/litchi-worktrees/before-08d968f8e/crates/litchi-opc/src/content_type.rs:litchi_opc::content_type::is_token [/home/zhuhe/code/litchi-worktrees/targets/0594-op-before/release/open-probe]
   287,040 ( 0.52%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/str/iter.rs:soapberry_zip::office::normalize_str_fallibly
   277,760 ( 0.50%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/str/pattern.rs:soapberry_zip::office::normalize_str_fallibly
   277,640 ( 0.50%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zlib-rs-0.6.8/src/inflate/writer.rs:zlib_rs::inflate::inflate_fast_help
   269,120 ( 0.48%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/zlib-rs-0.6.8/src/inflate/bitreader.rs:zlib_rs::inflate::inflate
   258,800 ( 0.47%)  /home/zhuhe/.rustup/toolchains/stable-x86_64-unknown-linux-gnu/lib/rustlib/src/rust/library/core/src/str/validations.rs:<core::str::iter::Chars as core::iter::traits::iterator::Iterator>::try_fold::<(), core::iter::traits::iterator::Iterator::any::check<char, <char>::is_whitespace>::{closure#0}, core::ops::control_flow::ControlFlow<()>>
