n = 150 before, 150 after (interleaved sample by sample)

-- elapsed_ns
stat        before       after       delta  reduction %
min       263321.0    264471.0      1150.0        -0.44
p25       285841.0    287702.0      1861.0        -0.65
p50       318441.0    321872.0      3431.0        -1.08
mean      310278.7    314050.9      3772.2        -1.22
p75       329352.0    331552.0      2200.0        -0.67
p95       342881.0    346932.0      4051.0        -1.18

-- minor_faults
stat        before       after       delta  reduction %
min           89.0        96.0         7.0        -7.87
p25           92.0        99.0         7.0        -7.61
p50           92.0       101.0         9.0        -9.78
mean          92.4       100.3         7.9        -8.60
p75           93.0       102.0         9.0        -9.68
p95           95.0       103.0         8.0        -8.42

-- syscr
stat        before       after       delta  reduction %
min           34.0        34.0         0.0         0.00
p25           34.0        34.0         0.0         0.00
p50           34.0        34.0         0.0         0.00
mean          34.0        34.0         0.0         0.00
p75           34.0        34.0         0.0         0.00
p95           34.0        34.0         0.0         0.00
