n = 150 before, 150 after (interleaved sample by sample)

-- elapsed_ns
stat        before       after       delta  reduction %
min       260782.0    263432.0      2650.0        -1.02
p25       281942.0    279202.0     -2740.0         0.97
p50       316252.0    308512.0     -7740.0         2.45
mean      307977.2    301425.5     -6551.7         2.13
p75       328701.0    318001.0    -10700.0         3.26
p95       341341.0    333901.0     -7440.0         2.18

-- minor_faults
stat        before       after       delta  reduction %
min           89.0        89.0         0.0         0.00
p25           91.0        91.0         0.0         0.00
p50           92.0        93.0         1.0        -1.09
mean          92.4        93.2         0.9        -0.93
p75           93.0        95.0         2.0        -2.15
p95           95.0        98.0         3.0        -3.16

-- syscr
stat        before       after       delta  reduction %
min           34.0        34.0         0.0         0.00
p25           34.0        34.0         0.0         0.00
p50           34.0        34.0         0.0         0.00
mean          34.0        34.0         0.0         0.00
p75           34.0        34.0         0.0         0.00
p95           34.0        34.0         0.0         0.00
