file	open	text_len	text_hash	para_count	count_api	para_hash	section_count	section_hash	subdoc	fib_len	fib_hash
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/cjklist31.doc	OK	454	14064542627181926287	29	29	4920115024449540649	1	7955698672882720708	15950448127734054942	4146	5479651028240255591
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/cjklist34.doc	OK	454	14064542627181926287	29	29	16198051202069197997	1	7955698672882720708	15950448127734054942	4146	12153327313357763375
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/cjklist35.doc	OK	454	14064542627181926287	29	29	13494785996644050493	1	7955698672882720708	15950448127734054942	4146	5062025938512476685
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/commented-table.doc	OK	32	2248543584713736059	7	7	3666576898096718289	1	13081897525095736259	7414148486288617985	4096	10684821650268509568
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/documentProperties.doc	OK	22	10076329400203661442	1	1	13592208151210565399	1	15183873107341835064	17470550654404574386	3620	7035483139643038945
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/duplicate-style-names.doc	DOCERR Corrupted("invalid stylesheet: style names and aliases must be unique")										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/empty.doc	OK	1	12642475295903956216	1	1	8313816405398948997	1	4166837977394304041	10027423297413522685	4096	13913949360096715162
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/endingnote.doc	OK	40	1971029994530339815	3	3	8918829570971593958	1	17950611844057874932	7586257106189978849	3620	17761948551677671047
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/equation.doc	OK	40	9584787920299794649	1	1	18374934079149062336	1	17950611844057874932	12184133715111568738	3620	7117504048682869308
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/first-header-footer.doc	OK	330	9373153003489681695	40	40	6836106185349246555	2	2170425456703208277	14189250987246954232	4206	11371728817511488996
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/footnote.doc	DOCERR Corrupted("invalid stylesheet: style names and aliases must be unique")										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/hyperlink.doc	OK	76	18216839459022871132	1	1	10820460766625805505	1	8625907703655190873	10440466708408046627	3620	10611613393453666338
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/image-comment-at-char.doc	OK	15	8063246895765396224	3	3	532384627669017645	1	15476860606736437858	17277264266511063952	4430	7871150077558921114
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/inline-endnote-and-footnote.doc	OK	88	16480835936739432326	18	18	2342269566971115859	1	12656708009900339277	12124811144279706180	4096	1764010865844517065
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/lists-margins.doc	DOCERR Corrupted("invalid stylesheet: style names and aliases must be unique")										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/picture.doc	DOCERR Corrupted("invalid stylesheet: style names and aliases must be unique")										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/pictures_escher.doc	DOCERR Corrupted("invalid stylesheet: style names and aliases must be unique")										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/table-merged-cells.doc	OK	85	17904917538891143860	85	85	453727753031210199	1	4149384976081372939	6845345479440342633	10276	441951244428146177
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/tdf71749_with_footnote.doc	OK	558	11520092011198541669	37	37	13399946202480495261	1	4934239039397048972	6610885216612625795	4654	17792266225699737457
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/testPictures.doc	OK	218	11256474680611760724	40	40	6705244408527822271	1	16412815104688946145	16278673159797320505	5678	14509629196688199823
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/watermark.doc	DOCERR Corrupted("grffldEnd.fNested disagrees with field containment")										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/ole/doc/word6-no-table-stream.doc	DOCERR UnsupportedVersion { nfib: 101, name: "Word 6.0" }										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/document/47950_normal.doc	OK	31	4900867821389221230	1	1	380064830777197288	1	674191610334628433	9256530319831568678	4096	18265575509567210311
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/document/Bug53453Section.doc	OK	19	15297331363635960660	2	2	11637671587180841459	2	17044255830160111151	2930802366359010852	4096	18395448995102290985
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/document/au.edu.utas.www___data_assets_word_doc_0003_154335_International-Travel-Approval-Request-Form.doc	OK	7929	141146359747528097	-1	244	ERR Corrupted("sprmCFRMark must contain a Boolean8 value")	1	11329683029946004344	18080180549900764929	41016	6205444788118379568
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/document/ca.kwsymphony.www_education_School_Concert_Seat_Booking_Form_2011-12.doc	OK	1528	16537882062487497342	148	148	15616830907264959054	1	340460310697111386	15678053993728485362	697827	3016541745767467116
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/document/password_password_cryptoapi.doc	DOCERR PasswordRequired										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/document/password_tika_binaryrc4.doc	DOCERR PasswordRequired										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/document/saved-by-table.doc	OK	27316	16661383637977437166	443	443	13357688222762754854	2	7683219339174873501	5920680301333037279	39996	6373820773368443776
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/document/test.doc	DOCERR Corrupted("grffldEnd.fHasSep disagrees with the FieldList")										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/document/word_with_embeded.doc	OK	152	11689453656244250994	5	5	11452569697077860281	1	18263153195329030823	18364932310262526766	4096	5309795507564765375
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/hpsf/TestBug52117.doc	DOCERR UnsupportedVersion { nfib: 101, name: "Word 6.0" }										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/hpsf/TestGermanWord90.doc	OK	114	2049442953015394128	3	3	14849255683667203801	1	15861025563441712274	16627281866992659212	4096	7595275316915977516
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/hpsf/TestMickey.doc	DOCERR UnsupportedVersion { nfib: 104, name: "Word 95 (7.0)" }										
/home/zhuhe/code/litchi-worktrees/before-c7326f680/test-data/poi/test-data/hpsf/TestNon4ByteBoundary.doc	OK	179	15154153767142092268	14	14	12957142483138851224	1	5616993856797404135	4964078123688661503	3631	14720391436645245216
