container	before_requests	after_requests	before_bytes	after_bytes	before_versions	after_versions
test-data/iwork/directory/keynote/basic.key/Index.zip	2	2	1899	1899	4	4
test-data/iwork/directory/numbers/basic.numbers/Index.zip	2	2	2925	2925	4	4
test-data/iwork/directory/pages/basic.pages/Index.zip	2	2	537	537	4	4
test-data/iwork/keynote/basic.key	2	2	4690	4690	4	4
test-data/iwork/keynote/chart-arrangement-retirement-resaved.key	2	2	4769	4769	4	4
test-data/iwork/keynote/chart-caption-native-resaved.key	2	2	4761	4761	4	4
test-data/iwork/keynote/chart-caption-native.key	2	2	4769	4769	4	4
test-data/iwork/keynote/chart-data-edited-native.key	2	2	4769	4769	4	4
test-data/iwork/keynote/chart-data-native.key	2	2	4761	4761	4	4
test-data/iwork/keynote/chart-grid-authored-native.key	2	2	1311	1311	4	4
test-data/iwork/keynote/chart-grid-replaced-native.key	2	2	1311	1311	4	4
test-data/iwork/keynote/chart-titles-native-resaved.key	2	2	4761	4761	4	4
test-data/iwork/keynote/chart-titles-native.key	2	2	4761	4761	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-drawable-root-and-reply.key	2	2	4926	4926	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-drawable-root-create.key	2	2	4926	4926	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-reply-add.key	2	2	4926	4926	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-reply-remove.key	2	2	4926	4926	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-reply-set.key	2	2	4926	4926	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-root-clear.key	2	2	4926	4926	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/foreign-root-set.key	2	2	4926	4926	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/shared-foreign-reply-clear.key	2	2	4926	4926	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/shared-foreign-root-set.key	2	2	4926	4926	4	4
test-data/iwork/keynote/drawable-comments-cross-component-native/unrooted-unique-native-create-reply.key	2	2	4934	4934	4	4
test-data/iwork/keynote/drawable-comments-source-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/image-adjustments-native-resaved.key	2	2	5007	5007	4	4
test-data/iwork/keynote/image-adjustments-native.key	2	2	4999	4999	4	4
test-data/iwork/keynote/image-adjustments-retirement-resaved.key	2	2	4999	4999	4	4
test-data/iwork/keynote/media-audio-comment-duplicate-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/media-audio-comment-removal-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/media-audio-position-focused-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/media-audio-position-ui-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/media-comments-baseline-native.key	2	2	4926	4926	4	4
test-data/iwork/keynote/media-comments-duplicate-native.key	2	2	4926	4926	4	4
test-data/iwork/keynote/media-comments-final-removal-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/media-comments-shared-removal-native.key	2	2	4926	4926	4	4
test-data/iwork/keynote/media-lifecycle-audio-duplicate-native.key	2	2	4926	4926	4	4
test-data/iwork/keynote/media-lifecycle-audio-remove-native.key	2	2	4853	4853	4	4
test-data/iwork/keynote/media-lifecycle-duplicate-native.key	2	2	4926	4926	4	4
test-data/iwork/keynote/media-lifecycle-remove-native.key	2	2	4763	4763	4	4
test-data/iwork/keynote/media-properties-audio-focused-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/media-properties-file-focused-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/media-properties-placeholder-native.key	2	2	5072	5072	4	4
test-data/iwork/keynote/media-replacement-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/media-replacement-retirement-resaved.key	2	2	4926	4926	4	4
test-data/iwork/keynote/media-watermark-reduplicate-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/media-watermark-removal-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/slide-audio-creation-focused-native.key	2	2	5011	5011	4	4
test-data/iwork/keynote/slide-layout-native-resaved.key	2	2	5007	5007	4	4
test-data/iwork/keynote/slide-movie-creation-focused-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/slide-movie-creation-fresh-focused-native.key	2	2	5080	5080	4	4
test-data/iwork/keynote/slide-movie-creation-source-native.key	2	2	4934	4934	4	4
test-data/iwork/keynote/slide-movie-geometry-focused-native.key	2	2	5072	5072	4	4
test-data/iwork/keynote/slide-movie-geometry-source-native.key	2	2	5072	5072	4	4
test-data/iwork/keynote/slide-movie-geometry-vertical-focused-native.key	2	2	5072	5072	4	4
test-data/iwork/keynote/slide-table-merges-native.key	2	2	7126	7126	4	4
test-data/iwork/keynote/slide-table-read-native.key	2	2	7126	7126	4	4
test-data/iwork/keynote/table-discovery.key	2	2	7134	7134	4	4
test-data/iwork/numbers/audio-playback-native-resaved.numbers	2	2	3387	3387	4	4
test-data/iwork/numbers/audio-playback-native.numbers	2	2	3387	3387	4	4
test-data/iwork/numbers/basic.numbers	2	2	3323	3323	4	4
test-data/iwork/numbers/cell-value-native.numbers	2	2	3315	3315	4	4
test-data/iwork/numbers/chart-arrangement-native.numbers	2	2	3394	3394	4	4
test-data/iwork/numbers/chart-arrangement-retirement-resaved.numbers	2	2	3401	3401	4	4
test-data/iwork/numbers/chart-data-edited-native.numbers	2	2	3262	3262	4	4
test-data/iwork/numbers/chart-data-native.numbers	2	2	3401	3401	4	4
test-data/iwork/numbers/chart-grid-authored-native.numbers	2	2	3262	3262	4	4
test-data/iwork/numbers/chart-grid-replaced-native.numbers	2	2	3262	3262	4	4
test-data/iwork/numbers/comment-compat-native-multiroot.numbers	2	2	3330	3330	4	4
test-data/iwork/numbers/comment-metadata-native-resaved.numbers	2	2	3262	3262	4	4
test-data/iwork/numbers/comment-reader-native-created.numbers	2	2	3323	3323	4	4
test-data/iwork/numbers/custom-datetime-native-resaved.numbers	2	2	3330	3330	4	4
test-data/iwork/numbers/custom-datetime-native.numbers	2	2	3323	3323	4	4
test-data/iwork/numbers/custom-number-native-resaved.numbers	2	2	3330	3330	4	4
test-data/iwork/numbers/custom-number-native.numbers	2	2	3323	3323	4	4
test-data/iwork/numbers/custom-retirement-cleared.numbers	2	2	3330	3330	4	4
test-data/iwork/numbers/custom-retirement-resaved.numbers	2	2	3323	3323	4	4
test-data/iwork/numbers/custom-text-native-resaved.numbers	2	2	3330	3330	4	4
test-data/iwork/numbers/custom-text-native-unicode.numbers	2	2	3330	3330	4	4
test-data/iwork/numbers/custom-text-native.numbers	2	2	3323	3323	4	4
test-data/iwork/numbers/duration-native-resaved.numbers	2	2	3330	3330	4	4
test-data/iwork/numbers/duration-native.numbers	2	2	3323	3323	4	4
test-data/iwork/numbers/formula-arena-native.numbers	2	2	3308	3308	4	4
test-data/iwork/numbers/formula-budget-native.numbers	2	2	3315	3315	4	4
test-data/iwork/numbers/formula-envelope-native.numbers	2	2	3308	3308	4	4
test-data/iwork/numbers/formula-events-native.numbers	2	2	3315	3315	4	4
test-data/iwork/numbers/image-adjustments-direct-resaved.numbers	2	2	3631	3631	4	4
test-data/iwork/numbers/image-adjustments-native-resaved.numbers	2	2	3631	3631	4	4
test-data/iwork/numbers/image-adjustments-native.numbers	2	2	3624	3624	4	4
test-data/iwork/numbers/image-adjustments-retirement-resaved.numbers	2	2	3631	3631	4	4
test-data/iwork/numbers/shared-model-native.numbers	2	2	3308	3308	4	4
test-data/iwork/numbers/table-data-list-native.numbers	2	2	3308	3308	4	4
test-data/iwork/numbers/table-merges-native.numbers	2	2	3315	3315	4	4
test-data/iwork/numbers/table-relocation-native-resaved.numbers	2	2	6000	6000	4	4
test-data/iwork/numbers/table-relocation-native.numbers	2	2	6007	6007	4	4
test-data/iwork/pages/audio-playback-native-resaved.pages	2	2	1006	1006	4	4
test-data/iwork/pages/audio-playback-native.pages	2	2	998	998	4	4
test-data/iwork/pages/basic.pages	2	2	934	934	4	4
test-data/iwork/pages/body-sections-unicode.pages	2	2	934	934	4	4
test-data/iwork/pages/body-table-catalog-native.pages	2	2	5776	5776	4	4
test-data/iwork/pages/body-table-cells-native.pages	2	2	5784	5784	4	4
test-data/iwork/pages/body-table-comment-hidden-native-saved.pages	2	2	3378	3378	4	4
test-data/iwork/pages/body-table-cross-reference-native.pages	2	2	5784	5784	4	4
test-data/iwork/pages/body-table-hidden-axes-cleared-native.pages	2	2	3370	3370	4	4
test-data/iwork/pages/body-table-hidden-axes-focused-native.pages	2	2	3378	3378	4	4
test-data/iwork/pages/body-table-hidden-axes-native.pages	2	2	3378	3378	4	4
test-data/iwork/pages/body-table-merges-native.pages	2	2	5776	5776	4	4
test-data/iwork/pages/body-table-name-focused-native-saved.pages	2	2	3370	3370	4	4
test-data/iwork/pages/body-table-name-focused.pages	2	2	3197	3197	4	4
test-data/iwork/pages/body-table-name-visible-native.pages	2	2	3378	3378	4	4
test-data/iwork/pages/body-table-read-native.pages	2	2	5776	5776	4	4
test-data/iwork/pages/body-table-visible.pages	2	2	3370	3370	4	4
test-data/iwork/pages/chart-arrangement-native.pages	2	2	1005	1005	4	4
test-data/iwork/pages/chart-arrangement-retirement-resaved.pages	2	2	1013	1013	4	4
test-data/iwork/pages/chart-data-edited-native.pages	2	2	1005	1005	4	4
test-data/iwork/pages/chart-data-native.pages	2	2	1013	1013	4	4
test-data/iwork/pages/chart-grid-authored-native.pages	2	2	918	918	4	4
test-data/iwork/pages/chart-grid-replaced-native.pages	2	2	918	918	4	4
