% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 98.15    0.002646           0      3205           write
  0.63    0.000017           0        79           read
  0.37    0.000010           0        28           openat
  0.33    0.000009           4         2           lseek
  0.22    0.000006           0        27           close
  0.22    0.000006           0        94         3 statx
  0.04    0.000001           0         9           fstat
  0.04    0.000001           0        24           pread64
  0.00    0.000000           0         3           fdatasync
  0.00    0.000000           0         3           unlink
------ ----------- ----------- --------- --------- ----------------
100.00    0.002696           0      3474         3 total
