profile	case	shape	overlay_count	timed_metric	row_type	comparison	leg	implementation	revision	sample_count	p50_ns	mean_ns	p95_ns	p99_ns	candidate_reduction_p50_percent	candidate_reduction_mean_percent	candidate_reduction_p95_percent	candidate_reduction_p99_percent	same_implementation_drift_p50_percent	same_implementation_drift_mean_percent	same_implementation_drift_p95_percent	same_implementation_drift_p99_percent	authorized_statistics
normal	opc_source_overlay_multi_part_noop	overlay-small	8	source.opc_source_overlay.publication_ns	candidate_reduction	a1_to_b1	-	candidate	-	-	-	-	-	-	15.135453474676089	14.915578517281228	14.55056179775281	9.75085910652921	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-small	8	source.opc_source_overlay.publication_ns	candidate_reduction	a2_to_b2	-	candidate	-	-	-	-	-	-	12.433392539964476	12.919634786832837	13.126760563380282	5.805084745762712	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-small	8	source.opc_source_overlay.publication_ns	same_implementation_drift	control	-	control	-	-	-	-	-	-	-	-	-	-	-0.5300353356890459	-0.16582530269875076	-0.2808988764044944	1.3745704467353952	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-small	8	source.opc_source_overlay.publication_ns	same_implementation_drift	candidate	-	candidate	-	-	-	-	-	-	-	-	-	-	2.63705759888966	2.1761239237179746	1.3806706114398422	5.806758686339839	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-small	32	source.opc_source_overlay.publication_ns	leg	-	a1	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	51490	51798.673999999985	56730	59250	-	-	-	-	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-small	32	source.opc_source_overlay.publication_ns	leg	-	b1	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	39985	40239.082000000024	41221	47220	-	-	-	-	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-small	32	source.opc_source_overlay.publication_ns	leg	-	b2	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	39880	40173.513999999996	41700	48780	-	-	-	-	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-small	32	source.opc_source_overlay.publication_ns	leg	-	a2	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	50755	51136.20799999999	54680	58160	-	-	-	-	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-small	32	source.opc_source_overlay.publication_ns	candidate_reduction	a1_to_b1	-	candidate	-	-	-	-	-	-	22.34414449407652	22.316385936829125	27.338268993477875	20.303797468354432	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-small	32	source.opc_source_overlay.publication_ns	candidate_reduction	a2_to_b2	-	candidate	-	-	-	-	-	-	21.426460447246576	21.43822240397645	23.73811265544989	16.127922971114167	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-small	32	source.opc_source_overlay.publication_ns	same_implementation_drift	control	-	control	-	-	-	-	-	-	-	-	-	-	-1.427461643037483	-1.2789246303872437	-3.6136083201128146	-1.8396624472573837	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-small	32	source.opc_source_overlay.publication_ns	same_implementation_drift	candidate	-	candidate	-	-	-	-	-	-	-	-	-	-	-0.26259847442791046	-0.16294606323282515	1.1620290628563112	3.303684879288437	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-large	2	source.opc_source_overlay.publication_ns	leg	-	a1	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	303026	304839.7380000001	313441	316841	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	2	source.opc_source_overlay.publication_ns	leg	-	b1	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	300631	302590.038	311152	315101	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	2	source.opc_source_overlay.publication_ns	leg	-	b2	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	302457	304337.08999999985	311852	315441	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	2	source.opc_source_overlay.publication_ns	leg	-	a2	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	299811	301650.11599999986	309981	311531	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	2	source.opc_source_overlay.publication_ns	candidate_reduction	a1_to_b1	-	candidate	-	-	-	-	-	-	0.7903612231293685	0.7379943358959741	0.7302809779192895	0.5491713509299617	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	2	source.opc_source_overlay.publication_ns	candidate_reduction	a2_to_b2	-	candidate	-	-	-	-	-	-	-0.8825560102864805	-0.8907584839118672	-0.6035853810394831	-1.2550917886181472	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	2	source.opc_source_overlay.publication_ns	same_implementation_drift	control	-	control	-	-	-	-	-	-	-	-	-	-	-1.060965065703933	-1.0463274968436902	-1.103876008563015	-1.6759194674931592	none
normal	opc_source_overlay_multi_part_noop	overlay-large	2	source.opc_source_overlay.publication_ns	same_implementation_drift	candidate	-	candidate	-	-	-	-	-	-	-	-	-	-	0.607389124874015	0.5773660003968308	0.22497043245744844	0.10790191081589712	none
normal	opc_source_overlay_multi_part_noop	overlay-large	8	source.opc_source_overlay.publication_ns	leg	-	a1	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	132781	184835.50000000012	351222	356932	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	8	source.opc_source_overlay.publication_ns	leg	-	b1	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	357346	356719.39800000004	368741	379992	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	8	source.opc_source_overlay.publication_ns	leg	-	b2	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	359791	361159.33800000005	369572	374322	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	8	source.opc_source_overlay.publication_ns	leg	-	a2	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	361436	361845.48	372002	376261	-	-	-	-	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	8	source.opc_source_overlay.publication_ns	candidate_reduction	a1_to_b1	-	candidate	-	-	-	-	-	-	-169.12434760997434	-92.992903419527	-4.988013279350382	-6.460614346710297	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	8	source.opc_source_overlay.publication_ns	candidate_reduction	a2_to_b2	-	candidate	-	-	-	-	-	-	0.4551289854912073	0.18962292965492739	0.653222294503793	0.5153337709728087	-	-	-	-	none
normal	opc_source_overlay_multi_part_noop	overlay-large	8	source.opc_source_overlay.publication_ns	same_implementation_drift	control	-	control	-	-	-	-	-	-	-	-	-	-	172.20460758692886	95.76622456183999	5.916485869336204	5.415317203276815	none
normal	opc_source_overlay_multi_part_noop	overlay-large	8	source.opc_source_overlay.publication_ns	same_implementation_drift	candidate	-	candidate	-	-	-	-	-	-	-	-	-	-	0.6842108208850806	1.244658974222647	0.22536143255021818	-1.4921366765616118	none
normal	opc_source_overlay_multi_part_noop	overlay-large	32	source.opc_source_overlay.publication_ns	leg	-	a1	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	343241	345226.8159999995	353612	355882	-	-	-	-	-	-	-	-	p50
normal	opc_source_overlay_multi_part_noop	overlay-large	32	source.opc_source_overlay.publication_ns	leg	-	b1	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	339482	369001.8840000001	560633	566462	-	-	-	-	-	-	-	-	p50
normal	opc_source_overlay_multi_part_noop	overlay-large	32	source.opc_source_overlay.publication_ns	leg	-	b2	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	342721	397203.56599999993	564153	567813	-	-	-	-	-	-	-	-	p50
normal	opc_source_overlay_multi_part_noop	overlay-large	32	source.opc_source_overlay.publication_ns	leg	-	a2	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	350031	378996.3900000003	567753	571362	-	-	-	-	-	-	-	-	p50
normal	opc_source_overlay_multi_part_noop	overlay-large	32	source.opc_source_overlay.publication_ns	candidate_reduction	a1_to_b1	-	candidate	-	-	-	-	-	-	1.0951488895557349	-6.886796418503187	-58.5446760856532	-59.17129835170084	-	-	-	-	p50
normal	opc_source_overlay_multi_part_noop	overlay-large	32	source.opc_source_overlay.publication_ns	candidate_reduction	a2_to_b2	-	candidate	-	-	-	-	-	-	2.088386457199505	-4.804049980528736	0.6340785517645877	0.6211473636678673	-	-	-	-	p50
normal	opc_source_overlay_multi_part_noop	overlay-large	32	source.opc_source_overlay.publication_ns	same_implementation_drift	control	-	control	-	-	-	-	-	-	-	-	-	-	1.9782019047841022	9.781851361164488	60.55818241462394	60.54815922131493	p50
normal	opc_source_overlay_multi_part_noop	overlay-large	32	source.opc_source_overlay.publication_ns	same_implementation_drift	candidate	-	candidate	-	-	-	-	-	-	-	-	-	-	0.9541006592396652	7.6426932280919875	0.6278617205908322	0.2384979045372858	p50
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	2	source.opc_source_overlay.publication_ns	leg	-	a1	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	1438886	1451924.819999999	1535277	1602627	-	-	-	-	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	2	source.opc_source_overlay.publication_ns	leg	-	b1	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	1417156	1423943.6259999997	1475687	1513626	-	-	-	-	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	2	source.opc_source_overlay.publication_ns	leg	-	b2	candidate	51964019db3f6b0787645e3a56c2ecb83bdca65c	500	1482641	1479631.918000001	1512426	1542057	-	-	-	-	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	2	source.opc_source_overlay.publication_ns	leg	-	a2	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	1494816	1497852.508	1534636	1590497	-	-	-	-	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	2	source.opc_source_overlay.publication_ns	candidate_reduction	a1_to_b1	-	candidate	-	-	-	-	-	-	1.5101960822469607	1.9271792598737465	3.8813842713725273	5.553444438412681	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	2	source.opc_source_overlay.publication_ns	candidate_reduction	a2_to_b2	-	candidate	-	-	-	-	-	-	0.8144815147817523	1.2164475409082747	1.4472487286887574	3.0455888945405114	-	-	-	-	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	2	source.opc_source_overlay.publication_ns	same_implementation_drift	control	-	control	-	-	-	-	-	-	-	-	-	-	3.8870348311124023	3.163227693841686	-0.041751423358781514	-0.7568822938837296	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	2	source.opc_source_overlay.publication_ns	same_implementation_drift	candidate	-	candidate	-	-	-	-	-	-	-	-	-	-	4.620874483825352	3.910849487520464	2.4896200888128717	1.878337185011357	p50,mean,p95,p99
normal	opc_source_overlay_multi_part_noop	overlay-media-incompressible	8	source.opc_source_overlay.publication_ns	leg	-	a1	control	46ef44966d5be16f153b1f3375ac14401b7139ac	500	1628722	1635302.4759999998	1701398	1753047	-	-	-	-	-	-	-	-	none
