a1-large	doc_semantic_noop_edit_save	223748	226506.43599999993	240172	249836
a1-large	doc_semantic_one_edit_save	825204	832908.4379999998	865836	988584
a1-large	doc_semantic_open	324844	325547.57599999977	341171	348972
a1-large	xls_semantic_noop_edit_save	2152	2407.968000000001	4046	5417
a1-large	xls_semantic_one_edit_save	1477630	1485724.7240000002	1576737	1622831
a1-large	xls_semantic_open	1359537	1377142.902000001	1487474	1613839
a1-tiny	doc_semantic_noop_edit_save	30622	31015.53599999998	33686	37122
a1-tiny	doc_semantic_one_edit_save	64159	65179.36999999995	72401	81041
a1-tiny	doc_semantic_open	7100	7329.412000000003	7941	13248
a1-tiny	xls_semantic_noop_edit_save	131	138.11800000000002	171	251
a1-tiny	xls_semantic_one_edit_save	24915	25743.835999999963	31324	40087
a1-tiny	xls_semantic_open	10305	10594.365999999995	11256	17125
a2-large	doc_semantic_noop_edit_save	221245	224102.85199999975	236186	246470
a2-large	doc_semantic_one_edit_save	828279	839969.0000000001	880235	945135
a2-large	doc_semantic_open	320027	321898.4899999999	343024	358646
a2-large	xls_semantic_noop_edit_save	2233	2505.5460000000007	4398	6108
a2-large	xls_semantic_one_edit_save	1489686	1509322.3120000008	1645892	1874188
a2-large	xls_semantic_open	1395431	1405585.749999999	1511607	1579450
a2-tiny	doc_semantic_noop_edit_save	30622	31017.453999999987	33686	36730
a2-tiny	doc_semantic_one_edit_save	64558	65660.60399999998	73211	80792
a2-tiny	doc_semantic_open	7119	7349.748	9283	12607
a2-tiny	xls_semantic_noop_edit_save	131	136.31399999999994	151	171
a2-tiny	xls_semantic_one_edit_save	24443	24772.958	27057	31074
a2-tiny	xls_semantic_open	10234	10445.75200000001	10776	17525
b1-large	doc_semantic_noop_edit_save	64704	67035.07799999995	76706	93840
b1-large	doc_semantic_one_edit_save	656425	660094.4800000002	704914	726413
b1-large	doc_semantic_open	323066	322545.69000000024	349543	369019
b1-large	xls_semantic_noop_edit_save	1832	1977.4859999999992	2834	3845
b1-large	xls_semantic_one_edit_save	1445209	1465426.1619999993	1598557	1747292
b1-large	xls_semantic_open	1319192	1333271.8799999994	1429926	1536801
b1-tiny	doc_semantic_noop_edit_save	6479	6568.047999999994	6679	10525
b1-tiny	doc_semantic_one_edit_save	40275	41200.33600000002	47846	57779
b1-tiny	doc_semantic_open	7350	7557.454000000007	7600	14981
b1-tiny	xls_semantic_noop_edit_save	150	154.11000000000018	171	181
b1-tiny	xls_semantic_one_edit_save	24964	25318.023999999998	26446	34236
b1-tiny	xls_semantic_open	10695	10914.74599999999	11176	16063
b2-large	doc_semantic_noop_edit_save	65481	66899.79599999999	74593	80051
b2-large	doc_semantic_one_edit_save	664347	669703.5459999996	717512	759318
b2-large	doc_semantic_open	325779	327808.13999999996	346088	368078
b2-large	xls_semantic_noop_edit_save	2823	3125.9439999999995	4717	7171
b2-large	xls_semantic_one_edit_save	1459088	1472001.741999999	1569847	1732241
b2-large	xls_semantic_open	1324198	1347350.375999999	1501042	1657448
b2-tiny	doc_semantic_noop_edit_save	6159	6248.228000000003	6338	6438
b2-tiny	doc_semantic_one_edit_save	38213	38598.653999999995	42909	49168
b2-tiny	doc_semantic_open	7110	7255.9320000000025	7350	7571
b2-tiny	xls_semantic_noop_edit_save	140	144.99600000000038	161	171
b2-tiny	xls_semantic_one_edit_save	23852	24379.99800000001	29011	34589
b2-tiny	xls_semantic_open	10224	10457.586000000005	10574	18075
