# started on Tue Aug 11 18:47:52 2026

3896.15,msec,task-clock,2.08%,3806955674,100.00,1.001,CPUs utilized
52,,context-switches,6.18%,3806955674,100.00,13.347,/sec
0,,cpu-migrations,0.00%,3806955674,100.00,0.000,/sec
251669,,page-faults,17.96%,3806955674,100.00,64.594,K/sec
19226776745,,cycles,1.91%,3806955674,100.00,4.935,GHz
48123852095,,instructions,0.56%,3806955674,100.00,2.50,insn per cycle
8161172031,,branches,0.58%,3806955674,100.00,2.095,G/sec
176646559,,branch-misses,0.11%,3806955674,100.00,2.16,of all branches
1373621717,,cache-references,0.61%,3806955674,100.00,352.559,M/sec
27636957,,cache-misses,2.47%,3806955674,100.00,2.01,of all cache refs
