# started on Tue Aug 11 18:48:12 2026

1113.51,msec,task-clock,3.43%,1187273232,100.00,1.004,CPUs utilized
32,,context-switches,10.05%,1187273232,100.00,28.738,/sec
0,,cpu-migrations,0.00%,1187273232,100.00,0.000,/sec
248293,,page-faults,17.32%,1187273232,100.00,222.983,K/sec
5457630415,,cycles,3.89%,1187273232,100.00,4.901,GHz
10691537042,,instructions,2.41%,1187273232,100.00,1.96,insn per cycle
1394202313,,branches,3.23%,1187273232,100.00,1.252,G/sec
14474400,,branch-misses,1.37%,1187273232,100.00,1.04,of all branches
404548650,,cache-references,0.36%,1187273232,100.00,363.311,M/sec
18863350,,cache-misses,2.32%,1187273232,100.00,4.66,of all cache refs
