a1-large	deferred_fingerprint_ns	500	20	22.256	30	31
a1-large	edit_authoring_ns	500	225327	230185.698	263663	294247
a1-large	edit_final_owner_ns	500	58056	59620.546	68706	84668
a1-large	edit_final_public_ns	500	314003	316709.102	355663	383611
a1-large	edit_finish_ns	500	14055	14648.468	17845	21140
a1-large	edit_output_materialization_ns	500	1582	1646.402	1942	2533
a1-large	edit_patch_ns	500	164412	166650.524	173879	184255
a1-large	measured_total_ns	500	1153674	1161350.324	1269914	1345420
a1-large	open_owner_ns	500	55953	58253.394	73070	88101
a1-large	open_public_ns	500	300896	300667.91	335153	362671
a1-large	same_lineage_apply_ns	500	78757	80139.518	86679	97094
a1-large	workflow_no_diagnostic_ns	500	1233559	1241489.842	1353680	1428385
a1-large	workflow_with_fingerprint_demand_ns	500	1233579	1241512.098	1353700	1428416
a1-payload-heavy	deferred_fingerprint_ns	500	170	196.116	460	621
a1-payload-heavy	edit_authoring_ns	500	7628816	7665619.57	8237671	8767675
a1-payload-heavy	edit_final_owner_ns	500	785876	786313.222	870723	963140
a1-payload-heavy	edit_final_public_ns	500	8567589	8663049.042	9370288	10808103
a1-payload-heavy	edit_finish_ns	500	540692	543054.758	615821	690924
a1-payload-heavy	edit_output_materialization_ns	500	1005675	1014204.666	1147115	1271938
a1-payload-heavy	edit_patch_ns	500	8363357	8402355.21	8582910	9203949
a1-payload-heavy	measured_total_ns	500	41156352	41378456.84	43521739	45575757
a1-payload-heavy	open_owner_ns	500	781164	786409.272	871123	962058
a1-payload-heavy	open_public_ns	500	10582684	10650672.296	11325359	11891953
a1-payload-heavy	same_lineage_apply_ns	500	4241631	4257857.22	4315013	4646751
a1-payload-heavy	workflow_no_diagnostic_ns	500	45397089	45636314.06	47778343	50196372
a1-payload-heavy	workflow_with_fingerprint_demand_ns	500	45397380	45636510.176	47778924	50196502
a1-tiny	deferred_fingerprint_ns	500	20	22.832	31	31
a1-tiny	edit_authoring_ns	500	18981	20416.528	27688	35620
a1-tiny	edit_final_owner_ns	500	6158	6456.226	8742	11465
a1-tiny	edit_final_public_ns	500	8142	8687.174	12216	15752
a1-tiny	edit_finish_ns	500	4226	4448.962	6019	7220
a1-tiny	edit_output_materialization_ns	500	160	179.43	280	381
a1-tiny	edit_patch_ns	500	25735	26313.808	25997	33997
a1-tiny	measured_total_ns	500	79164	82812.154	100689	114499
a1-tiny	open_owner_ns	500	5608	6103.4	8432	11857
a1-tiny	open_public_ns	500	7861	8400.98	11788	13047
a1-tiny	same_lineage_apply_ns	500	12376	12470.278	12508	12617
a1-tiny	workflow_no_diagnostic_ns	500	91607	95282.432	113036	127055
a1-tiny	workflow_with_fingerprint_demand_ns	500	91627	95305.264	113056	127075
a2-large	deferred_fingerprint_ns	500	20	21.934	30	31
a2-large	edit_authoring_ns	500	228160	229460.708	245319	256655
a2-large	edit_final_owner_ns	500	60963	61132.634	67633	77776
a2-large	edit_final_public_ns	500	313863	314394.168	335683	351856
a2-large	edit_finish_ns	500	13949	14259.736	16513	20107
a2-large	edit_output_materialization_ns	500	1532	1569.54	1782	1912
a2-large	edit_patch_ns	500	164147	165799.082	173909	186719
a2-large	measured_total_ns	500	1156557	1156418.714	1198686	1246742
a2-large	open_owner_ns	500	59422	59321.032	66051	73371
a2-large	open_public_ns	500	298662	297858.672	322075	345907
a2-large	same_lineage_apply_ns	500	78659	79316.766	84336	87821
a2-large	workflow_no_diagnostic_ns	500	1235977	1235735.48	1277685	1325461
a2-large	workflow_with_fingerprint_demand_ns	500	1236002	1235757.414	1277705	1325481
a2-payload-heavy	deferred_fingerprint_ns	500	40	43.45	120	170
a2-payload-heavy	edit_authoring_ns	500	7586518	7671721.02	8102671	8577478
a2-payload-heavy	edit_final_owner_ns	500	759774	769629.512	829446	897259
a2-payload-heavy	edit_final_public_ns	500	8443176	8565501.98	9223229	10811664
a2-payload-heavy	edit_finish_ns	500	526463	532263.67	605487	658309
a2-payload-heavy	edit_output_materialization_ns	500	1056249	1053566.316	1161714	1240824
a2-payload-heavy	edit_patch_ns	500	8376534	8397868.258	8517425	8728828
a2-payload-heavy	measured_total_ns	500	41354792	41677412.24	43605663	44957087
a2-payload-heavy	open_owner_ns	500	731966	745030.788	848532	930105
a2-payload-heavy	open_public_ns	500	10557757	10660018.458	11278808	12824484
