% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 62.02    0.477986          51      9270       122 newfstatat
 17.15    0.132146       44048         3           wait4
 11.17    0.086102        1324        65         4 futex
  3.09    0.023800          38       615           sched_yield
  1.19    0.009204           3      2948           getdents64
  0.88    0.006795           3      2121       511 openat
  0.54    0.004180          31       132           mprotect
  0.51    0.003936          15       258           mmap
  0.44    0.003418           2      1624           close
  0.44    0.003362           2      1580           fstat
  0.39    0.002981          21       141           rt_sigprocmask
  0.36    0.002774          71        39           clone3
  0.28    0.002190          42        51           sigaltstack
  0.25    0.001960          30        64           munmap
  0.23    0.001738          19        87        82 execve
  0.21    0.001595          38        41           set_robust_list
  0.14    0.001069           0      1356           write
  0.12    0.000927           3       291           brk
  0.11    0.000872          21        41           rseq
  0.10    0.000800           4       168         3 read
  0.10    0.000763          27        28           sched_getaffinity
  0.09    0.000693          40        17           madvise
  0.07    0.000546          22        24           gettid
  0.03    0.000257          17        15           getrandom
  0.01    0.000089           2        35         1 statx
  0.01    0.000088           9         9           prctl
  0.01    0.000085           1        52        38 access
  0.01    0.000055          55         1           unlink
  0.01    0.000044           1        34           rt_sigaction
  0.00    0.000035           5         7         6 readlink
  0.00    0.000026           1        14           pread64
  0.00    0.000025          12         2           open
  0.00    0.000016           1        16         1 lseek
  0.00    0.000015          15         1           readlinkat
  0.00    0.000012           0        15         6 ioctl
  0.00    0.000012           2         5           uname
  0.00    0.000012           0        26           prlimit64
  0.00    0.000011           1         9           poll
  0.00    0.000011           0        13           getcwd
  0.00    0.000010           2         5           arch_prctl
  0.00    0.000005           5         1           epoll_ctl
  0.00    0.000005           5         1           epoll_create1
  0.00    0.000004           2         2           getpid
  0.00    0.000004           0         5           set_tid_address
  0.00    0.000004           4         1           eventfd2
  0.00    0.000002           2         1           fcntl
  0.00    0.000000           0         9           dup2
  0.00    0.000000           0         3           chdir
  0.00    0.000000           0         1         1 mkdir
  0.00    0.000000           0         4           geteuid
  0.00    0.000000           0         6           pipe2
------ ----------- ----------- --------- --------- ------------------
100.00    0.770664          36     21257       775 total
