shape	operation	metric	comparison	p50_pct	mean_pct	p95_pct	p99_pct	gate_passed
medium	hide-one	elapsed_ns	a1_to_b1_reduction	13.200042	12.004042	4.998616	-6.951415	false
medium	hide-one	elapsed_ns	b2_to_a2_reduction	13.426922	13.301559	10.434005	11.066806	true
medium	hide-one	publication_ns	a1_to_b1_reduction	56.542284	56.064375	52.554871	50.422219	true
medium	hide-one	publication_ns	b2_to_a2_reduction	58.098826	57.667471	56.168051	57.130271	true
medium	unhide-256	elapsed_ns	a1_to_b1_reduction	14.435107	13.683920	6.841786	-2.694896	false
medium	unhide-256	elapsed_ns	b2_to_a2_reduction	17.380119	17.476767	17.619883	19.909967	true
medium	unhide-256	publication_ns	a1_to_b1_reduction	57.447263	56.973149	53.833663	53.428598	true
medium	unhide-256	publication_ns	b2_to_a2_reduction	59.666350	59.645486	59.291818	59.644920	true
large	hide-one	elapsed_ns	a1_to_b1_reduction	12.766693	12.716537	7.287446	5.268235	true
large	hide-one	elapsed_ns	b2_to_a2_reduction	22.792052	23.004619	23.547360	23.580301	true
large	hide-one	publication_ns	a1_to_b1_reduction	62.703707	62.222949	59.016453	57.826917	true
large	hide-one	publication_ns	b2_to_a2_reduction	66.913605	66.620666	66.150317	66.546181	true
large	unhide-256	elapsed_ns	a1_to_b1_reduction	7.230545	8.731603	3.256979	0.713563	true
large	unhide-256	elapsed_ns	b2_to_a2_reduction	26.261795	25.852489	25.574061	26.171882	true
large	unhide-256	publication_ns	a1_to_b1_reduction	60.897758	60.770989	56.870647	54.782767	true
large	unhide-256	publication_ns	b2_to_a2_reduction	67.392954	67.523172	66.970557	68.230745	true
medium	hide-one	elapsed_ns	control_a1_to_a2_drift	10.515039	10.908867	11.605177	16.847668	false
medium	hide-one	elapsed_ns	candidate_b1_to_b2_drift	10.226172	9.273495	5.219822	-2.837785	false
medium	hide-one	publication_ns	control_a1_to_a2_drift	10.084574	10.332587	12.169923	16.876915	false
medium	hide-one	publication_ns	candidate_b1_to_b2_drift	6.141632	6.306839	3.627630	1.063047	false
medium	unhide-256	elapsed_ns	control_a1_to_a2_drift	11.524051	12.074465	13.715221	17.982836	false
medium	unhide-256	elapsed_ns	candidate_b1_to_b2_drift	7.685565	7.149758	0.558746	-7.987158	false
medium	unhide-256	publication_ns	control_a1_to_a2_drift	10.978137	11.211063	13.766040	15.405765	false
medium	unhide-256	publication_ns	candidate_b1_to_b2_drift	5.190728	4.303900	0.315705	0.001475	false
large	hide-one	elapsed_ns	control_a1_to_a2_drift	15.711058	16.118741	18.623739	19.715980	false
large	hide-one	elapsed_ns	candidate_b1_to_b2_drift	2.412869	2.431852	-2.180475	-3.425644	true
large	hide-one	publication_ns	control_a1_to_a2_drift	14.760167	15.096143	18.991973	20.234216	false
large	hide-one	publication_ns	candidate_b1_to_b2_drift	1.806369	1.697523	-1.720546	-4.624151	true
large	unhide-256	elapsed_ns	control_a1_to_a2_drift	18.675361	19.228607	25.720284	29.837583	false
large	unhide-256	elapsed_ns	candidate_b1_to_b2_drift	-5.670373	-3.137289	-3.281393	-3.454443	false
large	unhide-256	publication_ns	control_a1_to_a2_drift	16.649135	17.915533	26.541721	34.796548	false
large	unhide-256	publication_ns	candidate_b1_to_b2_drift	-2.727223	-2.380345	-3.091460	-5.293057	false
