% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ----------------
 90.98    0.001039           0      2691           write
  4.64    0.000053           2        22           openat
  1.84    0.000021           0        79           read
  0.79    0.000009           1         9           fstat
  0.70    0.000008           0        21           close
  0.61    0.000007           3         2           lseek
  0.35    0.000004           0         6           pread64
  0.09    0.000001           0        12           statx
------ ----------- ----------- --------- --------- ----------------
100.00    0.001142           0      2842           total
