% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 98.92    2.764053           1   2324700           write
  0.55    0.015344          74       206           brk
  0.26    0.007371           1      7264           read
  0.24    0.006837         184        37           munmap
  0.01    0.000247           0       549           futex
  0.00    0.000118         118         1           execve
  0.00    0.000104           1        54           mmap
  0.00    0.000041           3        11           mremap
  0.00    0.000034           4         7           openat
  0.00    0.000028          28         1           fsync
  0.00    0.000016           2         6           mprotect
  0.00    0.000013           1         7           close
  0.00    0.000009           4         2           lseek
  0.00    0.000007           1         5           fstat
  0.00    0.000005           1         5           rt_sigaction
  0.00    0.000005           1         3           sigaltstack
  0.00    0.000003           1         2           rt_sigprocmask
  0.00    0.000003           1         2           pread64
  0.00    0.000003           1         2           readlink
  0.00    0.000003           1         2           prlimit64
  0.00    0.000003           1         2           getrandom
  0.00    0.000002           2         1           poll
  0.00    0.000002           2         1         1 access
  0.00    0.000002           2         1           arch_prctl
  0.00    0.000002           2         1           sched_getaffinity
  0.00    0.000002           2         1           rseq
  0.00    0.000001           1         1           gettid
  0.00    0.000001           1         1           set_tid_address
  0.00    0.000001           1         1           set_robust_list
  0.00    0.000001           1         1           statx
------ ----------- ----------- --------- --------- ------------------
100.00    2.794261           1   2332877         1 total
