# Change 0642 four-way differential, BEFORE leg (base c7326f68).
#
# xlsx0642 diff FILE..., taskset -c 17. One row per worksheet of every .xlsx in
# the tree plus the probe corpus. Each leg opens its own SourceBackedWorkbook
# (or eager Workbook) and reports ok:<visited>:<FNV-1a digest over the Debug
# rendering of every (address, cell) pair in production order>, or
# refused:<the refusal's Display text>. `agree` is yes when all four legs
# produced the same string.
#
# Legs: cold_visit = visit_cells on a cold worksheet; cold_cells = cells() on a
# cold worksheet; warm_visit = visit_cells after stored_extent() published the
# materialized store; eager_cells = litchi_xlsx::Workbook's own store iterator.
#
# This file and diff-after.tsv are byte-identical.
file	sheet	cold_visit	cold_cells	warm_visit	eager_cells	agree
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx	Sheet1	ok:28:1a4b19f6d54b6e17	ok:28:1a4b19f6d54b6e17	ok:28:1a4b19f6d54b6e17	ok:28:1a4b19f6d54b6e17	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/3d-reference.xlsx	Sheet2	ok:7:93b16a448aba1d01	ok:7:93b16a448aba1d01	ok:7:93b16a448aba1d01	ok:7:93b16a448aba1d01	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx	Sheet1	ok:38:27a824565ea175c4	ok:38:27a824565ea175c4	ok:38:27a824565ea175c4	ok:38:27a824565ea175c4	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx	Sheet2	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/basic.xlsx	Sheet3	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/refupdate.xlsx	Sheet1	ok:10:e4e6d25421af6f64	ok:10:e4e6d25421af6f64	ok:10:e4e6d25421af6f64	ok:10:e4e6d25421af6f64	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx	Sheet1	ok:21:7682cc64e28f4b8c	ok:21:7682cc64e28f4b8c	ok:21:7682cc64e28f4b8c	ok:21:7682cc64e28f4b8c	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/shared-formula/text-results.xlsx	Sheet2	ok:7:c733e3a6bcc97b1a	ok:7:c733e3a6bcc97b1a	ok:7:c733e3a6bcc97b1a	ok:7:c733e3a6bcc97b1a	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx	Green	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx	Red	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx	Blue	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/sheet-tab-color.xlsx	Yellow	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/subtotal-above.xlsx	Not below	ok:69:1d9b980cf374ae9e	ok:69:1d9b980cf374ae9e	ok:69:1d9b980cf374ae9e	ok:69:1d9b980cf374ae9e	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx	Sheet1 (2)	refused:invalid XLSX structure: invalid worksheet dimension '1:5': invalid A1 range '1:5': invalid or out-of-grid A1 cell reference '1'	refused:invalid XLSX structure: invalid worksheet dimension '1:5': invalid A1 range '1:5': invalid or out-of-grid A1 cell reference '1'	refused:invalid XLSX structure: invalid worksheet dimension '1:5': invalid A1 range '1:5': invalid or out-of-grid A1 cell reference '1'	refused:invalid XLSX structure: invalid worksheet dimension '1:5': invalid A1 range '1:5': invalid or out-of-grid A1 cell reference '1'	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf100034.xlsx	Sheet1 (3)	refused:invalid XLSX structure: invalid worksheet dimension '1:102': invalid A1 range '1:102': invalid or out-of-grid A1 cell reference '1'	refused:invalid XLSX structure: invalid worksheet dimension '1:102': invalid A1 range '1:102': invalid or out-of-grid A1 cell reference '1'	refused:invalid XLSX structure: invalid worksheet dimension '1:102': invalid A1 range '1:102': invalid or out-of-grid A1 cell reference '1'	refused:invalid XLSX structure: invalid worksheet dimension '1:102': invalid A1 range '1:102': invalid or out-of-grid A1 cell reference '1'	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf105840_allRowsHidden.xlsx	Sheet1	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf111980_radioButtons.xlsx	Sheet1	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf120168.xlsx	Munka1	ok:4:cfb15d3644c4c28d	ok:4:cfb15d3644c4c28d	ok:4:cfb15d3644c4c28d	ok:4:cfb15d3644c4c28d	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf134455.xlsx	Sheet1	ok:23:882637b6a309f0f5	ok:23:882637b6a309f0f5	ok:23:882637b6a309f0f5	ok:23:882637b6a309f0f5	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf134459_HeaderFooterColor.xlsx	Sheet1	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf136721_letter_sized_paper.xlsx	Sheet1	ok:2:13ee43ef149cdb82	ok:2:13ee43ef149cdb82	ok:2:13ee43ef149cdb82	ok:2:13ee43ef149cdb82	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf143068_top10filter.xlsx	Munka1	ok:11:d1e90b091794c0ab	ok:11:d1e90b091794c0ab	ok:11:d1e90b091794c0ab	ok:11:d1e90b091794c0ab	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf167689_xmlMaps_and_xmlColumnPr.xlsx	Transaction Type	ok:7:b24e138bb8ab595d	ok:7:b24e138bb8ab595d	ok:7:b24e138bb8ab595d	ok:7:b24e138bb8ab595d	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf66377.xlsx	sheet1	ok:11:72ac40300714870e	ok:11:72ac40300714870e	ok:11:72ac40300714870e	ok:11:72ac40300714870e	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf97598_scenarios.xlsx	Sheet1	ok:1:b03ab19ba471c15c	ok:1:b03ab19ba471c15c	ok:1:b03ab19ba471c15c	ok:1:b03ab19ba471c15c	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf97598_scenarios.xlsx	Sheet2	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/tdf97598_scenarios.xlsx	Sheet3	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/textLengthDataValidity.xlsx	Sheet1	ok:4:e7a3a1fe9b6a3cb1	ok:4:e7a3a1fe9b6a3cb1	ok:4:e7a3a1fe9b6a3cb1	ok:4:e7a3a1fe9b6a3cb1	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/totalsRowShown.xlsx	Data	ok:65:e1606ee83b126a37	ok:65:e1606ee83b126a37	ok:65:e1606ee83b126a37	ok:65:e1606ee83b126a37	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/track-changes/simple-cell-changes.xlsx	Sheet1	ok:7:ac8a98c0ab8b0d9d	ok:7:ac8a98c0ab8b0d9d	ok:7:ac8a98c0ab8b0d9d	ok:7:ac8a98c0ab8b0d9d	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/track-changes/simple-cell-changes.xlsx	Sheet2	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/libreoffice-core/sc/qa/unit/data/xlsx/track-changes/simple-cell-changes.xlsx	Sheet3	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/office-interop/libreoffice-resaved/date-autofilter-litchi.xlsx	Munka1	ok:8:7c7935f6f18d152e	ok:8:7c7935f6f18d152e	ok:8:7c7935f6f18d152e	ok:8:7c7935f6f18d152e	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/office-interop/litchi-changed/date-autofilter-litchi.xlsx	Munka1	ok:8:838106e72899a7df	ok:8:838106e72899a7df	ok:8:838106e72899a7df	ok:8:838106e72899a7df	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Home	ok:61:591e668442178aaa	ok:61:591e668442178aaa	ok:61:591e668442178aaa	ok:61:591e668442178aaa	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Products1	ok:87:6bb8e0f4041fcfa3	ok:87:6bb8e0f4041fcfa3	ok:87:6bb8e0f4041fcfa3	ok:87:6bb8e0f4041fcfa3	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Products2	ok:93:290f42575ca03651	ok:93:290f42575ca03651	ok:93:290f42575ca03651	ok:93:290f42575ca03651	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Book tour	ok:126:7f3e8487ad30361d	ok:126:7f3e8487ad30361d	ok:126:7f3e8487ad30361d	ok:126:7f3e8487ad30361d	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Grades	ok:60:d8434009e86e0282	ok:60:d8434009e86e0282	ok:60:d8434009e86e0282	ok:60:d8434009e86e0282	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Customers1	ok:160:3920c4bd36625d42	ok:160:3920c4bd36625d42	ok:160:3920c4bd36625d42	ok:160:3920c4bd36625d42	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Quarters	ok:141:fefa4c0e18674901	ok:141:fefa4c0e18674901	ok:141:fefa4c0e18674901	ok:141:fefa4c0e18674901	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Bike rating	ok:60:8bc888f93cefd4fa	ok:60:8bc888f93cefd4fa	ok:60:8bc888f93cefd4fa	ok:60:8bc888f93cefd4fa	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	FY months	ok:43:28cd30190553fc9a	ok:43:28cd30190553fc9a	ok:43:28cd30190553fc9a	ok:43:28cd30190553fc9a	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Regional sales	ok:23:3030800dd75d10f3	ok:23:3030800dd75d10f3	ok:23:3030800dd75d10f3	ok:23:3030800dd75d10f3	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Regional sales2	ok:23:9552cbe61dcdb533	ok:23:9552cbe61dcdb533	ok:23:9552cbe61dcdb533	ok:23:9552cbe61dcdb533	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Regional sales3	ok:23:9046216555cb29f4	ok:23:9046216555cb29f4	ok:23:9046216555cb29f4	ok:23:9046216555cb29f4	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Mountains	ok:253:dceea7ff6f69d84f	ok:253:dceea7ff6f69d84f	ok:253:dceea7ff6f69d84f	ok:253:dceea7ff6f69d84f	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Category sales	ok:347:3c3a8735afcc24fb	ok:347:3c3a8735afcc24fb	ok:347:3c3a8735afcc24fb	ok:347:3c3a8735afcc24fb	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Banded rows	ok:240:b77d02dc37ae72c6	ok:240:b77d02dc37ae72c6	ok:240:b77d02dc37ae72c6	ok:240:b77d02dc37ae72c6	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Compare to totals	ok:230:9a47d432b28db84b	ok:230:9a47d432b28db84b	ok:230:9a47d432b28db84b	ok:230:9a47d432b28db84b	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Products3	ok:111:4790de92fac88393	ok:111:4790de92fac88393	ok:111:4790de92fac88393	ok:111:4790de92fac88393	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/ConditionalFormattingSamples.xlsx	Customers2	ok:192:f1456f68c01f9ab9	ok:192:f1456f68c01f9ab9	ok:192:f1456f68c01f9ab9	ok:192:f1456f68c01f9ab9	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx	Foglio1	ok:84:a072ed82d4430863	ok:84:a072ed82d4430863	ok:84:a072ed82d4430863	ok:84:a072ed82d4430863	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx	Foglio2	ok:23:d389cab765d30bd5	ok:23:d389cab765d30bd5	ok:23:d389cab765d30bd5	ok:23:d389cab765d30bd5	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/CustomXMLMappings-complex-type.xlsx	Foglio3	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/CustomXMLMappings.xlsx	Foglio1	ok:16:f56f3304dd0ae8f0	ok:16:f56f3304dd0ae8f0	ok:16:f56f3304dd0ae8f0	ok:16:f56f3304dd0ae8f0	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/CustomXMLMappings.xlsx	Foglio2	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
/home/zhuhe/code/litchi-worktrees/0642/test-data/ooxml/xlsx/CustomXMLMappings.xlsx	Foglio3	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	ok:0:cbf29ce484222325	yes
