experiment	leg	profile	binary_role	case	parts	p50_ns	p95_ns	p99_ns	mean_ns	sample_count	source_read_calls	source_read_bytes	source_version_calls	source_payload_read_calls	source_payload_read_bytes	source_max_in_flight_reads	lookup_count	output_sha256	report_sha256
mapless-binary-search	A1	normal	control	opc_casefold_source_case_alias_lookup	2048	67885	72590	75491	68388.63333333332	30	0	0	144	0	0	0	144	ab0ffe95ce1e4c74f73dd7b9ea910991299588ee79917e99efe6c0a8e26262b4	dfbf53e290e7ed97d70337a000b04325c7dfe7e61bdeef51c31289f150e41bec
mapless-binary-search	A1	normal	control	opc_casefold_source_genuine_miss_lookup	2048	38325	38431	43850	38505.73333333334	30	0	0	144	0	0	0	144	fea761da167dbe4473f53f4886ea4a2da108776c8ba4b73d3f9332cc61824582	dfbf53e290e7ed97d70337a000b04325c7dfe7e61bdeef51c31289f150e41bec
mapless-binary-search	A1	normal	control	opc_casefold_eager_open	16384	32347088	33489704	33887685	32261991.533333335	30	-	-	-	-	-	-	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	dfbf53e290e7ed97d70337a000b04325c7dfe7e61bdeef51c31289f150e41bec
mapless-binary-search	A1	normal	control	opc_casefold_source_open	16384	24682156	25392269	25444090	24604647.233333327	30	27	1196793	4	0	0	1	0	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd	dfbf53e290e7ed97d70337a000b04325c7dfe7e61bdeef51c31289f150e41bec
mapless-binary-search	A1	normal	control	opc_casefold_eager_lookup	16384	2861157	2872512	2876352	2859875.6333333342	30	-	-	-	-	-	-	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	dfbf53e290e7ed97d70337a000b04325c7dfe7e61bdeef51c31289f150e41bec
mapless-binary-search	A1	normal	control	opc_casefold_source_lookup	16384	47920	48181	48320	47912.86666666667	30	0	0	144	0	0	0	144	d9b4239f722a2b243ab4f2e0d1208b8a145aa22b02e615adc2819c5cedb843fb	dfbf53e290e7ed97d70337a000b04325c7dfe7e61bdeef51c31289f150e41bec
mapless-binary-search	A1	normal	control	opc_casefold_source_exact_lookup	16384	2300	2350	2360	2303.3333333333335	30	0	0	144	0	0	0	144	58ee4d69d4dd8ed44c627b65ffe31ac45a9c0a0f9c0c7d05478298cdb0a00b31	dfbf53e290e7ed97d70337a000b04325c7dfe7e61bdeef51c31289f150e41bec
mapless-binary-search	A1	normal	control	opc_casefold_source_case_alias_lookup	16384	85860	87111	92701	86133.03333333333	30	0	0	144	0	0	0	144	f197c1243908b5970c2045ae96d6312d27c2109a08ca4a3752ed36b2ae1a8fce	dfbf53e290e7ed97d70337a000b04325c7dfe7e61bdeef51c31289f150e41bec
mapless-binary-search	A1	normal	control	opc_casefold_source_genuine_miss_lookup	16384	48195	48320	48340	48204.83333333333	30	0	0	144	0	0	0	144	fea761da167dbe4473f53f4886ea4a2da108776c8ba4b73d3f9332cc61824582	dfbf53e290e7ed97d70337a000b04325c7dfe7e61bdeef51c31289f150e41bec
mapless-binary-search	A2	normal	control	opc_casefold_eager_open	256	422646	436742	438161	425206.5333333333	30	-	-	-	-	-	-	0	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9	f0dcd009020709cd5d92110abd1bc5659881e52b8cac5aad11870edd775cfa07
