axis,axis_value,path,phase,archive_bytes,region_peak_bytes,allocations,retained_bytes,output_bytes,output_fnv1a64
size,65536,B_source_backed,open,164712,140366,1087,25992,0,0
size,65536,B_source_backed,save_and_drop,164712,506607,79,-25992,164712,4778955ffbd36738
size,65536,A_package_writer,open,164712,789759,1820,646673,0,0
size,65536,A_package_writer,save,164712,514544,448,4136,164712,4778955ffbd36738
size,65536,A_package_writer,drop,164712,0,0,-650809,0,0
size,262144,B_source_backed,open,361380,140366,1087,25992,0,0
size,262144,B_source_backed,save_and_drop,361380,506607,79,-25992,361380,6ed2d34ac03bdb25
size,262144,A_package_writer,open,361380,1183035,1844,1039949,0,0
size,262144,A_package_writer,save,361380,514544,448,4136,361380,6ed2d34ac03bdb25
size,262144,A_package_writer,drop,361380,0,0,-1044085,0,0
size,1048576,B_source_backed,open,1148053,140366,1087,25992,0,0
size,1048576,B_source_backed,save_and_drop,1148053,506607,79,-25992,1148053,c7b9d54f9027cede
size,1048576,A_package_writer,open,1148053,2756140,1940,2613054,0,0
size,1048576,A_package_writer,save,1148053,514544,448,4136,1148053,c7b9d54f9027cede
size,1048576,A_package_writer,drop,1148053,0,0,-2617190,0,0
size,4194304,B_source_backed,open,4294743,140366,1087,25992,0,0
size,4194304,B_source_backed,save_and_drop,4294743,506607,79,-25992,4294743,cc84c8b54dfb8b1f
size,4194304,A_package_writer,open,4294743,9048558,2324,8905472,0,0
size,4194304,A_package_writer,save,4294743,514544,448,4136,4294743,cc84c8b54dfb8b1f
size,4194304,A_package_writer,drop,4294743,0,0,-8909608,0,0
size,16777216,B_source_backed,open,16881495,140366,1087,25992,0,0
size,16777216,B_source_backed,save_and_drop,16881495,506607,79,-25992,16881495,de13ce9c3bb4c8a6
size,16777216,A_package_writer,open,16881495,34218198,3860,34075136,0,0
size,16777216,A_package_writer,save,16881495,514544,448,4136,16881495,de13ce9c3bb4c8a6
size,16777216,A_package_writer,drop,16881495,0,0,-34079272,0,0
size,67108864,B_source_backed,open,67228503,140366,1087,25992,0,0
size,67108864,B_source_backed,save_and_drop,67228503,506607,79,-25992,67228503,395c924099cdf4b8
size,67108864,A_package_writer,open,67228503,134896854,10006,134753792,0,0
size,67108864,A_package_writer,save,67228503,514544,448,4136,67228503,395c924099cdf4b8
size,67108864,A_package_writer,drop,67228503,0,0,-134757928,0,0
size,134217728,B_source_backed,open,134357847,140366,1087,25992,0,0
size,134217728,B_source_backed,save_and_drop,134357847,506607,79,-25992,134357847,9467da2526efd6f4
size,134217728,A_package_writer,open,134357847,269135062,18201,268992000,0,0
size,134217728,A_package_writer,save,134357847,514544,448,4136,134357847,9467da2526efd6f4
size,134217728,A_package_writer,drop,134357847,0,0,-268996136,0,0
