pre-0579	test-data/libreoffice-core/chart2/qa/extras/data/xls/chart.xls	open=32	total=149	text_len=45	text_fnv=6141bc794f81b6b3
0579-only	test-data/libreoffice-core/chart2/qa/extras/data/xls/chart.xls	open=32	total=149	text_len=45	text_fnv=6141bc794f81b6b3
this-change	test-data/libreoffice-core/chart2/qa/extras/data/xls/chart.xls	open=32	total=108	text_len=45	text_fnv=6141bc794f81b6b3
pre-0579	test-data/libreoffice-core/sc/qa/extras/testdocuments/NamesSheetLocal.xls	open=57	total=126	text_len=2	text_fnv=3dde0a07b5084555
0579-only	test-data/libreoffice-core/sc/qa/extras/testdocuments/NamesSheetLocal.xls	open=46	total=115	text_len=2	text_fnv=3dde0a07b5084555
this-change	test-data/libreoffice-core/sc/qa/extras/testdocuments/NamesSheetLocal.xls	open=46	total=115	text_len=2	text_fnv=3dde0a07b5084555
pre-0579	test-data/libreoffice-core/sc/qa/extras/testdocuments/tdf78897.xls	open=11	total=57	text_len=705	text_fnv=65ac6c09589b287d
0579-only	test-data/libreoffice-core/sc/qa/extras/testdocuments/tdf78897.xls	open=10	total=56	text_len=705	text_fnv=65ac6c09589b287d
this-change	test-data/libreoffice-core/sc/qa/extras/testdocuments/tdf78897.xls	open=10	total=51	text_len=705	text_fnv=65ac6c09589b287d
pre-0579	test-data/libreoffice-core/sc/qa/unit/data/xls/cell-borders.xls	open=53	total=775	text_len=732	text_fnv=57e794f60298054d
0579-only	test-data/libreoffice-core/sc/qa/unit/data/xls/cell-borders.xls	open=42	total=764	text_len=732	text_fnv=57e794f60298054d
this-change	test-data/libreoffice-core/sc/qa/unit/data/xls/cell-borders.xls	open=42	total=194	text_len=732	text_fnv=57e794f60298054d
pre-0579	test-data/libreoffice-core/sc/qa/unit/data/xls/cellformat.xls	open=40	total=61	text_len=56	text_fnv=a45e51d2b94d8db8
0579-only	test-data/libreoffice-core/sc/qa/unit/data/xls/cellformat.xls	open=36	total=57	text_len=56	text_fnv=a45e51d2b94d8db8
this-change	test-data/libreoffice-core/sc/qa/unit/data/xls/cellformat.xls	open=36	total=57	text_len=56	text_fnv=a45e51d2b94d8db8
pre-0579	test-data/libreoffice-core/sc/qa/unit/data/xls/embedded-chart.xls	open=7	total=35	text_len=85	text_fnv=c3d19f5e9b62e775
0579-only	test-data/libreoffice-core/sc/qa/unit/data/xls/embedded-chart.xls	open=6	total=34	text_len=85	text_fnv=c3d19f5e9b62e775
this-change	test-data/libreoffice-core/sc/qa/unit/data/xls/embedded-chart.xls	open=6	total=19	text_len=85	text_fnv=c3d19f5e9b62e775
pre-0579	test-data/libreoffice-core/sc/qa/unit/data/xls/external-ref.xls	open=32	TEXT_REFUSED	source XLS parse error: Invalid record 0x0006: Formula flags contain reserved bits
0579-only	test-data/libreoffice-core/sc/qa/unit/data/xls/external-ref.xls	open=32	TEXT_REFUSED	source XLS parse error: Invalid record 0x0006: Formula flags contain reserved bits
this-change	test-data/libreoffice-core/sc/qa/unit/data/xls/external-ref.xls	open=32	TEXT_REFUSED	source XLS parse error: Invalid record 0x0006: Formula flags contain reserved bits
pre-0579	test-data/libreoffice-core/sc/qa/unit/data/xls/formats.xls	open=11	TEXT_REFUSED	source XLS parse error: Invalid record 0x0006: Formula flags contain reserved bits
