% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 56.91    0.001906         158        12           read
 12.06    0.000404         202         2           execve
  5.82    0.000195           0       484           pread64
  4.39    0.000147           3        44           mmap
  3.82    0.000128          42         3           write
  3.46    0.000116          11        10           munmap
  3.25    0.000109           2        50        13 openat
  2.78    0.000093           0       364           statx
  1.58    0.000053           0       111           brk
  1.02    0.000034          34         1           sched_setaffinity
  0.81    0.000027           0        37           close
  0.78    0.000026           3         8           mprotect
  0.75    0.000025           1        21           fstat
  0.42    0.000014          14         1           unlink
  0.33    0.000011           1         6         5 readlink
  0.30    0.000010           5         2           lseek
  0.21    0.000007           1         5           rt_sigaction
  0.18    0.000006           6         1           chmod
  0.12    0.000004           2         2         2 access
  0.12    0.000004           2         2           arch_prctl
  0.12    0.000004           2         2           sched_getaffinity
  0.12    0.000004           1         3           prlimit64
  0.12    0.000004           1         3           getrandom
  0.09    0.000003           1         2           set_robust_list
  0.06    0.000002           2         1           poll
  0.06    0.000002           1         2           rt_sigprocmask
  0.06    0.000002           2         1           getcwd
  0.06    0.000002           0         3           sigaltstack
  0.06    0.000002           1         2           set_tid_address
  0.03    0.000001           1         1           getpid
  0.03    0.000001           1         1           fdatasync
  0.03    0.000001           1         1           gettid
  0.03    0.000001           1         1           futex
  0.03    0.000001           0         2           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.003349           2      1191        20 total
