% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 31.47    0.000361         180         2           execve
 19.79    0.000227          28         8           read
 10.29    0.000118          13         9           write
  8.63    0.000099           2        41           mmap
  7.06    0.000081           2        36        13 openat
  4.01    0.000046          46         1           unlink
  3.31    0.000038          38         1           sched_setaffinity
  2.62    0.000030           4         7           munmap
  2.53    0.000029           3         8           mprotect
  2.18    0.000025           1        21           fstat
  2.09    0.000024           1        23           close
  0.96    0.000011           1        10           brk
  0.61    0.000007           3         2           lseek
  0.52    0.000006           1         5         5 readlink
  0.52    0.000006           3         2           sched_getaffinity
  0.44    0.000005           1         5           rt_sigaction
  0.35    0.000004           1         4           pread64
  0.26    0.000003           1         3           sigaltstack
  0.26    0.000003           1         3           prlimit64
  0.17    0.000002           1         2         2 access
  0.17    0.000002           2         1           getpid
  0.17    0.000002           2         1           chmod
  0.17    0.000002           1         2           arch_prctl
  0.17    0.000002           2         1           futex
  0.17    0.000002           1         2           set_tid_address
  0.17    0.000002           1         2           set_robust_list
  0.17    0.000002           0         3           getrandom
  0.17    0.000002           1         2           statx
  0.17    0.000002           1         2           rseq
  0.09    0.000001           1         1           poll
  0.09    0.000001           1         1           fdatasync
  0.09    0.000001           1         1           getcwd
  0.09    0.000001           1         1           gettid
  0.00    0.000000           0         2           rt_sigprocmask
------ ----------- ----------- --------- --------- ------------------
100.00    0.001147           5       215        20 total
