# fixture=/home/zhuhe/code/litchi/test-data/ole/doc/documentProperties.doc mode=doc-open-read bytes=9728
# witness_offset=8703 forced=false
# clean_outcome=OK
# clean_read_calls=59
trigger_after_read	fired	reads	outcome
35	1	36	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
36	1	42	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
37	1	42	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
38	1	42	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
39	1	42	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
40	1	42	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
41	1	42	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
42	1	53	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
43	1	53	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
44	1	53	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
45	1	53	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
46	1	53	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
47	1	53	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
48	1	53	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
49	1	53	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
50	1	53	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
51	1	53	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
52	1	53	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
53	1	59	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
54	1	59	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
55	1	59	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
56	1	59	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
57	1	59	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
58	1	59	read-ERR Overlay(SourceFingerprintChanged { expected: ArtifactFingerprint([57, 88, 229, 193, 106, 144, 137, 240, 124, 29, 118, 2, 226, 225, 91, 96, 50, 181, 13...
59	1	59	OK
