test-data/libreoffice-core/chart2/qa/extras/data/xls/chart.xls	all-cells	reads=17 bytes=6050 versions=21 outcome=cells:9:ec75b738ea060abfd7679b33ce6e892cd566ad79adaf406e6b5bb989acfd8256
test-data/libreoffice-core/chart2/qa/extras/data/xls/chart.xls	full-text	reads=17 bytes=6050 versions=55 outcome=text:45:72d1dae4486384bc422eca6f48fae2eb5d66f7783bc8bb31d70d92b946d1a934
test-data/libreoffice-core/sc/qa/extras/testdocuments/NamesSheetLocal.xls	all-cells	reads=22 bytes=21765 versions=20 outcome=cells:0:e3b0c44298fc1c149afbf4c8996fb92427ae41e4649b934ca495991b7852b855
test-data/libreoffice-core/sc/qa/extras/testdocuments/NamesSheetLocal.xls	full-text	reads=24 bytes=22498 versions=30 outcome=text:2:75a11da44c802486bc6f65640aa48a730f0f684c5c07a42ba3cd1735eb3fb070
test-data/libreoffice-core/sc/qa/extras/testdocuments/tdf78897.xls	all-cells	reads=17 bytes=9167 versions=21 outcome=cells:321:6834ce543687167c6469d9f8daf6081c5ff6e7c2a4dc7264240918b88010f9e7
test-data/libreoffice-core/sc/qa/extras/testdocuments/tdf78897.xls	full-text	reads=19 bytes=9955 versions=245 outcome=text:705:8e2c7f9a5c8b1ec335666c27dd868770c9d91fd120c4772816944aaa779ab1cf
test-data/libreoffice-core/sc/qa/unit/data/xls/cell-borders.xls	all-cells	reads=25 bytes=15008 versions=30 outcome=cells:53:0e5055acc8777bfbed594c4d79a86232d07de679a150cfd375e9fb3ac265a532
test-data/libreoffice-core/sc/qa/unit/data/xls/cell-borders.xls	full-text	reads=31 bytes=16993 versions=322 outcome=text:732:f6a9c5f9ddd418550583f050165bbdc0f651d84abeff50ace9a2adf15cebd8cd
test-data/libreoffice-core/sc/qa/unit/data/xls/cellformat.xls	all-cells	reads=16 bytes=12573 versions=20 outcome=cells:1:89a4bc0750bc40b497f8d1b49ad38a1d1984843009d245e2336817f4c2e5726c
test-data/libreoffice-core/sc/qa/unit/data/xls/cellformat.xls	full-text	reads=16 bytes=12573 versions=26 outcome=text:56:1ec6d36bc06f36f029b376f621160cda0bd01c98f125831704527dea2e7c10e4
