shape          case                 region         metric                           before          after    delta%
medium         one_edit_save        plan           allocation_calls                  17231          17251     +0.12
medium         one_edit_save        plan           allocated_bytes                 3013517        3187557     +5.78
medium         one_edit_save        plan           region_peak_live_bytes         23147496       23215595     +0.29
medium         one_edit_save        staging        allocation_calls                      6              6     +0.00
medium         one_edit_save        staging        allocated_bytes                   25323          25323     +0.00
medium         one_edit_save        staging        region_peak_live_bytes         22212980       22251519     +0.17
medium         one_edit_save        commit_core    allocation_calls                  22474          10205    -54.59
medium         one_edit_save        commit_core    allocated_bytes                 2572977         733634    -71.49
medium         one_edit_save        commit_core    region_peak_live_bytes         22979479       22733614     -1.07
medium         one_edit_save        commit         allocation_calls                  22480          10211    -54.58
medium         one_edit_save        commit         allocated_bytes                 2598300         758957    -70.79
medium         one_edit_save        commit         region_peak_live_bytes         22979479       22733614     -1.07
medium         one_edit_save        publication    allocation_calls                   5022           5022     +0.00
medium         one_edit_save        publication    allocated_bytes                 1523831        1523839     +0.00
medium         one_edit_save        publication    region_peak_live_bytes         23330651       23369214     +0.17
medium         one_percent_edit_save plan           allocation_calls                  67833          67913     +0.12
medium         one_percent_edit_save plan           allocated_bytes                11412796       12107420     +6.09
medium         one_percent_edit_save plan           region_peak_live_bytes         24682212       24865919     +0.74
medium         one_percent_edit_save staging        allocation_calls                    389            389     +0.00
medium         one_percent_edit_save staging        allocated_bytes                 1899381        1899381     +0.00
medium         one_percent_edit_save staging        region_peak_live_bytes         23757677       23911848     +0.65
medium         one_percent_edit_save commit_core    allocation_calls                  91002          42383    -53.43
medium         one_percent_edit_save commit_core    allocated_bytes                10536926        3203898    -69.59
medium         one_percent_edit_save commit_core    region_peak_live_bytes         26073583       25953555     -0.46
medium         one_percent_edit_save commit         allocation_calls                  91391          42772    -53.20
medium         one_percent_edit_save commit         allocated_bytes                12436307        5103279    -58.96
medium         one_percent_edit_save commit         region_peak_live_bytes         26073583       25953555     -0.46
medium         one_percent_edit_save publication    allocation_calls                  19246          19246     +0.00
medium         one_percent_edit_save publication    allocated_bytes                 4125769        4125801     +0.00
medium         one_percent_edit_save publication    region_peak_live_bytes         26880648       27034915     +0.57
dense-sparse   one_edit_save        plan           allocation_calls                 116915         116936     +0.02
dense-sparse   one_edit_save        plan           allocated_bytes                13650801       14183753     +3.90
dense-sparse   one_edit_save        plan           region_peak_live_bytes         33351592       33618347     +0.80
dense-sparse   one_edit_save        staging        allocation_calls                      6              6     +0.00
dense-sparse   one_edit_save        staging        allocated_bytes                   25323          25323     +0.00
dense-sparse   one_edit_save        staging        region_peak_live_bytes         29626064       29892443     +0.90
dense-sparse   one_edit_save        commit_core    allocation_calls                 151516          67647    -55.35
dense-sparse   one_edit_save        commit_core    allocated_bytes                11966607        4800212    -59.89
dense-sparse   one_edit_save        commit_core    region_peak_live_bytes         33180238       33446625     +0.80
dense-sparse   one_edit_save        commit         allocation_calls                 151522          67653    -55.35
dense-sparse   one_edit_save        commit         allocated_bytes                11991930        4825535    -59.76
dense-sparse   one_edit_save        commit         region_peak_live_bytes         33180238       33446625     +0.80
dense-sparse   one_edit_save        publication    allocation_calls                  33342          33342     +0.00
dense-sparse   one_edit_save        publication    allocated_bytes                 4184769        4184777     +0.00
dense-sparse   one_edit_save        publication    region_peak_live_bytes         34660359       34926762     +0.77
dense-sparse   one_percent_edit_save plan           allocation_calls                 129417         129479     +0.05
dense-sparse   one_percent_edit_save plan           allocated_bytes                15203442       15792594     +3.88
dense-sparse   one_percent_edit_save plan           region_peak_live_bytes         33356870       33623625     +0.80
dense-sparse   one_percent_edit_save staging        allocation_calls                    725            725     +0.00
dense-sparse   one_percent_edit_save staging        allocated_bytes                 2916044        2916044     +0.00
dense-sparse   one_percent_edit_save staging        region_peak_live_bytes         29971723       30266694     +0.98
dense-sparse   one_percent_edit_save commit_core    allocation_calls                 172221          80110    -53.48
dense-sparse   one_percent_edit_save commit_core    allocated_bytes                15342448        5967616    -61.10
dense-sparse   one_percent_edit_save commit_core    region_peak_live_bytes         34403403       34187947     -0.63
dense-sparse   one_percent_edit_save commit         allocation_calls                 172946          80835    -53.26
dense-sparse   one_percent_edit_save commit         allocated_bytes                18258492        8883660    -51.35
dense-sparse   one_percent_edit_save commit         region_peak_live_bytes         34403403       34187947     -0.63
dense-sparse   one_percent_edit_save publication    allocation_calls                  36622          36622     +0.00
dense-sparse   one_percent_edit_save publication    allocated_bytes                 5747144        5747176     +0.00
dense-sparse   one_percent_edit_save publication    region_peak_live_bytes         35466930       35761997     +0.83
noncompact     one_edit_save        plan           allocation_calls                  18384          18404     +0.11
noncompact     one_edit_save        plan           allocated_bytes                 3026569        3200609     +5.75
noncompact     one_edit_save        plan           region_peak_live_bytes         23173673       23241772     +0.29
noncompact     one_edit_save        staging        allocation_calls                      6              6     +0.00
noncompact     one_edit_save        staging        allocated_bytes                   25323          25323     +0.00
noncompact     one_edit_save        staging        region_peak_live_bytes         22237849       22276388     +0.17
noncompact     one_edit_save        commit_core    allocation_calls                  36303          10214    -71.86
noncompact     one_edit_save        commit_core    allocated_bytes                 3007921         746112    -75.20
noncompact     one_edit_save        commit_core    region_peak_live_bytes         23131788       22770071     -1.56
noncompact     one_edit_save        commit         allocation_calls                  36309          10220    -71.85
noncompact     one_edit_save        commit         allocated_bytes                 3033244         771435    -74.57
noncompact     one_edit_save        commit         region_peak_live_bytes         23131788       22770071     -1.56
noncompact     one_edit_save        publication    allocation_calls                   5022           5022     +0.00
noncompact     one_edit_save        publication    allocated_bytes                 1548443        1548451     +0.00
noncompact     one_edit_save        publication    region_peak_live_bytes         23391720       23430283     +0.16
noncompact     one_percent_edit_save plan           allocation_calls                  72445          72525     +0.11
noncompact     one_percent_edit_save plan           allocated_bytes                11465004       12159628     +6.06
noncompact     one_percent_edit_save plan           region_peak_live_bytes         24743989       24927696     +0.74
noncompact     one_percent_edit_save staging        allocation_calls                    389            389     +0.00
noncompact     one_percent_edit_save staging        allocated_bytes                 1899381        1899381     +0.00
noncompact     one_percent_edit_save staging        region_peak_live_bytes         23818146       23972317     +0.65
noncompact     one_percent_edit_save commit_core    allocation_calls                 146318          42952    -70.64
noncompact     one_percent_edit_save commit_core    allocated_bytes                12277377        3270784    -73.36
noncompact     one_percent_edit_save commit_core    region_peak_live_bytes         26296256       26060532     -0.90
noncompact     one_percent_edit_save commit         allocation_calls                 146707          43341    -70.46
noncompact     one_percent_edit_save commit         allocated_bytes                14176758        5170165    -63.53
noncompact     one_percent_edit_save commit         region_peak_live_bytes         26296256       26060532     -0.90
noncompact     one_percent_edit_save publication    allocation_calls                  19246          19246     +0.00
noncompact     one_percent_edit_save publication    allocated_bytes                 4224037        4224069     +0.00
noncompact     one_percent_edit_save publication    region_peak_live_bytes         27085737       27240004     +0.57

process peak RSS (allocator-instrumented run, max over samples)
