1	846
2	489
3	253
4	371
5	2
6	9
7	3
8	978
9	488
10	486
11	727
12	484
13	122
14	123
15	123
16	3022
18	482
19	726
20	6
21	1
22	3
24	2188
25	2903
26	7476
30	102
32	1467
35	1
36	481
38	3
39	240
40	1090
43	2
46	2
48	617
53	1
56	722
60	1
64	3630
72	1
76	1
78	240
79	5
80	121
82	481
84	120
88	480
96	242
98	2
100	2
104	1
116	241
120	1
128	974
139	1
144	121
152	486
156	240
157	1
173	1
180	241
181	1
192	126
212	124
216	1
240	1
256	498
263	1
273	1
280	480
288	120
293	1
298	1
301	1
308	120
312	2
317	1
318	120
320	120
344	241
408	124
416	1
432	121
472	1
480	1
512	490
544	1
586	1
600	120
608	120
628	241
646	120
672	120
688	120
800	40
920	1
960	1
1024	251
1172	1
1600	17
1728	1
2048	243
2400	2
4096	2
4276	120
4352	120
4528	1
8192	1
16384	1
24104	1
31200	1
32768	367
33387	1
47552	360
65536	241
66774	1
73728	1
133548	1
267096	1
277600	1
380032	6
534192	1
1068384	1
2136768	1
4194304	605
4194305	480
4273536	1
8547072	1
16783632	120
17094144	1
