% time     seconds  usecs/call     calls    errors syscall
------ ----------- ----------- --------- --------- ------------------
 90.84    0.027014           1     24752           write
  5.95    0.001768          21        84           brk
  2.21    0.000657          82         8           munmap
  0.61    0.000180           0      1193           read
  0.17    0.000050           0       203           openat
  0.08    0.000025           0       198           statx
  0.08    0.000024           0       203           close
  0.03    0.000008           0        50           futex
  0.01    0.000004           0        21           mmap
  0.01    0.000003           3         1           prctl
  0.01    0.000002           1         2           rt_sigprocmask
  0.01    0.000002           0         3           sigaltstack
  0.00    0.000001           0         2           getrandom
  0.00    0.000000           0         4           fstat
  0.00    0.000000           0         1           poll
  0.00    0.000000           0         2           lseek
  0.00    0.000000           0         5           mprotect
  0.00    0.000000           0         5           rt_sigaction
  0.00    0.000000           0         2           pread64
  0.00    0.000000           0         1         1 access
  0.00    0.000000           0         1           execve
  0.00    0.000000           0         1           arch_prctl
  0.00    0.000000           0         1           gettid
  0.00    0.000000           0         1           sched_getaffinity
  0.00    0.000000           0         1           set_tid_address
  0.00    0.000000           0         1           set_robust_list
  0.00    0.000000           0         2           prlimit64
  0.00    0.000000           0         1           rseq
------ ----------- ----------- --------- --------- ------------------
100.00    0.029738           1     26749         1 total
