==============================================================================
1. Per-operation instructions, callgrind isolation pairs (owned source)
==============================================================================
fixture                            op                 base          skip       skipcur        cursor     base-skip    share
litchi_cfb::shared::SharedOleFile::stream_cursor_at_hinted       33,786       33,786            0            0           +0
litchi_cfb::file::OleFile<R>::validate_physical_sector_lay       32,870       32,870            0            0           +0
litchi_cfb::file::OleFile<R>::validate_stream_allocations        31,131       31,131            0            0           +0
<litchi_xls::records::MeasuredText as litchi_xls::records:       29,088       29,088            0            0           +0
litchi_xls::records::walk_one_shared_string                      28,557       28,557            0            0           +0
litchi_xls::workbook::source::GlobalsBuffer::ensure              27,075       32,571            0            0       -5,496
litchi_xls::number_format::codec::<impl litchi_xls::number       26,986       26,983            0            0           +3
litchi_xls::number_format::codec::parse_xf                       25,738       25,738            0            0           +0
litchi_cfb::directory_name::directory_name_data                  25,582       59,238            0            0      -33,656
free                                                             25,171       25,205            0            0          -34
malloc                                                           18,278       18,145            0            0         +133
litchi_xls::differential_format::codec::<impl litchi_xls::       14,432       14,432            0            0           +0
litchi_xls::number_format::codec::parse_number_format            13,625       13,625            0            0           +0
litchi_xls::workbook::source::WorksheetScan::next_frame          13,338       13,338            0            0           +0
alloc::raw_vec::RawVecInner<A>::finish_grow                      12,601       17,361            0            0       -4,760
realloc                                                          11,175       19,941            0            0       -8,766
_int_free_maybe_trim                                             10,540       10,932            0            0         -392
litchi_xls::workbook::source::query_cell                         10,167       10,167            0            0           +0
<alloc::string::String as core::iter::traits::collect::Fro       10,150       10,150            0            0           +0
core::hash::BuildHasher::hash_one                                 9,916        9,916            0            0           +0
litchi_xls::alignment::CellAlignment::parse                       9,520        9,520            0            0           +0
litchi_xls::records::scan_shared_string_records                   9,290        9,290            0            0           +0
litchi_xls::differential_format::validation::validate_prop        8,916        8,840            0            0          +76
<alloc::vec::Vec<T,A> as core::ops::drop::Drop>::drop             8,884        8,884            0            0           +0
unlink_chunk.isra.0                                               8,778        9,440            0            0         -662
litchi_cfb::file::OleFile<R>::load_directory                      8,676        8,676            0            0           +0
<alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::        7,968        7,968            0            0           +0
alloc::raw_vec::RawVecInner<A>::reserve::do_reserve_and_ha        7,777        7,777            0            0           +0

-- WithCustomViews.xls  open  (base total 809,190 Ir)
symbol                                                             base         skip      skipcur       cursor        delta
__memcpy_avx_unaligned_erms                                     221,572      221,537      218,592      218,625          +35
__memset_avx2_unaligned_erms                                    108,573      108,573      108,573      108,573           +0
<litchi_xls::records::MeasuredText as litchi_xls::records:       75,431       75,431       75,431       75,431           +0
litchi_xls::records::walk_one_shared_string                      45,281       45,281       45,281       45,281           +0
litchi_xls::workbook::source::SourceBackedWorkbook::from_s       29,002       32,425       32,324       29,001       -3,423
litchi_xls::number_format::codec::parse_number_format            23,812       23,812       23,812       23,812           +0
litchi_xls::border_fill::parse_xf_border_fill                    23,088       23,088       23,088       23,088           +0
<alloc::string::String as core::iter::traits::collect::Fro       18,271       18,271       18,676       18,271           +0
litchi_xls::number_format::codec::parse_xf                       16,216       16,216       16,216       16,216           +0
litchi_xls::records::scan_shared_string_records                  14,948       14,948       14,948       14,948           +0
<litchi_biff::stream::Records as core::iter::traits::itera       14,839       14,839       14,839       14,839           +0
litchi_cfb::directory_name::directory_name_data                  13,468       13,468        6,256        6,256           +0
<alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::       12,458       12,458       12,458       12,458           +0
litchi_xls::number_format::codec::<impl litchi_xls::number       12,028       12,030       12,018       12,026           -1
_int_malloc                                                      11,703       11,990       11,610       11,688         -287
litchi_xls::records::SstCursor::walk_formatting_runs             11,279       11,279       11,279       11,279           +0
litchi_cfb::file::SectorChainScratch::collect_exact              11,089       11,089       11,089       11,089           +0
litchi_cfb::shared::SharedOleFile::read_stream_range_hinte       10,575       10,575            0            0           +0
litchi_xls::workbook::source::GlobalsBuffer::ensure              10,108       10,108       10,041       10,041           +0
_int_free_merge_chunk                                             8,551        8,591        8,569        8,641          -40
litchi_cfb::shared::next_chain_sector                             8,064        8,064        5,016        5,016           +0
core::hash::BuildHasher::hash_one                                 7,589        7,589        7,589        7,589           +0
litchi_xls::alignment::CellAlignment::parse                       5,824        5,824        5,824        5,824           +0
alloc::raw_vec::RawVecInner<A>::finish_grow                       5,561        5,561        5,561        5,561           +0
realloc                                                           5,462        5,459        5,461        5,462           +2
_int_realloc                                                      4,917        4,915        4,914        4,920           +2
litchi_cfb::shared::SharedOleFile::find_entry                     4,760        4,760          680          680           +0
free                                                              4,410        4,411        4,396        4,396           -1
litchi_cfb::file::OleFile<R>::load_directory                      4,315        4,315        4,315        4,315           +0
litchi_cfb::file::OleFile<R>::validate_physical_sector_lay        3,890        3,890        3,890        3,890           +0
litchi_cfb::file::OleFile<R>::validate_stream_allocations         3,869        3,869        3,869        3,869           +0
malloc                                                            3,689        3,689        3,689        3,677           +0
<smallvec::SmallVec<A> as core::iter::traits::collect::Ext        3,677        3,677        1,673        1,673           +0
<&mut serde_json::ser::Serializer<W,F> as serde_core::ser:        3,338        3,338        3,338        3,338           +0
alloc::raw_vec::RawVecInner<A>::reserve::do_reserve_and_ha        3,133        3,133        3,133        3,133           +0
<core::hash::sip::Hasher<S> as core::hash::Hasher>::write         3,012        3,012        3,012        3,012           +0
serde_core::ser::SerializeMap::serialize_entry'2                  2,855        2,855        2,855        2,855           -0
_int_free_maybe_trim                                              2,744        2,755        2,750        2,772          -10
litchi_cfb::file::decode_utf16le                                  2,540        2,540        2,540        2,540           +0

-- WithCustomViews.xls  one-cell  (base total 828,806 Ir)
symbol                                                             base         skip      skipcur       cursor        delta
__memcpy_avx_unaligned_erms                                     221,726      221,781            0            0          -55
__memset_avx2_unaligned_erms                                    108,616      108,625            0            0           -9
<litchi_xls::records::MeasuredText as litchi_xls::records:       75,431       75,431            0            0           +0
litchi_xls::records::walk_one_shared_string                      45,281       45,281            0            0           +0
litchi_xls::workbook::source::SourceBackedWorkbook::from_s       29,002       32,425            0            0       -3,423
litchi_xls::number_format::codec::parse_number_format            23,812       23,812            0            0           +0
litchi_xls::border_fill::parse_xf_border_fill                    23,088       23,088            0            0           +0
<alloc::string::String as core::iter::traits::collect::Fro       18,271       18,271            0            0           +0
litchi_xls::number_format::codec::parse_xf                       16,216       16,216            0            0           +0
litchi_cfb::shared::next_chain_sector                            15,096       15,096            0            0           +0
litchi_xls::records::scan_shared_string_records                  14,948       14,948            0            0           +0
<litchi_biff::stream::Records as core::iter::traits::itera       14,839       14,839            0            0           +0
litchi_cfb::directory_name::directory_name_data                  14,069       14,069            0            0           +0
<alloc::vec::Vec<T> as alloc::vec::spec_from_iter_nested::       12,458       12,458            0            0           +0
litchi_xls::number_format::codec::<impl litchi_xls::number       12,020       12,028            0            0           -8
_int_malloc                                                      11,789       11,703            0            0          +86
litchi_xls::records::SstCursor::walk_formatting_runs             11,279       11,279            0            0           +0
litchi_cfb::file::SectorChainScratch::collect_exact              11,089       11,089            0            0           +0
litchi_cfb::shared::SharedOleFile::read_stream_range_hinte       10,575       10,575            0            0           +0
litchi_xls::workbook::source::GlobalsBuffer::ensure              10,108       10,108            0            0           +0
_int_free_merge_chunk                                             8,655        8,806            0            0         -151
core::hash::BuildHasher::hash_one                                 7,589        7,589            0            0           +0
litchi_xls::alignment::CellAlignment::parse                       5,824        5,824            0            0           +0
alloc::raw_vec::RawVecInner<A>::finish_grow                       5,601        5,601            0            0           +0
realloc                                                           5,462        5,462            0            0           +0
litchi_cfb::shared::SharedOleFile::find_entry                     5,100        5,100            0            0           +0
_int_realloc                                                      4,927        4,914            0            0          +12
litchi_cfb::shared::SharedOleFile::stream_cursor_at_hinted        4,488        4,488            0            0           +0
free                                                              4,475        4,483            0            0           -7
litchi_cfb::file::OleFile<R>::load_directory                      4,315        4,315            0            0           +0
litchi_cfb::file::OleFile<R>::validate_physical_sector_lay        3,890        3,890            0            0           +0
litchi_cfb::file::OleFile<R>::validate_stream_allocations         3,869        3,869            0            0           +0
<smallvec::SmallVec<A> as core::iter::traits::collect::Ext        3,844        3,844            0            0           +0
malloc                                                            3,754        3,752            0            0           +2
<&mut serde_json::ser::Serializer<W,F> as serde_core::ser:        3,374        3,374            0            0           +0
alloc::raw_vec::RawVecInner<A>::reserve::do_reserve_and_ha        3,133        3,133            0            0           +0
<core::hash::sip::Hasher<S> as core::hash::Hasher>::write         3,012        3,012            0            0           +0
serde_core::ser::SerializeMap::serialize_entry'2                  2,844        2,844            0            0           +0
_int_free_maybe_trim                                              2,779        2,826            0            0          -47
litchi_cfb::file::decode_utf16le                                  2,540        2,540            0            0           +0

-- 54016.xls  open  (base total 5,315,124 Ir)
symbol                                                             base         skip      skipcur       cursor        delta
__memcpy_avx_unaligned_erms                                   1,048,285    1,048,285    1,044,553    1,044,553           +0
<litchi_xls::records::MeasuredText as litchi_xls::records:      759,098      759,098      759,098      759,098           +0
litchi_xls::records::walk_one_shared_string                     742,217      742,217      742,217      742,217           +0
litchi_xls::workbook::source::SourceBackedWorkbook::from_s      432,586      490,227      490,054      432,585      -57,641
litchi_xls::border_fill::parse_xf_border_fill                   378,510      378,510      378,510      378,510           +0
__memset_avx2_unaligned_erms                                    309,244      309,244      309,244      309,244           +0
litchi_xls::records::scan_shared_string_records                 238,178      238,178      238,178      238,178           +0
litchi_xls::number_format::codec::parse_xf                      237,737      237,737      237,737      237,737           +0
<litchi_biff::stream::Records as core::iter::traits::itera      232,643      232,643      232,643      232,643           +0
litchi_xls::records::SstCursor::walk_formatting_runs            165,818      165,818      165,818      165,818           +0
litchi_xls::workbook::source::GlobalsBuffer::ensure             138,591      138,571      138,483      138,503          +20
litchi_xls::number_format::codec::<impl litchi_xls::number      126,210      126,185      126,195      126,185          +25
litchi_xls::alignment::CellAlignment::parse                      95,480       95,480       95,480       95,480           +0
litchi_cfb::file::SectorChainScratch::collect_exact              65,214       65,214       65,214       65,214           +0
litchi_cfb::shared::SharedOleFile::read_stream_range_hinte       29,130       29,130            0            0           +0
litchi_cfb::shared::next_chain_sector                            26,640       26,640       14,376       14,376           +0
litchi_xls::number_format::codec::parse_number_format            25,917       25,917       25,917       25,917           +0
litchi_xls::border_fill::FillPattern::from_bits                  23,870       23,870       23,870       23,870           +0
litchi_cfb::file::OleFile<R>::validate_physical_sector_lay       23,078       23,078       23,078       23,078           +0
litchi_cfb::file::OleFile<R>::validate_stream_allocations        21,457       21,457       21,457       21,457           +0
<alloc::string::String as core::iter::traits::collect::Fro       18,327       18,327       18,481       18,327           +0
_int_malloc                                                      16,293       16,293       16,293       16,293           +0

-- 54016.xls  one-cell  (base total 18,605,033 Ir)
symbol                                                             base         skip      skipcur       cursor        delta
litchi_xls::workbook::source::query_cell                      2,983,554    2,983,554            0            0           +0
litchi_xls::workbook::source::WorksheetScan::next_frame       2,844,765    2,844,765            0            0           +0
__memcpy_avx_unaligned_erms                                   1,771,045    1,771,045            0            0           +0
<litchi_xls::workbook::source::TargetCell as litchi_xls::w    1,675,037    1,675,037            0            0           +0
litchi_xls::workbook::source::WorksheetScan::read_payload     1,488,528    1,488,528            0            0           +0
__memset_avx2_unaligned_erms                                    921,962      921,962            0            0           +0
litchi_xls::records::CellRecord::parse                          893,405      893,405            0            0           +0
litchi_xls::number_format::codec::<impl litchi_xls::number      856,900      856,900            0            0           +0
<litchi_xls::records::MeasuredText as litchi_xls::records:      759,098      759,098            0            0           +0
litchi_xls::records::walk_one_shared_string                     742,217      742,217            0            0           +0
core::ptr::drop_in_place<litchi_xls::records::CellRecord>       662,150      662,150            0            0           +0
litchi_xls::workbook::source::SourceBackedWorkbook::from_s      432,586      490,227            0            0      -57,641
litchi_xls::border_fill::parse_xf_border_fill                   378,510      378,510            0            0           +0
litchi_xls::records::scan_shared_string_records                 238,178      238,178            0            0           +0
litchi_xls::number_format::codec::parse_xf                      237,737      237,737            0            0           +0
<litchi_biff::stream::Records as core::iter::traits::itera      232,643      232,643            0            0           +0
litchi_xls::workbook::source::WorksheetScan::skip_payload       183,852      183,852            0            0           +0
litchi_xls::records::SstCursor::walk_formatting_runs            165,818      165,818            0            0           +0
litchi_xls::workbook::source::GlobalsBuffer::ensure             138,591      138,571            0            0          +20
litchi_xls::records::CellRecord::packed_cell_range              126,454      126,454            0            0           +0
litchi_xls::number_format::codec::<impl litchi_xls::number      126,204      126,198            0            0           +5
litchi_xls::alignment::CellAlignment::parse                      95,480       95,480            0            0           +0
litchi_cfb::shared::next_chain_sector                            70,080       70,080            0            0           +0
litchi_cfb::shared::SharedOleStreamCursor::read_exact            66,520       66,520            0            0           +0
litchi_cfb::file::SectorChainScratch::collect_exact              65,214       65,214            0            0           +0

==============================================================================
4. Native perf stat, isolation pairs, median of repetitions [perf]
==============================================================================
fixture                            op        leg          cycles   instructions    IPC  reps
54016.xls                          open      aa          871,476      4,034,458   4.63     5
WithCustomViews.xls                open      aa          129,802        513,038   3.95     5
ConditionalFormattingSamples.xls   open      aa          345,908      1,179,774   3.41     5
54016.xls                          open      base        875,353      4,033,613   4.61     5
WithCustomViews.xls                open      base        129,806        512,938   3.95     5
ConditionalFormattingSamples.xls   open      base        348,468      1,179,292   3.38     5
54016.xls                          open      bb          876,771      4,033,631   4.60     5
WithCustomViews.xls                open      bb          129,361        513,728   3.97     5
ConditionalFormattingSamples.xls   open      bb          342,610      1,179,804   3.44     5
54016.xls                          open      cursor      901,029      4,056,546   4.50     5
WithCustomViews.xls                open      cursor      134,613        513,538   3.81     5
ConditionalFormattingSamples.xls   open      cursor      386,455      1,226,769   3.17     5
54016.xls                          open      skip        886,157      4,091,292   4.62     5
WithCustomViews.xls                open      skip        127,982        516,798   4.04     5
ConditionalFormattingSamples.xls   open      skip        367,770      1,284,707   3.49     5
54016.xls                          open      skipcur      906,683      4,114,089   4.54     5
WithCustomViews.xls                open      skipcur      133,234        517,078   3.88     5
ConditionalFormattingSamples.xls   open      skipcur      403,425      1,299,062   3.22     5

Pairs (positive = the first leg costs more):
fixture                            op        comparison            cycles    share            Ir    share
ConditionalFormattingSamples.xls   open      base-skip            -19,302   -5.54%      -105,415   -8.94%
ConditionalFormattingSamples.xls   open      base-skipcur         -54,957  -15.77%      -119,771  -10.16%
ConditionalFormattingSamples.xls   open      base-cursor          -37,987  -10.90%       -47,477   -4.03%
ConditionalFormattingSamples.xls   open      aa-bb                  3,298    0.95%           -31   -0.00%
ConditionalFormattingSamples.xls   open      base-aa                2,560    0.73%          -482   -0.04%
ConditionalFormattingSamples.xls   open      bb-base               -5,858   -1.71%           512    0.04%
WithCustomViews.xls                open      base-skip              1,824    1.41%        -3,860   -0.75%
WithCustomViews.xls                open      base-skipcur          -3,428   -2.64%        -4,140   -0.81%
WithCustomViews.xls                open      base-cursor           -4,806   -3.70%          -600   -0.12%
WithCustomViews.xls                open      aa-bb                    440    0.34%          -690   -0.13%
WithCustomViews.xls                open      base-aa                    4    0.00%          -100   -0.02%
WithCustomViews.xls                open      bb-base                 -445   -0.34%           790    0.15%
54016.xls                          open      base-skip            -10,803   -1.23%       -57,679   -1.43%
54016.xls                          open      base-skipcur         -31,329   -3.58%       -80,476   -2.00%
54016.xls                          open      base-cursor          -25,675   -2.93%       -22,933   -0.57%
54016.xls                          open      aa-bb                 -5,295   -0.61%           827    0.02%
54016.xls                          open      base-aa                3,878    0.44%          -845   -0.02%
54016.xls                          open      bb-base                1,417    0.16%            18    0.00%

==============================================================================
4. Native perf stat, isolation pairs, median of repetitions [perf-file]
==============================================================================
fixture                            op        leg          cycles   instructions    IPC  reps
54016.xls                          open      base        948,237      4,172,770   4.40     5
WithCustomViews.xls                open      base        171,631        594,084   3.46     5
ConditionalFormattingSamples.xls   open      base        438,220      1,360,230   3.10     5
54016.xls                          open      cursor      967,366      4,195,747   4.34     5
WithCustomViews.xls                open      cursor      173,077        594,801   3.44     5
ConditionalFormattingSamples.xls   open      cursor      479,271      1,407,309   2.94     5
54016.xls                          open      skip        961,462      4,230,349   4.40     5
WithCustomViews.xls                open      skip        173,637        597,925   3.44     5
ConditionalFormattingSamples.xls   open      skip        513,667      1,582,668   3.08     5
54016.xls                          open      skipcur      979,092      4,253,198   4.34     5
WithCustomViews.xls                open      skipcur      172,650        598,256   3.47     5
ConditionalFormattingSamples.xls   open      skipcur      541,401      1,594,916   2.95     5

Pairs (positive = the first leg costs more):
fixture                            op        comparison            cycles    share            Ir    share
ConditionalFormattingSamples.xls   open      base-skip            -75,447  -17.22%      -222,438  -16.35%
ConditionalFormattingSamples.xls   open      base-skipcur        -103,181  -23.55%      -234,686  -17.25%
ConditionalFormattingSamples.xls   open      base-cursor          -41,051   -9.37%       -47,078   -3.46%
WithCustomViews.xls                open      base-skip             -2,006   -1.17%        -3,841   -0.65%
WithCustomViews.xls                open      base-skipcur          -1,019   -0.59%        -4,172   -0.70%
WithCustomViews.xls                open      base-cursor           -1,446   -0.84%          -717   -0.12%
54016.xls                          open      base-skip            -13,225   -1.39%       -57,579   -1.38%
54016.xls                          open      base-skipcur         -30,855   -3.25%       -80,428   -1.93%
54016.xls                          open      base-cursor          -19,129   -2.02%       -22,977   -0.55%


==============================================================================
1. Corpus composition: what a source-backed open reads and what it uses
==============================================================================
  fixtures scanned                     126
  modelled                             123
  refused (encrypted/no BOF)             3

  globals bytes framed           3,969,111   100.00%
  four-byte record headers         103,880     2.62%
  consumed record payloads         876,542    22.08%
  touched closure                  980,422    24.70%
  payloads never interpreted     2,988,689    75.30%

  fixtures consuming over half their globals    101 / 123
  fixtures with a skipped payload >= 1 KiB       25 / 123
  fixtures with a skipped payload >= 4 KiB       13 / 123
  fixtures with a skipped payload >= 8 KiB       12 / 123

==============================================================================
2. Concentration: where the skippable bytes live
==============================================================================
  90% of all skippable bytes live in 13 of 123 fixtures

  fixture                                               skippable   globals   share
  test-data/poi/test-data/spreadsheet/59858.xls            724658    772760   93.8%
  t-data/ole/xls/ConditionalFormattingSamples copy.xls     530960    551377   96.3%
  test-data/ole/xls/ConditionalFormattingSamples.xls       530960    551377   96.3%
  st-data/spreadsheet/ConditionalFormattingSamples.xls     530960    551377   96.3%
  test-data/ole/xls/SimpleWithImages-mac copy.xls           84278     85452   98.6%
  test-data/ole/xls/SimpleWithImages-mac.xls                84278     85452   98.6%
  test-data/poi/test-data/spreadsheet/50939.xls             68367     74548   91.7%
  test-data/ole/xls/SimpleWithImages copy.xls               35420     36566   96.9%
  test-data/ole/xls/SimpleWithImages.xls                    35420     36566   96.9%
  test-data/poi/test-data/spreadsheet/54016.xls             33075    306931   10.8%
  test-data/ole/xls/WithEmbeddedObjects.xls                 13987     21122   66.2%
  test-data/poi/test-data/spreadsheet/15228.xls             10244     28184   36.3%

==============================================================================
3. Today's schedule, replayed from the source
==============================================================================
  fixture                                               fills      bytes records
  test-data/poi/test-data/spreadsheet/59858.xls            23     772760    1166
  t-data/ole/xls/ConditionalFormattingSamples copy.xls     20     551377     621
  test-data/ole/xls/ConditionalFormattingSamples.xls       20     551377     621
  st-data/spreadsheet/ConditionalFormattingSamples.xls     20     551377     621
  test-data/poi/test-data/spreadsheet/54016.xls            16     306931    3421
  test-data/ole/xls/WithCustomViews.xls                    13     107170     218
  test-data/ole/xls/SimpleWithImages-mac copy.xls          13      85452      83
  test-data/ole/xls/SimpleWithImages-mac.xls               13      85452      83
  test-data/poi/test-data/spreadsheet/50939.xls            13      74548     322
  test-data/ole/xls/SimpleWithImages copy.xls              11      36566      76

  corpus total: 1,141 fills, 4,057,480 bytes

==============================================================================
4. Candidate schedules: the read-for-bytes trade, corpus totals
==============================================================================
  gate         reads   delta        bytes    saved%    seeks  fx.seek      net ns
  ungated      39533  +38392       980422     75.8%    11909      123    +4293008
  mean1k        1139      -2      3933729      3.0%       69       19       -6685
  g1k           1412    +271      1661684     59.0%      322       19      -93501
  g2k           1412    +271      1661684     59.0%      322       19      -93501
  g4k           1412    +271      1671990     58.8%      314       13      -92964
  g8k           1412    +271      1713122     57.8%      307       12      -90819

  gate definitions:
    ungated   skip_min=0      dense_mean=-1                   reset_target_on_skip=True
    mean1k    skip_min=1024   dense_mean=1024                 reset_target_on_skip=False
    g1k       skip_min=1024   dense_mean=off                  reset_target_on_skip=True
    g2k       skip_min=2048   dense_mean=off                  reset_target_on_skip=True
    g4k       skip_min=4096   dense_mean=off                  reset_target_on_skip=True
    g8k       skip_min=8192   dense_mean=off                  reset_target_on_skip=True

  net ns = delta_reads x 116 ns + delta_bytes / 1024 x 53.4 ns, a FILE source.
  Negative is faster. An owned in-memory source pays no per-read syscall,
  so its trade is strictly better; a range source pays far more.

==============================================================================
5. Every fixture the recommended gate (g1k) touches
==============================================================================
  fixture                                         r.now  r.new      b.now      b.new     net ns
  test-data/poi/test-data/spreadsheet/59858.xls      23    101     772760     124924     -24736
  /ole/xls/ConditionalFormattingSamples copy.xls     20     76     551377      69043     -18657
  -data/ole/xls/ConditionalFormattingSamples.xls     20     76     551377      69043     -18657
  a/spreadsheet/ConditionalFormattingSamples.xls     20     76     551377      69043     -18657
  est-data/ole/xls/SimpleWithImages-mac copy.xls     13     20      85452       9772      -3135
  test-data/ole/xls/SimpleWithImages-mac.xls         13     20      85452       9772      -3135
  test-data/poi/test-data/spreadsheet/50939.xls      13     18      74548      19543      -2288
  test-data/ole/xls/SimpleWithImages copy.xls        11     12      36566       3671      -1599
  test-data/ole/xls/SimpleWithImages.xls             11     12      36566       3671      -1599
