file	bytes	snapshot	facade	word_len	table_len	data_len	text_units	paragraphs	clx_len	pieces	chpx_pages	papx_pages
test-data/poi/test-data/document/au.edu.utas.www___data_assets_word_doc_0003_154335_International-Travel-Approval-Request-Form.doc	86528	ERR Refused(Macro)	OK	41016	13779	13897	7443	244	165	13	16	35
test-data/poi/test-data/document/ca.kwsymphony.www_education_School_Concert_Seat_Booking_Form_2011-12.doc	1619457	ERR Refused(Field)	OK	697827	893499	4096	1522	148	21	1	11	23
test-data/poi/test-data/document/password_password_cryptoapi.doc	27136	ERR Refused(Encrypted)	ERR PasswordRequired	4096	7341	4096	0	0	0	0	0	0
test-data/poi/test-data/document/password_tika_binaryrc4.doc	22016	ERR Refused(Encrypted)	ERR PasswordRequired	4096	6409	0	0	0	0	0	0	0
test-data/poi/test-data/document/saved-by-table.doc	65024	ERR Refused(Drawing)	OK	39996	12848	0	27250	443	21	1	4	17
test-data/poi/test-data/document/test.doc	32768	ERR Refused(Drawing)	ERR Corrupted("grffldEnd.fHasSep disagrees with the FieldList")	4096	4096	512	0	0	0	0	0	0
test-data/poi/test-data/document/word_with_embeded.doc	117248	ERR Refused(Drawing)	OK	4096	6533	5174	152	5	21	1	1	1
test-data/poi/test-data/hpsf/TestBug52117.doc	7168	ERR Refused(AmbiguousTopology)	ERR UnsupportedVersion { nfib: 101, name: "Word 6.0" }	3169	0	0	0	0	0	0	0	0
test-data/poi/test-data/hpsf/TestGermanWord90.doc	19456	ERR Refused(Drawing)	OK	4096	4096	0	114	3	21	1	1	1
test-data/poi/test-data/hpsf/TestMickey.doc	12288	ERR Refused(AmbiguousTopology)	ERR UnsupportedVersion { nfib: 104, name: "Word 95 (7.0)" }	4096	0	0	0	0	0	0	0	0
test-data/poi/test-data/hpsf/TestNon4ByteBoundary.doc	11776	ERR Refused(Revision)	OK	3631	3629	0	174	14	21	1	1	1
