fixtures=62
libreoffice-core/oox/qa/unit/data/chart-data-label-char-color.docx	eager[text:cbf29ce484222325:0|sink[default]:cbf29ce484222325:0:0:ok(0,1)|sink[tight-bytes]:cbf29ce484222325:0:0:ok(0,1)|sink[one-object]:cbf29ce484222325:0:0:ok(0,1)|sink[no-empty]:cbf29ce484222325:0:0:ok(0,0)|sink[failing]:cbf29ce484222325:0:0:ok(0,1)|count:1|paragraphs:af63bc4c8601b62c:1|selected:5fa12715c361302f:1|tables:0|elements:2|blocks:2]	source[text:cbf29ce484222325:0|sink[default]:cbf29ce484222325:0:0:ok(0,1)|sink[tight-bytes]:cbf29ce484222325:0:0:ok(0,1)|sink[one-object]:cbf29ce484222325:0:0:ok(0,1)|sink[no-empty]:cbf29ce484222325:0:0:ok(0,0)|sink[failing]:cbf29ce484222325:0:0:ok(0,1)|count:1|paragraphs:af63bc4c8601b62c:1|selected:5fa12715c361302f:1|paragraph_text:5fa12715c361302f|tables:0|elements:2|blocks:2]
libreoffice-core/sw/qa/core/objectpositioning/data/do-not-capture-draw-objs-on-page-draw-wrap-none.docx	eager[text:a474aa614dac44ec:2268|sink[default]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[tight-bytes]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[one-object]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[no-empty]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[failing]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|count:31|paragraphs:cea121045d5b0971:31|selected:74f1c4fb8e8712dc:31|tables:0|elements:32|blocks:32]	source[text:a474aa614dac44ec:2268|sink[default]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[tight-bytes]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[one-object]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[no-empty]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[failing]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|count:31|paragraphs:cea121045d5b0971:31|selected:74f1c4fb8e8712dc:31|paragraph_text:74f1c4fb8e8712dc|tables:0|elements:32|blocks:32]
libreoffice-core/sw/qa/extras/ooxmlexport/data/NumberedList.docx	eager[text:2e3b823058848f29:71|sink[default]:678b780ce0f180f9:82:18:ok(82,12)|sink[tight-bytes]:2436ed9bba66e547:35:11:err(Limit { limit: TextOutputLimit { kind: OutputBytes, observed: 77, limit: 64 }, progress: TextOutputReport { bytes_written: 35, objects_written: 8 } })|sink[one-object]:cbf29ce484222325:0:0:err(Limit { limit: TextOutputLimit { kind: Objects, observed: 2, limit: 1 }, progress: TextOutputReport { bytes_written: 0, objects_written: 1 } })|sink[no-empty]:487f82288cf2d389:77:13:ok(77,7)|sink[failing]:08547e07b5084555:2:3:err(Sink { source: Custom { kind: Other, error: "corpus0643 sink refusal" }, progress: TextOutputReport { bytes_written: 2, objects_written: 3 } })|count:12|paragraphs:02ddba7438be9aff:12|selected:1e94e5df8db960d6:12|tables:1|elements:6|blocks:6]	source[text:2e3b823058848f29:71|sink[default]:678b780ce0f180f9:82:18:ok(82,12)|sink[tight-bytes]:2436ed9bba66e547:35:11:err(Limit { limit: TextOutputLimit { kind: OutputBytes, observed: 77, limit: 64 }, progress: TextOutputReport { bytes_written: 35, objects_written: 8 } })|sink[one-object]:cbf29ce484222325:0:0:err(Limit { limit: TextOutputLimit { kind: Objects, observed: 2, limit: 1 }, progress: TextOutputReport { bytes_written: 0, objects_written: 1 } })|sink[no-empty]:487f82288cf2d389:77:13:ok(77,7)|sink[failing]:08547e07b5084555:2:3:err(Sink { source: Custom { kind: Other, error: "corpus0643 sink refusal" }, progress: TextOutputReport { bytes_written: 2, objects_written: 3 } })|count:12|paragraphs:02ddba7438be9aff:12|selected:1e94e5df8db960d6:12|paragraph_text:1e94e5df8db960d6|tables:1|elements:6|blocks:6]
libreoffice-core/sw/qa/extras/ooxmlexport/data/decimal-numbering-no-leveltext.docx	eager[text:a430d84680aabd0b:5|sink[default]:a430d84680aabd0b:5:1:ok(5,1)|sink[tight-bytes]:a430d84680aabd0b:5:1:ok(5,1)|sink[one-object]:a430d84680aabd0b:5:1:ok(5,1)|sink[no-empty]:a430d84680aabd0b:5:1:ok(5,1)|sink[failing]:a430d84680aabd0b:5:1:ok(5,1)|count:1|paragraphs:a9bc89cca21f37fe:1|selected:01488558ff795e75:1|tables:0|elements:2|blocks:2]	source[text:a430d84680aabd0b:5|sink[default]:a430d84680aabd0b:5:1:ok(5,1)|sink[tight-bytes]:a430d84680aabd0b:5:1:ok(5,1)|sink[one-object]:a430d84680aabd0b:5:1:ok(5,1)|sink[no-empty]:a430d84680aabd0b:5:1:ok(5,1)|sink[failing]:a430d84680aabd0b:5:1:ok(5,1)|count:1|paragraphs:a9bc89cca21f37fe:1|selected:01488558ff795e75:1|paragraph_text:01488558ff795e75|tables:0|elements:2|blocks:2]
libreoffice-core/sw/qa/extras/ooxmlexport/data/listWithLgl.docx	eager[text:57f3f48533bbc168:6|sink[default]:2bb8d85d235bc5e0:9:5:ok(9,4)|sink[tight-bytes]:2bb8d85d235bc5e0:9:5:ok(9,4)|sink[one-object]:cbf29ce484222325:0:0:err(Limit { limit: TextOutputLimit { kind: Objects, observed: 2, limit: 1 }, progress: TextOutputReport { bytes_written: 0, objects_written: 1 } })|sink[no-empty]:1dcd980efc3478be:7:3:ok(7,2)|sink[failing]:502441d1b727e45f:4:3:err(Sink { source: Custom { kind: Other, error: "corpus0643 sink refusal" }, progress: TextOutputReport { bytes_written: 4, objects_written: 2 } })|count:4|paragraphs:d4cfe02be345ab4e:4|selected:9fe1f1f3d9fa99e5:4|tables:0|elements:5|blocks:5]	source[text:57f3f48533bbc168:6|sink[default]:2bb8d85d235bc5e0:9:5:ok(9,4)|sink[tight-bytes]:2bb8d85d235bc5e0:9:5:ok(9,4)|sink[one-object]:cbf29ce484222325:0:0:err(Limit { limit: TextOutputLimit { kind: Objects, observed: 2, limit: 1 }, progress: TextOutputReport { bytes_written: 0, objects_written: 1 } })|sink[no-empty]:1dcd980efc3478be:7:3:ok(7,2)|sink[failing]:502441d1b727e45f:4:3:err(Sink { source: Custom { kind: Other, error: "corpus0643 sink refusal" }, progress: TextOutputReport { bytes_written: 4, objects_written: 2 } })|count:4|paragraphs:d4cfe02be345ab4e:4|selected:9fe1f1f3d9fa99e5:4|paragraph_text:9fe1f1f3d9fa99e5|tables:0|elements:5|blocks:5]
libreoffice-core/sw/qa/extras/ooxmlexport/data/lvlPicBulletId.docx	eager[text:3ab5684b61e06f1b:327|sink[default]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[tight-bytes]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[one-object]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[no-empty]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[failing]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|count:16|paragraphs:b3b4e5c0c49c4dab:16|selected:fc43130647960aaa:16|tables:1|elements:3|blocks:3]	source[text:3ab5684b61e06f1b:327|sink[default]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[tight-bytes]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[one-object]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[no-empty]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|sink[failing]:cbf29ce484222325:0:0:err(Document { source: InvalidFormat("semantic DOCX XML exceeds 4096 namespace bindings"), progress: TextOutputReport { bytes_written: 0, objects_written: 0 } })|count:16|paragraphs:b3b4e5c0c49c4dab:16|selected:fc43130647960aaa:16|paragraph_text:fc43130647960aaa|tables:1|elements:3|blocks:3]
libreoffice-core/sw/qa/extras/ooxmlexport/data/mailmerge.docx	eager[text:49e280194cd9d7d4:12|sink[default]:49e280194cd9d7d4:12:1:ok(12,1)|sink[tight-bytes]:49e280194cd9d7d4:12:1:ok(12,1)|sink[one-object]:49e280194cd9d7d4:12:1:ok(12,1)|sink[no-empty]:49e280194cd9d7d4:12:1:ok(12,1)|sink[failing]:49e280194cd9d7d4:12:1:ok(12,1)|count:1|paragraphs:65b77ffd9629beef:1|selected:1a5bd2c6a764caa6:1|tables:0|elements:2|blocks:2]	source[text:49e280194cd9d7d4:12|sink[default]:49e280194cd9d7d4:12:1:ok(12,1)|sink[tight-bytes]:49e280194cd9d7d4:12:1:ok(12,1)|sink[one-object]:49e280194cd9d7d4:12:1:ok(12,1)|sink[no-empty]:49e280194cd9d7d4:12:1:ok(12,1)|sink[failing]:49e280194cd9d7d4:12:1:ok(12,1)|count:1|paragraphs:65b77ffd9629beef:1|selected:1a5bd2c6a764caa6:1|paragraph_text:1a5bd2c6a764caa6|tables:0|elements:2|blocks:2]
libreoffice-core/sw/qa/extras/ooxmlexport/data/strict.docx	eager[text:d9252f7f374eb116:65|sink[default]:6ed3c35a15579eca:68:7:err(Document { source: InvalidFormat("foreign semantic DOCX text element is not w:t"), progress: TextOutputReport { bytes_written: 68, objects_written: 4 } })|sink[tight-bytes]:c54da1018031093c:54:5:err(Limit { limit: TextOutputLimit { kind: OutputBytes, observed: 68, limit: 64 }, progress: TextOutputReport { bytes_written: 54, objects_written: 3 } })|sink[one-object]:9e527e14572072d2:12:1:err(Limit { limit: TextOutputLimit { kind: Objects, observed: 2, limit: 1 }, progress: TextOutputReport { bytes_written: 12, objects_written: 1 } })|sink[no-empty]:ff68658bbddd91a4:68:7:err(Document { source: InvalidFormat("foreign semantic DOCX text element is not w:t"), progress: TextOutputReport { bytes_written: 68, objects_written: 4 } })|sink[failing]:269f14900c232508:13:3:err(Sink { source: Custom { kind: Other, error: "corpus0643 sink refusal" }, progress: TextOutputReport { bytes_written: 13, objects_written: 1 } })|count:5|paragraphs:3d6dbfbceb51cffd:5|selected:a70ad366dd7efb60:5|tables:0|elements:6|blocks:6]	source[text:d9252f7f374eb116:65|sink[default]:6ed3c35a15579eca:68:7:err(Document { source: InvalidFormat("foreign semantic DOCX text element is not w:t"), progress: TextOutputReport { bytes_written: 68, objects_written: 4 } })|sink[tight-bytes]:c54da1018031093c:54:5:err(Limit { limit: TextOutputLimit { kind: OutputBytes, observed: 68, limit: 64 }, progress: TextOutputReport { bytes_written: 54, objects_written: 3 } })|sink[one-object]:9e527e14572072d2:12:1:err(Limit { limit: TextOutputLimit { kind: Objects, observed: 2, limit: 1 }, progress: TextOutputReport { bytes_written: 12, objects_written: 1 } })|sink[no-empty]:ff68658bbddd91a4:68:7:err(Document { source: InvalidFormat("foreign semantic DOCX text element is not w:t"), progress: TextOutputReport { bytes_written: 68, objects_written: 4 } })|sink[failing]:269f14900c232508:13:3:err(Sink { source: Custom { kind: Other, error: "corpus0643 sink refusal" }, progress: TextOutputReport { bytes_written: 13, objects_written: 1 } })|count:5|paragraphs:3d6dbfbceb51cffd:5|selected:a70ad366dd7efb60:5|paragraph_text:a70ad366dd7efb60|tables:0|elements:6|blocks:6]
libreoffice-core/sw/qa/extras/ooxmlexport/data/tdf124384.docx	eager[text:70d26b2720d16e44:283|sink[default]:a73b873232d1a084:290:8:ok(290,8)|sink[tight-bytes]:08547e07b5084555:2:2:err(Limit { limit: TextOutputLimit { kind: OutputBytes, observed: 286, limit: 64 }, progress: TextOutputReport { bytes_written: 2, objects_written: 3 } })|sink[one-object]:cbf29ce484222325:0:0:err(Limit { limit: TextOutputLimit { kind: Objects, observed: 2, limit: 1 }, progress: TextOutputReport { bytes_written: 0, objects_written: 1 } })|sink[no-empty]:70d26b2720d16e44:283:1:ok(283,1)|sink[failing]:08547e07b5084555:2:3:err(Sink { source: Custom { kind: Other, error: "corpus0643 sink refusal" }, progress: TextOutputReport { bytes_written: 2, objects_written: 3 } })|count:8|paragraphs:c31188fcac963fac:8|selected:edbf2c5b71bdd0af:8|tables:0|elements:6|blocks:6]	source[text:70d26b2720d16e44:283|sink[default]:a73b873232d1a084:290:8:ok(290,8)|sink[tight-bytes]:08547e07b5084555:2:2:err(Limit { limit: TextOutputLimit { kind: OutputBytes, observed: 286, limit: 64 }, progress: TextOutputReport { bytes_written: 2, objects_written: 3 } })|sink[one-object]:cbf29ce484222325:0:0:err(Limit { limit: TextOutputLimit { kind: Objects, observed: 2, limit: 1 }, progress: TextOutputReport { bytes_written: 0, objects_written: 1 } })|sink[no-empty]:70d26b2720d16e44:283:1:ok(283,1)|sink[failing]:08547e07b5084555:2:3:err(Sink { source: Custom { kind: Other, error: "corpus0643 sink refusal" }, progress: TextOutputReport { bytes_written: 2, objects_written: 3 } })|count:8|paragraphs:c31188fcac963fac:8|selected:edbf2c5b71bdd0af:8|paragraph_text:edbf2c5b71bdd0af|tables:0|elements:6|blocks:6]
libreoffice-core/sw/qa/extras/ooxmlexport/data/testGlossary.docx	eager[text:dc7dcdeaa64f4a9f:56|sink[default]:0cdd6d5f55d0b309:58:4:ok(58,3)|sink[tight-bytes]:0cdd6d5f55d0b309:58:4:ok(58,3)|sink[one-object]:71423bf5047dc81c:11:1:err(Limit { limit: TextOutputLimit { kind: Objects, observed: 2, limit: 1 }, progress: TextOutputReport { bytes_written: 11, objects_written: 1 } })|sink[no-empty]:8545510e8bd9d67b:57:3:ok(57,2)|sink[failing]:f153f756a1bafd62:12:3:err(Sink { source: Custom { kind: Other, error: "corpus0643 sink refusal" }, progress: TextOutputReport { bytes_written: 12, objects_written: 1 } })|count:3|paragraphs:c75ad49af4fa0c04:3|selected:98d8398d52f24a87:3|tables:0|elements:3|blocks:3]	source[text:dc7dcdeaa64f4a9f:56|sink[default]:0cdd6d5f55d0b309:58:4:ok(58,3)|sink[tight-bytes]:0cdd6d5f55d0b309:58:4:ok(58,3)|sink[one-object]:71423bf5047dc81c:11:1:err(Limit { limit: TextOutputLimit { kind: Objects, observed: 2, limit: 1 }, progress: TextOutputReport { bytes_written: 11, objects_written: 1 } })|sink[no-empty]:8545510e8bd9d67b:57:3:ok(57,2)|sink[failing]:f153f756a1bafd62:12:3:err(Sink { source: Custom { kind: Other, error: "corpus0643 sink refusal" }, progress: TextOutputReport { bytes_written: 12, objects_written: 1 } })|count:3|paragraphs:c75ad49af4fa0c04:3|selected:98d8398d52f24a87:3|paragraph_text:98d8398d52f24a87|tables:0|elements:3|blocks:3]
libreoffice-core/sw/qa/extras/ooxmlimport/data/numbering-circle.docx	eager[text:89d7ed7f996f1d41:5|sink[default]:89d7ed7f996f1d41:5:1:ok(5,1)|sink[tight-bytes]:89d7ed7f996f1d41:5:1:ok(5,1)|sink[one-object]:89d7ed7f996f1d41:5:1:ok(5,1)|sink[no-empty]:89d7ed7f996f1d41:5:1:ok(5,1)|sink[failing]:89d7ed7f996f1d41:5:1:ok(5,1)|count:1|paragraphs:a905cfd1b7ceb3c0:1|selected:a5f9d730bd18a72b:1|tables:0|elements:2|blocks:2]	source[text:89d7ed7f996f1d41:5|sink[default]:89d7ed7f996f1d41:5:1:ok(5,1)|sink[tight-bytes]:89d7ed7f996f1d41:5:1:ok(5,1)|sink[one-object]:89d7ed7f996f1d41:5:1:ok(5,1)|sink[no-empty]:89d7ed7f996f1d41:5:1:ok(5,1)|sink[failing]:89d7ed7f996f1d41:5:1:ok(5,1)|count:1|paragraphs:a905cfd1b7ceb3c0:1|selected:a5f9d730bd18a72b:1|paragraph_text:a5f9d730bd18a72b|tables:0|elements:2|blocks:2]
