profile	leg	implementation	revision	parts	shape	sample_count	min_ns	p50_ns	mean_ns	p95_ns	p99_ns	max_ns	standard_deviation_ns	ci95_lower_ns	ci95_upper_ns	sample_vector_sha256	archive_sha256	owned_payload_sha256	owned_exact_source_sha256	output_sha256
normal	B2	candidate	f20d3f417edc3f3da07bf515676b8e71285ad76f	16384	parts_16384	30	45859145	47016854	47512731.20000002	49164939	50339485	50339485	1178042.1891337237	47072892.40866893	47952569.99133111	475f562c60a2f03cb2da37309d61fa86e9da0555e6bf0992d576dd1fc61ad028	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	b613ccd8ee7ff1e9b7aebdb4319ced1abf72c721b7aaf18044a14a82470aeeb8	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd
normal	A2	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	256	parts_256	30	615163	627703	628148.0999999999	641983	657933	657933	8346.019754845833	625031.9949273147	631264.205072685	2bd68ea72e2bc5910349f9532a89ea05b986741939536a85a76e95a74da822f0	fd32addf3bc8e02da4e0c848844a194fc16e7fc14c3296b0f07fab7c7a6b5324	4d29aa5866bfbd4bfbf1856078b7bb1e47364cd4b7c295847cc10fbaa4d6f357	fd32addf3bc8e02da4e0c848844a194fc16e7fc14c3296b0f07fab7c7a6b5324	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9
normal	A2	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	2047	parts_2047	30	5085843	5123542	5119932.833333333	5143403	5145623	5145623	17412.360774170775	5113431.681008081	5126433.985658585	8bd12f3e2b3f0f464413ec3ba8cf17ed73bbd04f3633532447314f4a81850be7	3e8bdc575465ff95a1fa851d85e45b098629030ffb6960cc135eb5599317622a	e627ffd5e402a6e2217aeedb5def6fbc319264a0925d4d25cba29912dbb7b264	3e8bdc575465ff95a1fa851d85e45b098629030ffb6960cc135eb5599317622a	f96278805e54bdf67f62efc0d9b09782988ca60007c602153f2b0498c217016f
normal	A2	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	2048	parts_2048	30	5055872	5099093	5097318.433333333	5130223	5172584	5172584	24547.70477603326	5088153.198931513	5106483.667735152	253e6b7a5e5b59022181088b3f94e5818fc10206a0b2853561f07edfbced5061	e028fb55caffc98e6795f5c605cc142feeb410c60a7b2d97d43f693642d0b9d9	fb513dea41b071a231935465dfcec61d6c1fe3c9b9510d15b04e8ca267d65761	e028fb55caffc98e6795f5c605cc142feeb410c60a7b2d97d43f693642d0b9d9	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298
normal	A2	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	16384	parts_16384	30	48315275	49154189	49413111.999999985	50947137	51273368	51273368	888946.7349062164	49081211.10456059	49745012.89543938	7431ab49acc10f5447ba2a48e4968cd61fc5fbe7ab6340b6568018c922ed14d5	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	b613ccd8ee7ff1e9b7aebdb4319ced1abf72c721b7aaf18044a14a82470aeeb8	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd
allocator	A1	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	256	parts_256	30	851704	854509	855474.1666666667	859434	876284	876284	4453.566351490286	853811.3643840144	857136.9689493191	bcec05f6de1dad44f3367f56cae2e5a37f1106052276cb977a3faa073c7de5de	fd32addf3bc8e02da4e0c848844a194fc16e7fc14c3296b0f07fab7c7a6b5324	4d29aa5866bfbd4bfbf1856078b7bb1e47364cd4b7c295847cc10fbaa4d6f357	fd32addf3bc8e02da4e0c848844a194fc16e7fc14c3296b0f07fab7c7a6b5324	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9
allocator	A1	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	2047	parts_2047	30	6818961	6852130	6850868.900000001	6874270	6881631	6881631	14144.151564247313	6845587.980024634	6856149.819975369	3742bffc23ccb33b93a0af573bf143e39e830d284617e91aa478925aefdba5ea	3e8bdc575465ff95a1fa851d85e45b098629030ffb6960cc135eb5599317622a	e627ffd5e402a6e2217aeedb5def6fbc319264a0925d4d25cba29912dbb7b264	3e8bdc575465ff95a1fa851d85e45b098629030ffb6960cc135eb5599317622a	f96278805e54bdf67f62efc0d9b09782988ca60007c602153f2b0498c217016f
allocator	A1	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	2048	parts_2048	30	6814870	6851265	6852767.433333332	6885140	6922131	6922131	19895.210925529038	6845339.273622688	6860195.5930439755	f276a242dc3c76c3cbf8d87ebb3402dd415a30d64b74b356aa611e94aa2ce5f5	e028fb55caffc98e6795f5c605cc142feeb410c60a7b2d97d43f693642d0b9d9	fb513dea41b071a231935465dfcec61d6c1fe3c9b9510d15b04e8ca267d65761	e028fb55caffc98e6795f5c605cc142feeb410c60a7b2d97d43f693642d0b9d9	3449d32aa6d80e9cc12fbb1da1e6f5855177af1524250efda687b1ee99391298
allocator	A1	control	6e98db9ece29c1e50241cf3e84c9410ce71dd748	16384	parts_16384	30	63270822	64552043	65056710.233333334	66330866	74243811	74243811	1930428.017195037	64335957.50166834	65777462.96499833	3929ae8220d4a4907bfd383b592563ee9f9ad1843da03c0554a2fcb07f1c6117	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	b613ccd8ee7ff1e9b7aebdb4319ced1abf72c721b7aaf18044a14a82470aeeb8	30fbae2b555faacbb1c5a4fd0308d4874a4c4d74ad506f3aaf884fe1ae03c40f	86fd877006855b5dd7ee889c0f6ec00c20645ec243d628ae77080d7a416e8cdd
allocator	B1	candidate	f20d3f417edc3f3da07bf515676b8e71285ad76f	256	parts_256	30	790993	798428	798650.8333333335	805013	818704	818704	4670.875994657845	796906.8954074275	800394.7712592395	f32fb98001e2c25ff02da346e5275a02f6574bc5e4a94fea487d6c12dcd7f4ff	fd32addf3bc8e02da4e0c848844a194fc16e7fc14c3296b0f07fab7c7a6b5324	4d29aa5866bfbd4bfbf1856078b7bb1e47364cd4b7c295847cc10fbaa4d6f357	fd32addf3bc8e02da4e0c848844a194fc16e7fc14c3296b0f07fab7c7a6b5324	68bfa39a97c9d837c91a8667892bd3c0230d295c5327a84f7520b8ab02cd08b9
