file	bytes	result
/home/zhuhe/code/litchi/test-data/office-interop/libreoffice-resaved/45543-transition-litchi.ppt	842240	OK
/home/zhuhe/code/litchi/test-data/office-interop/litchi-changed/45543-transition-litchi.ppt	397312	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/SampleShow.ppt	125440	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/empty.ppt	10240	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/empty_textbox.ppt	11776	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/ppt_with_png.ppt	39424	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/text-margins.ppt	44032	OK
/home/zhuhe/code/litchi/test-data/ole/ppt/text_shapes.ppt	11264	OK
/home/zhuhe/code/litchi/test-data/poi/poi-scratchpad/src/main/resources/org/apache/poi/hslf/data/empty.ppt	10240	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/41246-1.ppt	275456	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/45543.ppt	385024	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/54880_chinese.ppt	103936	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/Password_Protected-56-hello.ppt	10752	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/Password_Protected-hello.ppt	10752	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/Password_Protected-np-hello.ppt	10752	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/WithComments.ppt	10752	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/WithLinks.ppt	20992	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/basic_test_ppt_file.ppt	15360	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/bug58144-headers-footers-2003.ppt	11776	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/bug58144-headers-footers-2007.ppt	142848	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/cryptoapi-proc2356.ppt	1341952	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/datetime.ppt	114176	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/headers_footers.ppt	12800	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/headers_footers_2007.ppt	169472	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/incorrect_slide_order.ppt	9728	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/ole2-embedding-2003.ppt	40448	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/ppt_with_embeded.ppt	180736	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/sound.ppt	43520	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/testPPT_oleWorkbook.ppt	98304	OK
/home/zhuhe/code/litchi/test-data/poi/test-data/slideshow/text-margins.ppt	44032	OK
