case,profile,repeat,p50_ms,p95_ms,p99_ms,operation_heap_increment_bytes,allocated_bytes,allocation_calls,normal_process_max_rss_bytes,source_MiB_per_s,authored_MiB_per_s
s64-a64-near-cone,deterministic,1,435.1738615,437.4070631,440.76256775999997,1720245.0,7847901.0,822.0,37122048,0.004615254479178747,14.789151257192874
s64-a64-near-cone,deterministic,2,432.994099,437.43319805,437.89164662,1720245.0,7847901.0,822.0,37126144,0.004638489610063785,14.863606060647317
s64-a64-near-cone,file_store,1,346.4776755,348.94059765,349.2574503,918552.0,4641579.0,823.0,44359680,0.005796731669484592,18.57508439548119
s64-a64-near-cone,file_store,2,347.9532545,353.3003785,353.38609233,918552.0,4641579.0,823.0,44126208,0.00577214924673701,18.49631232128195
s64-a64-near-cone,memory_store,1,340.2260575,343.04209210000005,343.44784530000004,9306933.0,13029189.0,819.0,43827200,0.005903245992236678,18.916399579149754
s64-a64-near-cone,memory_store,2,337.7308885,340.4859991,341.39540013,9306933.0,13029189.0,819.0,44244992,0.005946859547313057,19.05615513668149
s64-a64-near-cwindow,deterministic,1,433.9376865,435.8246855,435.8573895,1111989.0,4806621.0,822.0,37117952,0.004628402126426852,14.831281662938787
s64-a64-near-cwindow,deterministic,2,431.797211,434.4556526,435.28108123000004,1111989.0,4806621.0,822.0,37044224,0.004651345726945561,14.90480228460474
s64-a64-near-cwindow,file_store,1,345.8024185,348.508065,349.34745884,918558.0,4033347.0,823.0,44244992,0.005808051351890772,18.61135725888311
s64-a64-near-cwindow,file_store,2,346.057791,352.56926445,355.28540418,918558.0,4033347.0,823.0,44081152,0.005803765045760939,18.597622191840827
s64-a64-near-cwindow,memory_store,1,338.736905,339.93531905000003,340.24743671,9306933.0,12420933.0,819.0,43851776,0.005929197832750735,18.999559824483228
s64-a64-near-cwindow,memory_store,2,341.013506,342.44822155,343.05451632999996,9306933.0,12420933.0,819.0,43839488,0.005889614775200926,18.872719619253537
s64-a64-short-c64,deterministic,1,0.796368,0.8043865,0.80832861,989190.0,4069827.0,822.0,6565888,2.5219975504620407,11.956136535523749
s64-a64-short-c64,deterministic,2,0.866788,0.9223935,0.92710109,989190.0,4069827.0,822.0,6492160,2.3207265619883595,11.001962960537409
s64-a64-short-c64,file_store,1,3.79292,4.5841295,4.75480891,795753.0,3296529.0,823.0,6676480,0.5295237514099616,2.510334821499077
s64-a64-short-c64,file_store,2,3.797274,4.681240549999999,5.03228161,795753.0,3296529.0,823.0,6373376,0.5289206657008507,2.5074757485077366
s64-a64-short-c64,memory_store,1,0.6688275,0.681566,0.6845683,9184134.0,11684139.0,819.0,6897664,3.0029239982609814,14.236084139903912
s64-a64-short-c64,memory_store,2,0.671693,0.6782075,0.68048151,9184134.0,11684139.0,819.0,7090176,2.9901135277714084,14.175353020545936
s8192-a64-short-c64,deterministic,1,30.571691,30.835934599999998,31.004906899999998,989190.0,4069827.0,822.0,10289152,0.7285207084463827,0.31144774998410063
s8192-a64-short-c64,deterministic,2,30.563993,30.96222245,30.970374800000002,989190.0,4069827.0,822.0,9977856,0.7287041974280728,0.31152619282015404
s8192-a64-short-c64,file_store,1,33.520969,34.81543205,34.9934598,795757.0,3296545.0,823.0,10391552,0.6644261587270428,0.2840468771401386
s8192-a64-short-c64,file_store,2,33.380731,34.161907549999995,34.65165043,795757.0,3296545.0,823.0,10502144,0.6672145718121114,0.2852389434346202
s8192-a64-short-c64,memory_store,1,30.4043555,30.881516050000002,30.967300899999998,9184134.0,11684139.0,819.0,10407936,0.7325303894688736,0.3131619169502969
s8192-a64-short-c64,memory_store,2,30.135212,30.5229065,30.60808941,9184134.0,11684139.0,819.0,10629120,0.7390726444277785,0.31595877716737775
s131072-a64-short-c64,axis-compression-current-s131072-a64-short-c64,1,478.5946545,482.35510665,482.96000121,989190.0,4069827.0,822.0,75317248,0.6853440063693246,0.019894673585390658
s131072-a64-short-c64,axis-compression-current-s131072-a64-short-c64,2,476.2083495,478.42366465,480.10017039999997,989190.0,4069827.0,822.0,75497472,0.6887783142378272,0.01999436721866186
s131072-a64-short-c64,axis-compression-deflate-s131072-a64-short-c64,1,476.2493005,479.15127144999997,480.56305527,989190.0,4069827.0,822.0,76038144,0.6887192160894186,0.019992651673824285
s131072-a64-short-c64,axis-compression-deflate-s131072-a64-short-c64,2,484.0378515,486.5527955,487.15798674,989190.0,4069827.0,822.0,76046336,0.6776370419545129,0.01967095011229987
s131072-a64-short-c64,axis-compression-store-s131072-a64-short-c64,1,504.282931,507.2592335,507.37424025,528838.0,2827843.0,808.0,123060224,11.901715215280548,0.01888123714670171
s131072-a64-short-c64,axis-compression-store-s131072-a64-short-c64,2,506.7273585,509.4191266,510.66956536000004,528838.0,2827843.0,808.0,123080704,11.844301070706578,0.0187901536297743
s131072-a64-short-c64,axis-input-file-s131072-a64-short-c64,1,520.029491,521.6315855500001,521.90723251,989166.0,4069803.0,822.0,75337728,0.6307376929852659,0.018309521062889487
s131072-a64-short-c64,axis-input-file-s131072-a64-short-c64,2,478.139189,480.93512289999995,482.83593961,989166.0,4069803.0,822.0,75517952,0.6859968578580318,0.019913625042099783
s131072-a64-short-c64,axis-input-latency-s131072-a64-short-c64,1,524.752617,527.33467305,527.6904344100001,989278.0,4069915.0,823.0,75460608,0.6250602007966358,0.018144710613207764
s131072-a64-short-c64,axis-input-latency-s131072-a64-short-c64,2,524.706747,528.0891141000001,528.99004752,989278.0,4069915.0,823.0,75325440,0.6251149520295409,0.018146299972561494
s131072-a64-short-c64,axis-input-short-read-s131072-a64-short-c64,1,476.5596745,478.57120205,479.70290456,989278.0,4069915.0,823.0,75284480,0.6882705296858878,0.019979626872472712
s131072-a64-short-c64,axis-input-short-read-s131072-a64-short-c64,2,477.5558895,481.7565002,482.95897784,989278.0,4069915.0,823.0,75264000,0.6868347446416538,0.019937947840441568
s131072-a64-short-c64,axis-sink-4096-s131072-a64-short-c64,1,477.847138,479.4816141,479.84385921,989190.0,4069827.0,822.0,75628544,0.6864161531267248,0.019925796655813514
s131072-a64-short-c64,axis-sink-4096-s131072-a64-short-c64,2,478.0086855,480.108478,484.82562187999997,989190.0,4069827.0,822.0,75329536,0.6861841386423262,0.01991906156746183
s131072-a64-short-c64,axis-sink-512-s131072-a64-short-c64,1,479.807486,482.23179515,482.5543067,989190.0,4069827.0,822.0,75280384,0.6836116360860783,0.019844385057302707
s131072-a64-short-c64,axis-sink-512-s131072-a64-short-c64,2,479.997796,487.77077714999996,490.91558703,989190.0,4069827.0,822.0,75644928,0.6833414070443837,0.01983654064846883
s131072-a64-short-c64,axis-sink-65536-s131072-a64-short-c64,1,478.8961585,480.99095605,481.37311171,989190.0,4069827.0,822.0,75501568,0.6849125229929308,0.01988214816625648
s131072-a64-short-c64,axis-sink-65536-s131072-a64-short-c64,2,479.496774,482.8377665,483.20320252,989190.0,4069827.0,822.0,75325440,0.6840546072105107,0.01985724395129818
s64-a16384-short-c64,axis-compression-current-s64-a16384-short-c64,1,116.964356,117.76099605,117.93376970999999,989190.0,12425667.0,131382.0,17776640,0.017171368978942857,20.839682174148127
s64-a16384-short-c64,axis-compression-current-s64-a16384-short-c64,2,118.3638745,119.1102905,119.69446723,989190.0,12425667.0,131382.0,17842176,0.016968337217488576,20.59327681269132
s64-a16384-short-c64,axis-compression-deflate-s64-a16384-short-c64,1,117.9887545,119.08464905,119.14991020000001,989190.0,12425667.0,131382.0,17862656,0.017022284363699784,20.658748667767203
s64-a16384-short-c64,axis-compression-deflate-s64-a16384-short-c64,2,116.531179,117.069877,117.19926181,989190.0,12425667.0,131382.0,17874944,0.01723519961866144,20.91714892978882
s64-a16384-short-c64,axis-compression-store-s64-a16384-short-c64,1,125.8484795,127.38663,127.65732351999999,528838.0,11183683.0,131368.0,26177536,0.03782915938320575,19.368529604201346
s64-a16384-short-c64,axis-compression-store-s64-a16384-short-c64,2,126.036566,127.4412489,127.73949984000001,528838.0,11183683.0,131368.0,26210304,0.037772706963582224,19.3396259653541
s64-a16384-short-c64,axis-input-file-s64-a16384-short-c64,1,443.858918,446.29807455,447.40398045,989166.0,12425643.0,131382.0,17842176,0.004524947177247978,5.4916099668171015
s64-a16384-short-c64,axis-input-file-s64-a16384-short-c64,2,439.978006,441.31210860000004,442.23759494,989166.0,12425643.0,131382.0,17637376,0.00456486028850069,5.540049701244097
s64-a16384-short-c64,axis-input-latency-s64-a16384-short-c64,1,129.027143,129.66254,129.82925171,989278.0,12425755.0,131383.0,17571840,0.0155660124760833,18.89137395615917
s64-a16384-short-c64,axis-input-latency-s64-a16384-short-c64,2,129.8101855,133.54543295,133.78883222,989278.0,12425755.0,131383.0,17608704,0.015472115373270137,18.777417650048733
s64-a16384-short-c64,axis-input-short-read-s64-a16384-short-c64,1,117.9033905,119.4833135,119.50685490000001,989278.0,12425755.0,131383.0,17592320,0.017034609055659945,20.673706279106113
s64-a16384-short-c64,axis-input-short-read-s64-a16384-short-c64,2,117.7734655,118.21305,118.42557912000001,989278.0,12425755.0,131383.0,17682432,0.01705340097492832,20.696512709127823
s64-a16384-short-c64,axis-sink-4096-s64-a16384-short-c64,1,116.907721,117.44518155,117.56844559999999,989190.0,12425667.0,131382.0,17764352,0.017179687487618674,20.849777762751437
s64-a16384-short-c64,axis-sink-4096-s64-a16384-short-c64,2,117.5154045,119.16601059999999,119.90649424,989190.0,12425667.0,131382.0,17723392,0.01709084968395303,20.741961571991588
s64-a16384-short-c64,axis-sink-512-s64-a16384-short-c64,1,116.7477655,117.71626404999999,117.92510361,989190.0,12425667.0,131382.0,17625088,0.017203225464644062,20.87834414909099
s64-a16384-short-c64,axis-sink-512-s64-a16384-short-c64,2,117.6391025,118.46120905,118.6698097,989190.0,12425667.0,131382.0,17600512,0.017072886891931982,20.720161395363967
s64-a16384-short-c64,axis-sink-65536-s64-a16384-short-c64,1,117.044031,117.47111255,118.21214913,989190.0,12425667.0,131382.0,17678336,0.017159680444092707,20.82549662192703
s64-a16384-short-c64,axis-sink-65536-s64-a16384-short-c64,2,116.483456,117.25316205,117.28631490000001,989190.0,12425667.0,131382.0,17575936,0.017242260732350675,20.925718506580257
s64-a64-short-c64,axis-compression-current-s64-a64-short-c64,1,0.8818335,0.889941,0.89157589,989190.0,4069827.0,822.0,6647808,2.277570678805649,10.797372106930485
s64-a64-short-c64,axis-compression-current-s64-a64-short-c64,2,0.8005635,0.8099754499999999,0.8121191999999999,989190.0,4069827.0,822.0,6467584,2.508780529521875,11.893478065881482
s64-a64-short-c64,axis-compression-deflate-s64-a64-short-c64,1,0.908854,0.91590305,0.9187272,989190.0,4069827.0,822.0,6598656,2.209857819963251,10.476362998344301
s64-a64-short-c64,axis-compression-deflate-s64-a64-short-c64,2,0.793248,0.799822,0.8041544,989190.0,4069827.0,822.0,6639616,2.531917469133676,12.003164298115202
