# dvtr-insert-n1  (callgrind --separate-callers=1, inclusive)
  5,630,785 ( 4.10%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/codec.rs:litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::start_row'litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::start [<probe>]
  5,132,246 ( 3.73%)  <repo>/crates/litchi-ooxml-common/src/xml.rs:litchi_ooxml_common::xml::unqualified_attribute_value'litchi_xlsx::raw::worksheet::validation::optional_bool [<probe>]
  4,685,858 ( 3.41%)  <repo>/crates/litchi-ooxml-common/src/xml_name/codec.rs:litchi_ooxml_common::xml_name::codec::parse'litchi_ooxml_common::mce::codec::expand [<probe>]
  4,584,034 ( 3.34%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::BoundedOutput::extend_from_slice'litchi_ooxml_common::mce::codec::write_start [<probe>]
  4,304,075 ( 3.13%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::expand'litchi_ooxml_common::mce::codec::start [<probe>]
  3,933,437 ( 2.86%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/ns_reader.rs:quick_xml::reader::ns_reader::NsReader<R>::process_event'litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::parse [<probe>]
  3,920,082 ( 2.85%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/edit/package.rs:litchi_xlsx::raw::worksheet::edit::package::rewrite_value_only_with_provenance'litchi_xlsx::cell_values::source::MultiSourceEdit::commit [<probe>]
  3,521,590 ( 2.56%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/validation.rs:litchi_xlsx::raw::worksheet::validation::optional_bool'litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::start_row [<probe>]
  3,408,230 ( 2.48%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/edit/codec/snapshot/scan.rs:litchi_xlsx::raw::worksheet::edit::package::rewrite_value_only_with_provenance'litchi_xlsx::cell_values::source::MultiSourceEdit::commit
  3,408,228 ( 2.48%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/edit/codec/snapshot/scan.rs:litchi_xlsx::raw::worksheet::edit::codec::snapshot::scan::scan_with_limit'litchi_xlsx::raw::worksheet::edit::package::rewrite_value_only_with_provenance [<probe>]
  3,375,252 ( 2.46%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/core/src/num/uint_macros.rs:alloc::raw_vec::RawVecInner<A>::finish_grow'litchi_ooxml_common::mce::codec::BoundedOutput::extend_from_slice
  3,148,378 ( 2.29%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/alloc/src/raw_vec/mod.rs:litchi_ooxml_common::mce::codec::BoundedOutput::extend_from_slice'litchi_ooxml_common::mce::codec::write_start
  3,022,216 ( 2.20%)  /home/zhuhe/.cargo/registry/src/index.crates.io-1949cf8c6b5b557f/quick-xml-0.41.0/src/reader/ns_reader.rs:litchi_xlsx::raw::worksheet::codec::<impl litchi_xlsx::raw::worksheet::model::Parser>::parse'litchi_xlsx::cell_values::snapshot::Snapshot::from_rewritten_value_source

# dvtr-insert-n4  (callgrind --separate-callers=1, inclusive)
Profiled target:  <probe> edit <scratch>/derived/dataValidationTableRange-proj-plain.xlsx County Ranking A999 4 --insert (PID 1899356, part 1)
541,598,006 (100.0%)  PROGRAM TOTALS
407,336,545 (75.21%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::process_markup_compatibility'litchi_ooxml_common::mce::codec::process_ooxml [<probe>]
398,981,498 (73.67%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::start'litchi_ooxml_common::mce::codec::process_markup_compatibility [<probe>]
361,364,855 (66.72%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::write_start'litchi_ooxml_common::mce::codec::start [<probe>]
321,715,997 (59.40%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::esc'litchi_ooxml_common::mce::codec::write_start [<probe>]
318,635,941 (58.83%)  <repo>/crates/litchi-xlsx/src/cell_values/source.rs:litchi_xlsx::cell_values::source::SourceBackedEditor::edit_many'xlsx_admission_probe::main [<probe>]
318,573,155 (58.82%)  <repo>/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::MultiSnapshot::load_source_backed'litchi_xlsx::cell_values::source::SourceBackedEditor::edit_many [<probe>]
283,360,845 (52.32%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::BoundedOutput::extend_from_slice'litchi_ooxml_common::mce::codec::esc [<probe>]
221,215,347 (40.84%)  <repo>/crates/litchi-xlsx/src/cell_values/source.rs:litchi_xlsx::cell_values::source::MultiSourceEdit::commit'xlsx_admission_probe::main [<probe>]
201,774,944 (37.26%)  <repo>/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::Snapshot::from_rewritten_value_source'litchi_xlsx::cell_values::source::MultiSourceEdit::commit [<probe>]
197,998,246 (36.56%)  <repo>/crates/litchi-xlsx/src/cell_values/snapshot.rs:litchi_xlsx::cell_values::snapshot::Snapshot::from_source_selected'litchi_xlsx::cell_values::snapshot::MultiSnapshot::load_source_backed [<probe>]
194,550,719 (35.92%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/mod.rs:litchi_xlsx::cell_values::snapshot::Snapshot::from_rewritten_value_source'litchi_xlsx::cell_values::source::MultiSourceEdit::commit
190,454,853 (35.17%)  <repo>/crates/litchi-xlsx/src/raw/worksheet/mod.rs:litchi_xlsx::raw::worksheet::parse'litchi_xlsx::cell_values::snapshot::Snapshot::from_source_selected [<probe>]
187,674,217 (34.65%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/alloc/src/raw_vec/mod.rs:litchi_ooxml_common::mce::codec::BoundedOutput::extend_from_slice'litchi_ooxml_common::mce::codec::esc
173,292,154 (32.00%)  /rustc/59807616e1fa2540724bfbac14d7976d7e4a3860/library/alloc/src/raw_vec/mod.rs:alloc::raw_vec::RawVecInner<A>::finish_grow'litchi_ooxml_common::mce::codec::BoundedOutput::extend_from_slice [<probe>]
152,491,173 (28.16%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::process_ooxml'litchi_xlsx::cell_values::snapshot::Snapshot::from_rewritten_value_source [<probe>]
148,773,479 (27.47%)  <repo>/crates/litchi-ooxml-common/src/mce/codec.rs:litchi_ooxml_common::mce::codec::process_ooxml'litchi_xlsx::raw::worksheet::parse [<probe>]
